树精,"Map064.json,events,2,name"
「如果是你要的种子，我或许有♪」,"Map064.json,events,6,pages,0,list,76,parameters,0"
绿衣男子,"Map064.json,events,6,pages,0,list,79,parameters,0"
「真的吗？,"Map064.json,events,6,pages,0,list,80,parameters,0"
可以给我看一下吗？」,"Map064.json,events,6,pages,0,list,81,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,84,parameters,0"
「嗯，可以♪那就给你吧♪」,"Map064.json,events,6,pages,0,list,85,parameters,0"
绿衣男子,"Map064.json,events,6,pages,0,list,91,parameters,0"
「什……！？」,"Map064.json,events,6,pages,0,list,92,parameters,0"
一瞬间。\!,"Map064.json,events,6,pages,0,list,101,parameters,0"
阿露娜伸出某物，瞬间束缚住了绿衣男子的全身。,"Map064.json,events,6,pages,0,list,102,parameters,0"
无法动弹。,"Map064.json,events,6,pages,0,list,104,parameters,0"
一开始以为是在开玩笑。,"Map064.json,events,6,pages,0,list,105,parameters,0"
但是……当绿衣男子看到阿露娜的眼神时,"Map064.json,events,6,pages,0,list,106,parameters,0"
他明白这不是在开玩笑。,"Map064.json,events,6,pages,0,list,107,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,109,parameters,0"
「嘿♪」,"Map064.json,events,6,pages,0,list,110,parameters,0"
阿露娜的触手靠近她的手。,"Map064.json,events,6,pages,0,list,113,parameters,0"
伴随着『嘿』的声音,"Map064.json,events,6,pages,0,list,114,parameters,0"
一个小小的种子状物体从她的手中喷射出来。,"Map064.json,events,6,pages,0,list,115,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,119,parameters,0"
「传说的……是什么来着。,"Map064.json,events,6,pages,0,list,120,parameters,0"
比那个更漂亮的种子♪,"Map064.json,events,6,pages,0,list,121,parameters,0"
我给你这个」,"Map064.json,events,6,pages,0,list,122,parameters,0"
她用左手握住种子，右手轻轻触摸绿衣男子的下巴。,"Map064.json,events,6,pages,0,list,124,parameters,0"
她的触手部分舔了舔绿衣男子的头。,"Map064.json,events,6,pages,0,list,125,parameters,0"
阿露娜美丽的脸庞和迷人的身体。,"Map064.json,events,6,pages,0,list,127,parameters,0"
能感受到她头部散发出的玫瑰花般宜人的香气。,"Map064.json,events,6,pages,0,list,128,parameters,0"
\!从近距离感受到这一切，在某种意义上是幸运的。,"Map064.json,events,6,pages,0,list,129,parameters,0"
但是……绿衣男子感到了生命的危险，额头上冒出了冷汗。,"Map064.json,events,6,pages,0,list,131,parameters,0"
能得到稀有的种子，说实话，是令人高兴的。,"Map064.json,events,6,pages,0,list,132,parameters,0"
……那样的种子，会给我什么？,"Map064.json,events,6,pages,0,list,133,parameters,0"
绿衣男子,"Map064.json,events,6,pages,0,list,136,parameters,0"
「等、等一下……。,"Map064.json,events,6,pages,0,list,137,parameters,0"
我不需要你的种子，我只想要传说中的蔬菜种子。,"Map064.json,events,6,pages,0,list,138,parameters,0"
能放过我吗……？」,"Map064.json,events,6,pages,0,list,139,parameters,0"
保持冷静。\!,"Map064.json,events,6,pages,0,list,141,parameters,0"
只要交谈，就能理解，直到被理解……。\!但是。,"Map064.json,events,6,pages,0,list,142,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,144,parameters,0"
「不行♪,"Map064.json,events,6,pages,0,list,145,parameters,0"
这个种子，我要给你的身体♪」,"Map064.json,events,6,pages,0,list,146,parameters,0"
绿衣男子,"Map064.json,events,6,pages,0,list,150,parameters,0"
「呃……别、别……。,"Map064.json,events,6,pages,0,list,151,parameters,0"
阿露娜像以前一样,"Map064.json,events,6,pages,0,list,154,parameters,0"
把种子种在了绿衣男子的头上。,"Map064.json,events,6,pages,0,list,155,parameters,0"
\!然后，花朵迅速绽放。,"Map064.json,events,6,pages,0,list,156,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,158,parameters,0"
「开花了♪,"Map064.json,events,6,pages,0,list,159,parameters,0"
嘿嘿～。我们一起享受吧♪」,"Map064.json,events,6,pages,0,list,160,parameters,0"
\C[27]阿露娜,"Map064.json,events,6,pages,0,list,162,parameters,0"
「从现在开始……\.一直一直，一起……\.\.好♡」,"Map064.json,events,6,pages,0,list,163,parameters,0"
ED6.阿露娜ED,"Map064.json,events,6,pages,0,list,168,parameters,0"
ED6.阿露娜ED,"Map064.json,events,6,pages,0,list,184,parameters,0"
