清彦,"Map028.json,events,2,name"
「不要忘记化妆了哦？这是女孩子的礼仪」,"Map028.json,events,3,pages,0,list,104,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,110,parameters,0"
「该死……你有什么资格说……！」,"Map028.json,events,3,pages,0,list,111,parameters,0"
但是，他无法忍受下去。,"Map028.json,events,3,pages,0,list,113,parameters,0"
他瞪大眼睛，不由自主地用男性的语气反抗了起来……。,"Map028.json,events,3,pages,0,list,114,parameters,0"
主人与奴隶。\!,"Map028.json,events,3,pages,0,list,116,parameters,0"
通过套上项圈的魔法,"Map028.json,events,3,pages,0,list,117,parameters,0"
只要一条命令，奴隶就无法违抗主人。,"Map028.json,events,3,pages,0,list,118,parameters,0"
但是，主人『清彦』几乎没有使用过。,"Map028.json,events,3,pages,0,list,119,parameters,0"
虽然曾经强制使用女性的语调和举止，但那只是暂时的。,"Map028.json,events,3,pages,0,list,121,parameters,0"
如果他想的话，甚至可以强行进行性行为,"Map028.json,events,3,pages,0,list,122,parameters,0"
但是主人故意不去做那样的事情。,"Map028.json,events,3,pages,0,list,123,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,125,parameters,0"
「真好啊，你的眼神。,"Map028.json,events,3,pages,0,list,126,parameters,0"
是我之前从未见过的，反抗的\C[18]男子气概\C[0]的眼神」,"Map028.json,events,3,pages,0,list,127,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,138,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,141,parameters,0"
「我不会下命令的……。,"Map028.json,events,3,pages,0,list,142,parameters,0"
慢慢地，慢慢地……我会让你屈服的」,"Map028.json,events,3,pages,0,list,143,parameters,0"
突然间，裙子被掀起，灵巧地从连裤袜上揉捏着。,"Map028.json,events,3,pages,0,list,145,parameters,0"
如果只是从裙子上的话还好,"Map028.json,events,3,pages,0,list,146,parameters,0"
但是直接揉捏着屁股的感觉,"Map028.json,events,3,pages,0,list,147,parameters,0"
她无法停止发出甜美的声音。,"Map028.json,events,3,pages,0,list,148,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,150,parameters,0"
「停下来……\.\.\.别揉了、嗯……！嗯……♡」,"Map028.json,events,3,pages,0,list,151,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,153,parameters,0"
「不知不觉中，直到自己称呼我为阿卡莉……。,"Map028.json,events,3,pages,0,list,154,parameters,0"
直到自己称呼我为女孩子……。,"Map028.json,events,3,pages,0,list,155,parameters,0"
这个我……对吧？」,"Map028.json,events,3,pages,0,list,156,parameters,0"
\C[27]清彦,"Map028.json,events,3,pages,0,list,158,parameters,0"
「够、够了……。,"Map028.json,events,3,pages,0,list,159,parameters,0"
我……绝对不会堕落。\!,"Map028.json,events,3,pages,0,list,160,parameters,0"
不会被堕落……！\!总有一天，我会回来……嗯啊♡♡♡」,"Map028.json,events,3,pages,0,list,161,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,163,parameters,0"
「（虽然这么说，但是和以前相比，抵抗的力量变得更加弱了。,"Map028.json,events,3,pages,0,list,164,parameters,0"
虽然口头上反抗，但身体已经开始接受）」,"Map028.json,events,3,pages,0,list,165,parameters,0"
阿卡莉,"Map028.json,events,3,pages,0,list,167,parameters,0"
「（什么时候，你会主动向我求欢,"Map028.json,events,3,pages,0,list,168,parameters,0"
主动希望进行淫荡的事情……真期待啊）」,"Map028.json,events,3,pages,0,list,169,parameters,0"
ED1.奴隶♀精灵ED,"Map028.json,events,3,pages,0,list,174,parameters,0"
ED1.奴隶♀精灵ED,"Map028.json,events,3,pages,0,list,204,parameters,0"
