※ED1.精灵ED之一,"Map258.json,events,2,pages,0,list,4,parameters,0"
是,"Map258.json,events,4,pages,0,list,18,parameters,1"
否,"Map258.json,events,4,pages,0,list,24,parameters,1"
否,"Map258.json,events,4,pages,0,list,28,parameters,1"
要查看『ED2.精灵居民ED』吗？,"Map258.json,events,4,pages,1,list,2,parameters,0"
是,"Map258.json,events,4,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,4,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,4,pages,1,list,4,parameters,1"
否,"Map258.json,events,4,pages,1,list,15,parameters,1"
※ED3.吸血姬篇之一。,"Map258.json,events,5,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,5,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,5,pages,0,list,6,parameters,0"
是,"Map258.json,events,5,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,5,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,5,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,5,pages,0,list,8,parameters,1"
吸血姬化度达到90%的时候，去姐姐的房间。,"Map258.json,events,5,pages,0,list,10,parameters,0"
需要解开谜题。,"Map258.json,events,5,pages,0,list,11,parameters,0"
另外，在被姐姐咬过的房间的镜子右边,"Map258.json,events,5,pages,0,list,12,parameters,0"
有一个调试命令。,"Map258.json,events,5,pages,0,list,13,parameters,0"
解锁这个ED,"Map258.json,events,5,pages,0,list,15,parameters,1"
确定要解锁吗？,"Map258.json,events,5,pages,0,list,17,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,5,pages,0,list,18,parameters,0"
是,"Map258.json,events,5,pages,0,list,19,parameters,0,0"
否,"Map258.json,events,5,pages,0,list,19,parameters,0,1"
是,"Map258.json,events,5,pages,0,list,20,parameters,1"
否,"Map258.json,events,5,pages,0,list,26,parameters,1"
否,"Map258.json,events,5,pages,0,list,30,parameters,1"
要看『ED3.吸血姬ED之一』吗？,"Map258.json,events,5,pages,1,list,2,parameters,0"
是,"Map258.json,events,5,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,5,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,5,pages,1,list,4,parameters,1"
否,"Map258.json,events,5,pages,1,list,16,parameters,1"
※要看『ED4.吸血姬篇之二』。,"Map258.json,events,10,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,10,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,10,pages,0,list,6,parameters,0"
是,"Map258.json,events,10,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,10,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,10,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,10,pages,0,list,8,parameters,1"
让我们去吸血姬100%的姐姐房间吧。,"Map258.json,events,10,pages,0,list,10,parameters,0"
需要解开谜题。,"Map258.json,events,10,pages,0,list,11,parameters,0"
另外，在被姐姐咬过的房间镜子的右边,"Map258.json,events,10,pages,0,list,12,parameters,0"
有一个调试命令。,"Map258.json,events,10,pages,0,list,13,parameters,0"
解锁这个ED,"Map258.json,events,10,pages,0,list,15,parameters,1"
确定要解锁吗？,"Map258.json,events,10,pages,0,list,17,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,10,pages,0,list,18,parameters,0"
是,"Map258.json,events,10,pages,0,list,19,parameters,0,0"
否,"Map258.json,events,10,pages,0,list,19,parameters,0,1"
是,"Map258.json,events,10,pages,0,list,20,parameters,1"
否,"Map258.json,events,10,pages,0,list,26,parameters,1"
否,"Map258.json,events,10,pages,0,list,30,parameters,1"
要看『ED4.吸血姬ED之二』吗？,"Map258.json,events,10,pages,1,list,2,parameters,0"
是,"Map258.json,events,10,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,10,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,10,pages,1,list,4,parameters,1"
否,"Map258.json,events,10,pages,1,list,17,parameters,1"
※要看『ED5.吸血姬篇之三』。,"Map258.json,events,11,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,11,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,11,pages,0,list,6,parameters,0"
是,"Map258.json,events,11,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,11,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,11,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,11,pages,0,list,8,parameters,1"
当吸血姬低于80％回到城市时，请去教堂。,"Map258.json,events,11,pages,0,list,10,parameters,0"
另外，在0～50％和60％～80％回到城市并完成事件后，,"Map258.json,events,11,pages,0,list,11,parameters,0"
前者和后者的事件对话内容会有所变化。,"Map258.json,events,11,pages,0,list,12,parameters,0"
解锁这个ED,"Map258.json,events,11,pages,0,list,14,parameters,1"
确定要解锁吗？,"Map258.json,events,11,pages,0,list,16,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,11,pages,0,list,17,parameters,0"
是,"Map258.json,events,11,pages,0,list,18,parameters,0,0"
否,"Map258.json,events,11,pages,0,list,18,parameters,0,1"
是,"Map258.json,events,11,pages,0,list,19,parameters,1"
否,"Map258.json,events,11,pages,0,list,25,parameters,1"
否,"Map258.json,events,11,pages,0,list,29,parameters,1"
要看『ED5.吸血姬ED之三』吗？,"Map258.json,events,11,pages,1,list,2,parameters,0"
观看低于50％回到城市的情况,"Map258.json,events,11,pages,1,list,3,parameters,0,0"
观看60～80％以下回到城市的情况,"Map258.json,events,11,pages,1,list,3,parameters,0,1"
保持原样,"Map258.json,events,11,pages,1,list,3,parameters,0,2"
观看低于50％回到城市的情况,"Map258.json,events,11,pages,1,list,4,parameters,1"
观看60～80％以下回到城市的情况,"Map258.json,events,11,pages,1,list,18,parameters,1"
保持原样,"Map258.json,events,11,pages,1,list,32,parameters,1"
※要看『ED6.魔女花ED』,"Map258.json,events,12,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,12,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,12,pages,0,list,6,parameters,0"
是,"Map258.json,events,12,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,12,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,12,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,12,pages,0,list,8,parameters,1"
去爱娜温之森,"Map258.json,events,12,pages,0,list,10,parameters,0"
在逃脱时受到一次攻击并击败敌人。,"Map258.json,events,12,pages,0,list,11,parameters,0"
解锁这个ED,"Map258.json,events,12,pages,0,list,13,parameters,1"
确定要解锁吗？,"Map258.json,events,12,pages,0,list,15,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,12,pages,0,list,16,parameters,0"
是,"Map258.json,events,12,pages,0,list,17,parameters,0,0"
否,"Map258.json,events,12,pages,0,list,17,parameters,0,1"
是,"Map258.json,events,12,pages,0,list,18,parameters,1"
否,"Map258.json,events,12,pages,0,list,24,parameters,1"
否,"Map258.json,events,12,pages,0,list,28,parameters,1"
要看『ED6.魔女花ED』吗？,"Map258.json,events,12,pages,1,list,2,parameters,0"
是,"Map258.json,events,12,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,12,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,12,pages,1,list,4,parameters,1"
否,"Map258.json,events,12,pages,1,list,15,parameters,1"
提示角色,"Map258.json,events,15,name"
要查看人鱼篇和猫娘篇的开始方法吗？,"Map258.json,events,15,pages,0,list,1,parameters,0"
请告诉我提示,"Map258.json,events,15,pages,0,list,2,parameters,0,0"
人鱼篇的开始方法,"Map258.json,events,15,pages,0,list,2,parameters,0,1"
猫娘篇的开始方法,"Map258.json,events,15,pages,0,list,2,parameters,0,2"
停止观察,"Map258.json,events,15,pages,0,list,2,parameters,0,3"
请告诉我提示,"Map258.json,events,15,pages,0,list,3,parameters,1"
可以在清除某个剧情后进入。,"Map258.json,events,15,pages,0,list,5,parameters,0"
人鱼篇的开始方法,"Map258.json,events,15,pages,0,list,7,parameters,1"
在获得『水色水晶』后,"Map258.json,events,15,pages,0,list,11,parameters,0"
在场景地图上检查船。,"Map258.json,events,15,pages,0,list,12,parameters,0"
水晶可以在魔女花篇中获得。,"Map258.json,events,15,pages,0,list,13,parameters,0"
（需要成功逃脱而不被魔女花击败）,"Map258.json,events,15,pages,0,list,14,parameters,0"
猫娘篇的开始方法,"Map258.json,events,15,pages,0,list,17,parameters,1"
在获得『水色水晶』后,"Map258.json,events,15,pages,0,list,21,parameters,0"
与城市里的他对话。,"Map258.json,events,15,pages,0,list,22,parameters,0"
水晶可以在魔女花篇中获得。,"Map258.json,events,15,pages,0,list,23,parameters,0"
（需要成功逃脱而不被魔女花击败）,"Map258.json,events,15,pages,0,list,24,parameters,0"
停止观察,"Map258.json,events,15,pages,0,list,27,parameters,1"
※要看『ED8.人鱼篇ED之二』,"Map258.json,events,16,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,16,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,16,pages,0,list,6,parameters,0"
是,"Map258.json,events,16,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,16,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,16,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,16,pages,0,list,8,parameters,1"
在第一阶段变身（正太状态）,"Map258.json,events,16,pages,0,list,10,parameters,0"
上楼后从发光的地方逃脱。,"Map258.json,events,16,pages,0,list,11,parameters,0"
解锁这个ED,"Map258.json,events,16,pages,0,list,13,parameters,1"
确定要解锁吗？,"Map258.json,events,16,pages,0,list,15,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,16,pages,0,list,16,parameters,0"
是,"Map258.json,events,16,pages,0,list,17,parameters,0,0"
否,"Map258.json,events,16,pages,0,list,17,parameters,0,1"
是,"Map258.json,events,16,pages,0,list,18,parameters,1"
否,"Map258.json,events,16,pages,0,list,24,parameters,1"
否,"Map258.json,events,16,pages,0,list,28,parameters,1"
要看『ED8.海滩少女ED』吗？,"Map258.json,events,16,pages,1,list,2,parameters,0"
是,"Map258.json,events,16,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,16,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,16,pages,1,list,4,parameters,1"
清彦,"Map258.json,events,16,pages,1,list,13,parameters,0"
「……好吧」,"Map258.json,events,16,pages,1,list,14,parameters,0"
下定决心，将身体塞进洞里。,"Map258.json,events,16,pages,1,list,17,parameters,0"
勉强能通过……不对，如果穿着装备的话是不可能的。,"Map258.json,events,16,pages,1,list,18,parameters,0"
清彦,"Map258.json,events,16,pages,1,list,20,parameters,0"
「丢掉吧」,"Map258.json,events,16,pages,1,list,21,parameters,0"
决断很快。,"Map258.json,events,16,pages,1,list,24,parameters,0"
他将多年来亲近的剑和盔甲扔进了船里。,"Map258.json,events,16,pages,1,list,25,parameters,0"
清彦,"Map258.json,events,16,pages,1,list,27,parameters,0"
「重新……」,"Map258.json,events,16,pages,1,list,28,parameters,0"
再次，钻进洞里。虽然很狭窄，但还能通过。,"Map258.json,events,16,pages,1,list,30,parameters,0"
\!像蟹一样小心翼翼地向前移动。,"Map258.json,events,16,pages,1,list,31,parameters,0"
顺利……顺利。\!我以为。,"Map258.json,events,16,pages,1,list,32,parameters,0"
清彦,"Map258.json,events,16,pages,1,list,35,parameters,0"
「咕——。,"Map258.json,events,16,pages,1,list,36,parameters,0"
突然袭来的疼痛让他不由自主地扭曲了脸。,"Map258.json,events,16,pages,1,list,38,parameters,0"
感觉喉咙里被鱼刺卡住一样疼。,"Map258.json,events,16,pages,1,list,39,parameters,0"
胸部像要爆炸一样疼。,"Map258.json,events,16,pages,1,list,40,parameters,0"
下腹部像被压迫一样疼。,"Map258.json,events,16,pages,1,list,41,parameters,0"
清彦,"Map258.json,events,16,pages,1,list,43,parameters,0"
「咳咳……咳咳。,"Map258.json,events,16,pages,1,list,44,parameters,0"
可恶……在这种地方。,"Map258.json,events,16,pages,1,list,45,parameters,0"
冷静下来，只是疼而已。\.\.\C[27]忍耐一下，再过一会就能通过」,"Map258.json,events,16,pages,1,list,46,parameters,0"
他觉得自己的声音有点高，但现在并不是在意的时候。,"Map258.json,events,16,pages,1,list,48,parameters,0"
疼痛很快就会消失。\!,"Map258.json,events,16,pages,1,list,49,parameters,0"
感觉胸部被压迫。,"Map258.json,events,16,pages,1,list,50,parameters,0"
屁股周围不停地撞到墙。,"Map258.json,events,16,pages,1,list,51,parameters,0"
\C[27]清彦,"Map258.json,events,16,pages,1,list,57,parameters,0"
「前面看不清。,"Map258.json,events,16,pages,1,list,58,parameters,0"
……好像头发长了」,"Map258.json,events,16,pages,1,list,59,parameters,0"
又发生了什么变化。,"Map258.json,events,16,pages,1,list,61,parameters,0"
只知道头发变长了。,"Map258.json,events,16,pages,1,list,62,parameters,0"
忍耐住，专心朝前走。,"Map258.json,events,16,pages,1,list,63,parameters,0"
\!一直往前走……一直往前走——。,"Map258.json,events,16,pages,1,list,64,parameters,0"
\C[27]清彦,"Map258.json,events,16,pages,1,list,70,parameters,0"
「成功了……！」,"Map258.json,events,16,pages,1,list,71,parameters,0"
终于能够离开船外。,"Map258.json,events,16,pages,1,list,73,parameters,0"
但是，只是出去了而已。,"Map258.json,events,16,pages,1,list,74,parameters,0"
\C[27]清彦,"Map258.json,events,16,pages,1,list,76,parameters,0"
「从这里开始向上游泳」,"Map258.json,events,16,pages,1,list,77,parameters,0"
朝着海面拼命游去。,"Map258.json,events,16,pages,1,list,85,parameters,0"
身体仿佛与水融为一体。,"Map258.json,events,16,pages,1,list,86,parameters,0"
刚才还有重力的感觉……。,"Map258.json,events,16,pages,1,list,87,parameters,0"
这也多亏了丢掉剑和盔甲吧。,"Map258.json,events,16,pages,1,list,88,parameters,0"
\C[27]清彦,"Map258.json,events,16,pages,1,list,97,parameters,0"
「噗哈！」,"Map258.json,events,16,pages,1,list,98,parameters,0"
在失去意识之前，他感到天气好坏的变化真是太大了。,"Map258.json,events,16,pages,1,list,100,parameters,0"
美丽的蓝天等待着他。,"Map258.json,events,16,pages,1,list,101,parameters,0"
他拂去贴在脸上的湿漉漉的头发，四处张望。,"Map258.json,events,16,pages,1,list,103,parameters,0"
如果是在海的正中央，那就真的糟透了。,"Map258.json,events,16,pages,1,list,104,parameters,0"
附近有人吗……。,"Map258.json,events,16,pages,1,list,105,parameters,0"
\C[27]清彦,"Map258.json,events,16,pages,1,list,108,parameters,0"
「在这里！\!喂！！！」,"Map258.json,events,16,pages,1,list,109,parameters,0"
他从喉咙深处发出声音。,"Map258.json,events,16,pages,1,list,111,parameters,0"
声音变高已经无所谓了。,"Map258.json,events,16,pages,1,list,112,parameters,0"
挥动双手，示意自己的位置。,"Map258.json,events,16,pages,1,list,113,parameters,0"
看起来是两个人在筏上钓鱼。,"Map258.json,events,16,pages,1,list,115,parameters,0"
他们慌张地看着这边……似乎在交谈着什么。,"Map258.json,events,16,pages,1,list,116,parameters,0"
男Ａ,"Map258.json,events,16,pages,1,list,119,parameters,0"
「等着！我马上救你！」,"Map258.json,events,16,pages,1,list,120,parameters,0"
\C[27]清彦,"Map258.json,events,16,pages,1,list,122,parameters,0"
「（啊……真是太好了。,"Map258.json,events,16,pages,1,list,123,parameters,0"
从那绝望的境地中获救了……）」,"Map258.json,events,16,pages,1,list,124,parameters,0"
他松了一口气。,"Map258.json,events,16,pages,1,list,126,parameters,0"
放松身体，漂浮在海上。,"Map258.json,events,16,pages,1,list,127,parameters,0"
在救援到来之前，暂时保持这样……。,"Map258.json,events,16,pages,1,list,128,parameters,0"
他这样想着，稍微闭上了眼睛。\!,"Map258.json,events,16,pages,1,list,131,parameters,0"
阳光的温暖感渗透到皮肤中，,"Map258.json,events,16,pages,1,list,132,parameters,0"
好像已经好几个月没有感受过了。,"Map258.json,events,16,pages,1,list,133,parameters,0"
否,"Map258.json,events,16,pages,1,list,144,parameters,1"
※要看『ED7.人鱼篇ED之一』,"Map258.json,events,17,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,17,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,17,pages,0,list,6,parameters,0"
是,"Map258.json,events,17,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,17,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,17,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,17,pages,0,list,8,parameters,1"
成功逃脱而没有任何变化。,"Map258.json,events,17,pages,0,list,10,parameters,0"
最后的推岩石可以在男性状态下无需道具推动。,"Map258.json,events,17,pages,0,list,11,parameters,0"
解锁这个ED,"Map258.json,events,17,pages,0,list,13,parameters,1"
确定要解锁吗？,"Map258.json,events,17,pages,0,list,15,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,17,pages,0,list,16,parameters,0"
是,"Map258.json,events,17,pages,0,list,17,parameters,0,0"
否,"Map258.json,events,17,pages,0,list,17,parameters,0,1"
是,"Map258.json,events,17,pages,0,list,18,parameters,1"
否,"Map258.json,events,17,pages,0,list,24,parameters,1"
否,"Map258.json,events,17,pages,0,list,28,parameters,1"
要看『ED7.特殊体质化ED』吗？,"Map258.json,events,17,pages,1,list,2,parameters,0"
是,"Map258.json,events,17,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,17,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,17,pages,1,list,4,parameters,1"
否,"Map258.json,events,17,pages,1,list,13,parameters,1"
※要看『ED9.人鱼篇ED之三』,"Map258.json,events,20,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,20,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,20,pages,0,list,6,parameters,0"
是,"Map258.json,events,20,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,20,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,20,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,20,pages,0,list,8,parameters,1"
在第一阶段变身（正太状态）,"Map258.json,events,20,pages,0,list,10,parameters,0"
推动二楼的岩石逃脱。,"Map258.json,events,20,pages,0,list,11,parameters,0"
需要『水压球』,"Map258.json,events,20,pages,0,list,13,parameters,0"
在上楼后的地图上发光的地方,"Map258.json,events,20,pages,0,list,14,parameters,0"
检查旁边的岩石即可获得。,"Map258.json,events,20,pages,0,list,15,parameters,0"
解锁这个ED,"Map258.json,events,20,pages,0,list,17,parameters,1"
确定要解锁吗？,"Map258.json,events,20,pages,0,list,19,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,20,pages,0,list,20,parameters,0"
是,"Map258.json,events,20,pages,0,list,21,parameters,0,0"
否,"Map258.json,events,20,pages,0,list,21,parameters,0,1"
是,"Map258.json,events,20,pages,0,list,22,parameters,1"
否,"Map258.json,events,20,pages,0,list,28,parameters,1"
否,"Map258.json,events,20,pages,0,list,32,parameters,1"
要看『ED9.入门弟子ED』吗？,"Map258.json,events,20,pages,1,list,2,parameters,0"
是,"Map258.json,events,20,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,20,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,20,pages,1,list,4,parameters,1"
否,"Map258.json,events,20,pages,1,list,14,parameters,1"
※要看『ED10.人鱼篇ED之四』,"Map258.json,events,22,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,22,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,22,pages,0,list,6,parameters,0"
是,"Map258.json,events,22,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,22,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,22,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,22,pages,0,list,8,parameters,1"
在第二阶段变身（女性状态）,"Map258.json,events,22,pages,0,list,10,parameters,0"
推动二楼的岩石逃脱。,"Map258.json,events,22,pages,0,list,11,parameters,0"
需要『水压球』,"Map258.json,events,22,pages,0,list,13,parameters,0"
在上楼后的地图上发光的地方,"Map258.json,events,22,pages,0,list,14,parameters,0"
检查旁边的岩石即可获得。,"Map258.json,events,22,pages,0,list,15,parameters,0"
解锁这个ED,"Map258.json,events,22,pages,0,list,17,parameters,1"
确定要解锁吗？,"Map258.json,events,22,pages,0,list,19,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,22,pages,0,list,20,parameters,0"
是,"Map258.json,events,22,pages,0,list,21,parameters,0,0"
否,"Map258.json,events,22,pages,0,list,21,parameters,0,1"
是,"Map258.json,events,22,pages,0,list,22,parameters,1"
否,"Map258.json,events,22,pages,0,list,28,parameters,1"
否,"Map258.json,events,22,pages,0,list,32,parameters,1"
要看『ED10.摊贩ED』吗？,"Map258.json,events,22,pages,1,list,2,parameters,0"
是,"Map258.json,events,22,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,22,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,22,pages,1,list,4,parameters,1"
否,"Map258.json,events,22,pages,1,list,13,parameters,1"
※要看『ED11.人鱼篇ED之五』,"Map258.json,events,23,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,23,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,23,pages,0,list,6,parameters,0"
是,"Map258.json,events,23,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,23,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,23,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,23,pages,0,list,8,parameters,1"
在第三阶段变身（巨乳状态）,"Map258.json,events,23,pages,0,list,10,parameters,0"
推动二楼的岩石逃脱。,"Map258.json,events,23,pages,0,list,11,parameters,0"
需要『水压球』,"Map258.json,events,23,pages,0,list,13,parameters,0"
在上楼后的地图上发光的地方,"Map258.json,events,23,pages,0,list,14,parameters,0"
检查旁边的岩石即可获得。,"Map258.json,events,23,pages,0,list,15,parameters,0"
解锁这个ED,"Map258.json,events,23,pages,0,list,17,parameters,1"
确定要解锁吗？,"Map258.json,events,23,pages,0,list,19,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,23,pages,0,list,20,parameters,0"
是,"Map258.json,events,23,pages,0,list,21,parameters,0,0"
否,"Map258.json,events,23,pages,0,list,21,parameters,0,1"
是,"Map258.json,events,23,pages,0,list,22,parameters,1"
否,"Map258.json,events,23,pages,0,list,28,parameters,1"
否,"Map258.json,events,23,pages,0,list,32,parameters,1"
要看『ED11.花店卖花女ED』吗？,"Map258.json,events,23,pages,1,list,2,parameters,0"
是,"Map258.json,events,23,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,23,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,23,pages,1,list,4,parameters,1"
否,"Map258.json,events,23,pages,1,list,13,parameters,1"
※要看『ED12.人鱼篇ED之六』,"Map258.json,events,25,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,25,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,25,pages,0,list,6,parameters,0"
是,"Map258.json,events,25,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,25,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,25,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,25,pages,0,list,8,parameters,1"
在第四阶段变身（半妖怪化）,"Map258.json,events,25,pages,0,list,10,parameters,0"
推动二楼的岩石逃脱。,"Map258.json,events,25,pages,0,list,11,parameters,0"
从这个阶段开始不需要水压球。,"Map258.json,events,25,pages,0,list,13,parameters,0"
无论是否持有，都可以破坏。,"Map258.json,events,25,pages,0,list,14,parameters,0"
解锁这个ED,"Map258.json,events,25,pages,0,list,16,parameters,1"
确定要解锁吗？,"Map258.json,events,25,pages,0,list,18,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,25,pages,0,list,19,parameters,0"
是,"Map258.json,events,25,pages,0,list,20,parameters,0,0"
否,"Map258.json,events,25,pages,0,list,20,parameters,0,1"
是,"Map258.json,events,25,pages,0,list,21,parameters,1"
否,"Map258.json,events,25,pages,0,list,27,parameters,1"
否,"Map258.json,events,25,pages,0,list,31,parameters,1"
要看『ED12.观赏人鱼ED』吗？,"Map258.json,events,25,pages,1,list,2,parameters,0"
是,"Map258.json,events,25,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,25,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,25,pages,1,list,4,parameters,1"
慢慢地走出去。,"Map258.json,events,25,pages,1,list,15,parameters,0"
身体轻飘飘地浮在水中，,"Map258.json,events,25,pages,1,list,16,parameters,0"
与在船上时一样着陆……\!并没有摔倒。,"Map258.json,events,25,pages,1,list,17,parameters,0"
\C[27]清彦,"Map258.json,events,25,pages,1,list,19,parameters,0"
「能……游泳？」,"Map258.json,events,25,pages,1,list,20,parameters,0"
在水中游泳是理所当然的。,"Map258.json,events,25,pages,1,list,22,parameters,0"
但刚才她还是在水中行走。,"Map258.json,events,25,pages,1,list,23,parameters,0"
而现在她的身体却浮在水中。,"Map258.json,events,25,pages,1,list,24,parameters,0"
海水不可思议地把身体托起来。,"Map258.json,events,25,pages,1,list,26,parameters,0"
而且，身体在水中保持得很好。,"Map258.json,events,25,pages,1,list,27,parameters,0"
