淫魔化する男（EDに設置するかも）,"Map231.json,events,1,name"
「诶――。,"Map231.json,events,9,pages,0,list,32,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,46,parameters,0"
「呵呵……♡,"Map231.json,events,9,pages,0,list,47,parameters,0"
可怜的小猫咪，初次见面，我是淫魔♡」,"Map231.json,events,9,pages,0,list,48,parameters,0"
淫魔,"Map231.json,events,9,pages,0,list,50,parameters,0"
「我也是淫魔……♪,"Map231.json,events,9,pages,0,list,51,parameters,0"
刚刚几个小时前被师父变成淫魔的♡」,"Map231.json,events,9,pages,0,list,52,parameters,0"
男人,"Map231.json,events,9,pages,0,list,54,parameters,0"
「那……那……」,"Map231.json,events,9,pages,0,list,55,parameters,0"
男人从椅子上滑落，摔了个跟头,"Map231.json,events,9,pages,0,list,57,parameters,0"
嘴巴张合着，发出无声的声音。,"Map231.json,events,9,pages,0,list,58,parameters,0"
没办法。\.\.,"Map231.json,events,9,pages,0,list,60,parameters,0"
教会的人竟然是淫魔,"Map231.json,events,9,pages,0,list,61,parameters,0"
自己竟然陷入了陷阱……。,"Map231.json,events,9,pages,0,list,62,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,70,parameters,0"
「快点，不要逃跑……♪,"Map231.json,events,9,pages,0,list,71,parameters,0"
只是变成淫魔而已，不会死的……♡」,"Map231.json,events,9,pages,0,list,72,parameters,0"
男人,"Map231.json,events,9,pages,0,list,75,parameters,0"
「咕……咕噜……,"Map231.json,events,9,pages,0,list,76,parameters,0"
\.\.\.来人救救我！！！」,"Map231.json,events,9,pages,0,list,77,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,82,parameters,0"
「那样的怪物也是最棒的♪,"Map231.json,events,9,pages,0,list,83,parameters,0"
只需顺从本能，随心所欲……♡」,"Map231.json,events,9,pages,0,list,84,parameters,0"
男人是不是腰软了。,"Map231.json,events,9,pages,0,list,86,parameters,0"
发出可怜的声音，四脚朝天地爬行,"Map231.json,events,9,pages,0,list,87,parameters,0"
试图逃向墙壁。,"Map231.json,events,9,pages,0,list,88,parameters,0"
那边什么都没有，也没有人。,"Map231.json,events,9,pages,0,list,90,parameters,0"
现在已经完全是被困住的老鼠了……。,"Map231.json,events,9,pages,0,list,91,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,94,parameters,0"
「没关系，没关系♡,"Map231.json,events,9,pages,0,list,95,parameters,0"
你的恐惧颤抖会变成幸福的颤抖……♡」,"Map231.json,events,9,pages,0,list,96,parameters,0"
她用双手抱住后脑勺,"Map231.json,events,9,pages,0,list,98,parameters,0"
向男人展示了自己变得面目全非的身体。,"Map231.json,events,9,pages,0,list,99,parameters,0"
但是，男人背对着她,"Map231.json,events,9,pages,0,list,100,parameters,0"
一点也不看她丰满的身体。,"Map231.json,events,9,pages,0,list,101,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,104,parameters,0"
「不需要害怕……♡\!,"Map231.json,events,9,pages,0,list,105,parameters,0"
你也很快就能\C[18]幸福\C[27]的。,"Map231.json,events,9,pages,0,list,106,parameters,0"
因为，什么都不需要考虑」,"Map231.json,events,9,pages,0,list,107,parameters,0"
男人已经软弱到了极点，却还试图爬上墙。,"Map231.json,events,9,pages,0,list,109,parameters,0"
看到这样的姿态，她和她的徒弟淫魔咂了咂舌头。,"Map231.json,events,9,pages,0,list,110,parameters,0"
居然能吃掉这样的大物体……。,"Map231.json,events,9,pages,0,list,111,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,115,parameters,0"
「成为淫魔……真是太好了……♡」,"Map231.json,events,9,pages,0,list,116,parameters,0"
她用手臂和腿抑制住男人，防止他暴动。,"Map231.json,events,9,pages,0,list,126,parameters,0"
尽管如此，男人还是拼命挣扎,"Map231.json,events,9,pages,0,list,127,parameters,0"
但一点反应都没有……,"Map231.json,events,9,pages,0,list,128,parameters,0"
人类真是弱小可悲啊。,"Map231.json,events,9,pages,0,list,129,parameters,0"
对于那个男人，一条尾巴摇摆着靠近。,"Map231.json,events,9,pages,0,list,131,parameters,0"
那是通往淫魔的单程票。,"Map231.json,events,9,pages,0,list,132,parameters,0"
男人,"Map231.json,events,9,pages,0,list,134,parameters,0"
「别过来，别靠近！,"Map231.json,events,9,pages,0,list,135,parameters,0"
别靠近——。,"Map231.json,events,9,pages,0,list,136,parameters,0"
男人,"Map231.json,events,9,pages,0,list,143,parameters,0"
「呜啊……！\.\.\.,"Map231.json,events,9,pages,0,list,144,parameters,0"
咕噗噗……呜啊……！！！」,"Map231.json,events,9,pages,0,list,145,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,147,parameters,0"
「淫魔化液在男人的口中释放出来。,"Map231.json,events,9,pages,0,list,148,parameters,0"
看到他拼命挣扎的样子真是可爱♪,"Map231.json,events,9,pages,0,list,149,parameters,0"
人类咬住它，拼命在口中挣扎,"Map231.json,events,9,pages,0,list,151,parameters,0"
牙齿和舌头的感觉从尾巴传到腰部……,"Map231.json,events,9,pages,0,list,152,parameters,0"
然后……子宫疼得抽搐。,"Map231.json,events,9,pages,0,list,153,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,155,parameters,0"
「可以了吧……？」,"Map231.json,events,9,pages,0,list,156,parameters,0"
男人,"Map231.json,events,9,pages,0,list,158,parameters,0"
「……噗哈！\.\.\.,"Map231.json,events,9,pages,0,list,159,parameters,0"
不要……身体好热，好热……！」,"Map231.json,events,9,pages,0,list,160,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,162,parameters,0"
「会舒服的♡,"Map231.json,events,9,pages,0,list,163,parameters,0"
你也加入我们吧……？」,"Map231.json,events,9,pages,0,list,164,parameters,0"
男人,"Map231.json,events,9,pages,0,list,166,parameters,0"
「啊啊啊啊啊啊啊啊啊啊啊！！！！！！」,"Map231.json,events,9,pages,0,list,167,parameters,0"
变成淫魔的前男人,"Map231.json,events,9,pages,0,list,177,parameters,0"
「啊……♡啊哈……♡,"Map231.json,events,9,pages,0,list,178,parameters,0"
变了……我，已经……♡」,"Map231.json,events,9,pages,0,list,179,parameters,0"
一只淫魔展示着美丽的身体,"Map231.json,events,9,pages,0,list,181,parameters,0"
摇动着新生的羽毛和尾巴。,"Map231.json,events,9,pages,0,list,182,parameters,0"
身体湿润，淫魔的汗水时而闪闪发光,"Map231.json,events,9,pages,0,list,183,parameters,0"
弥漫着浓郁的雌性气息。,"Map231.json,events,9,pages,0,list,184,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,188,parameters,0"
「呵呵……♪,"Map231.json,events,9,pages,0,list,189,parameters,0"
你知道吗？淫魔的头发通常是浅紫色,"Map231.json,events,9,pages,0,list,190,parameters,0"
但偶尔会有颜色不同的淫魔，据说是特别的个体♡」,"Map231.json,events,9,pages,0,list,191,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,193,parameters,0"
「看起来特别强壮呢♪,"Map231.json,events,9,pages,0,list,194,parameters,0"
深紫色的我和橙色的你是特别的♡」,"Map231.json,events,9,pages,0,list,195,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,197,parameters,0"
「不过，你要称呼我的徒弟为姐姐♪」,"Map231.json,events,9,pages,0,list,198,parameters,0"
变成淫魔的前男人,"Map231.json,events,9,pages,0,list,200,parameters,0"
「我……特别的呢……♡,"Map231.json,events,9,pages,0,list,201,parameters,0"
必须去。停止这个身体的疼痛……♪」,"Map231.json,events,9,pages,0,list,202,parameters,0"
变成淫魔的前男人,"Map231.json,events,9,pages,0,list,204,parameters,0"
「姐姐……请多关照……♡」,"Map231.json,events,9,pages,0,list,205,parameters,0"
原来是教会的淫魔,"Map231.json,events,9,pages,0,list,207,parameters,0"
「我也一样，请多关照……♡我的可爱妹妹……♪」,"Map231.json,events,9,pages,0,list,208,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,210,parameters,0"
「加油哦♡,"Map231.json,events,9,pages,0,list,211,parameters,0"
说不定还有其他人类在某个地方,"Map231.json,events,9,pages,0,list,212,parameters,0"
努力找到他们，让他们成为伙伴吧♪」,"Map231.json,events,9,pages,0,list,213,parameters,0"
两人,"Map231.json,events,9,pages,0,list,215,parameters,0"
「「好的……♡」」,"Map231.json,events,9,pages,0,list,216,parameters,0"
这样，淫魔又增加了一人。,"Map231.json,events,9,pages,0,list,220,parameters,0"
她们会扩大势力到什么程度呢……。,"Map231.json,events,9,pages,0,list,221,parameters,0"
\C[27]淫魔,"Map231.json,events,9,pages,0,list,223,parameters,0"
「果然增加伙伴最棒了……♡」,"Map231.json,events,9,pages,0,list,224,parameters,0"
曾经被称为清彦的淫魔,"Map231.json,events,9,pages,0,list,226,parameters,0"
陶醉在增加伙伴的余韵中。,"Map231.json,events,9,pages,0,list,227,parameters,0"
ED28.完全淫魔化ED,"Map231.json,events,9,pages,0,list,233,parameters,0"
