敌方阿尔劳内A,"Map055.json,events,1,name"
反应有些迟钝。,"Map055.json,events,2,pages,0,list,51,parameters,0"
尽管他手放在腰间的剑上，但她毫无警戒心。,"Map055.json,events,2,pages,0,list,52,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,54,parameters,0"
「（要小心……但是，在这种情况下）」,"Map055.json,events,2,pages,0,list,55,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,58,parameters,0"
「啊啊，稍等一下。,"Map055.json,events,2,pages,0,list,59,parameters,0"
我来这里探索这片森林,"Map055.json,events,2,pages,0,list,60,parameters,0"
你知道这里有什么吗？」,"Map055.json,events,2,pages,0,list,61,parameters,0"
既然不会发生战斗，那就没关系。,"Map055.json,events,2,pages,0,list,63,parameters,0"
小心谨慎地友好交谈。,"Map055.json,events,2,pages,0,list,64,parameters,0"
「嗯～……？\!,"Map055.json,events,2,pages,0,list,67,parameters,0"
这片森林深处有一座建筑物呢。,"Map055.json,events,2,pages,0,list,68,parameters,0"
除了我们\C[18]『阿露露奈』\C[0]之外没有其他人哦？」,"Map055.json,events,2,pages,0,list,69,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,71,parameters,0"
「原来如此……谢谢你。,"Map055.json,events,2,pages,0,list,72,parameters,0"
我再往前走一点点」,"Map055.json,events,2,pages,0,list,73,parameters,0"
阿露露奈,"Map055.json,events,2,pages,0,list,76,parameters,0"
「好～♪小心点哦」,"Map055.json,events,2,pages,0,list,77,parameters,0"
阿露露奈……吗。,"Map055.json,events,2,pages,0,list,85,parameters,0"
虽然听说过，但是第一次见面。,"Map055.json,events,2,pages,0,list,86,parameters,0"
她用球茎吸水，也享受着阳光。,"Map055.json,events,2,pages,0,list,88,parameters,0"
真正的植物魔物娘。,"Map055.json,events,2,pages,0,list,89,parameters,0"
她那悠闲的性格,"Map055.json,events,2,pages,0,list,90,parameters,0"
也许适合森林的居民。,"Map055.json,events,2,pages,0,list,91,parameters,0"
清彦,"Map055.json,events,2,pages,0,list,93,parameters,0"
「（没敌意真是太好了。,"Map055.json,events,2,pages,0,list,94,parameters,0"
总之，先往前走吧）」,"Map055.json,events,2,pages,0,list,95,parameters,0"
敌人阿鲁拉乌涅,"Map055.json,events,8,name"
清彦,"Map055.json,events,8,pages,0,list,1,parameters,0"
「（在睡觉啊。,"Map055.json,events,8,pages,0,list,2,parameters,0"
还是不要打扰比较好）」,"Map055.json,events,8,pages,0,list,3,parameters,0"
敌人阿鲁拉乌涅,"Map055.json,events,9,name"
阿露露奈,"Map055.json,events,9,pages,0,list,1,parameters,0"
「散步～♪」,"Map055.json,events,9,pages,0,list,2,parameters,0"
清彦,"Map055.json,events,9,pages,0,list,4,parameters,0"
「（看起来很开心啊）」,"Map055.json,events,9,pages,0,list,5,parameters,0"
敌人阿鲁拉乌涅,"Map055.json,events,10,name"
阿露露奈,"Map055.json,events,10,pages,0,list,1,parameters,0"
「这朵花有一种奇怪的香味。,"Map055.json,events,10,pages,0,list,2,parameters,0"
不知道种子是从哪里飞来的」,"Map055.json,events,10,pages,0,list,3,parameters,0"
敌人阿鲁拉乌涅,"Map055.json,events,11,name"
阿露露奈,"Map055.json,events,11,pages,0,list,1,parameters,0"
「偶尔不动一下的话,"Map055.json,events,11,pages,0,list,2,parameters,0"
根会附着在地面上的」,"Map055.json,events,11,pages,0,list,3,parameters,0"
