魅魔清彦,"Map230.json,events,1,name"
教堂的人,"Map230.json,events,10,pages,0,list,116,parameters,0"
「（这个淫魔是什么东西……！,"Map230.json,events,10,pages,0,list,117,parameters,0"
和以前的淫魔相比，实力、速度都完全不同！,"Map230.json,events,10,pages,0,list,118,parameters,0"
只是头发颜色不同就这么大的差别……！？）」,"Map230.json,events,10,pages,0,list,119,parameters,0"
\C[27]淫魔,"Map230.json,events,10,pages,0,list,121,parameters,0"
「逃跑是不行的♪,"Map230.json,events,10,pages,0,list,122,parameters,0"
\.\.\.来吧，和我一起尽情享受吧……♪,"Map230.json,events,10,pages,0,list,123,parameters,0"
这里已经到了极限了呢……♡」,"Map230.json,events,10,pages,0,list,124,parameters,0"
尾巴的尖端轻轻地张开了。,"Map230.json,events,10,pages,0,list,126,parameters,0"
咕噗啊……♡发出声音的那个东西,"Map230.json,events,10,pages,0,list,128,parameters,0"
似乎比平时更多地分泌体液。,"Map230.json,events,10,pages,0,list,129,parameters,0"
看到这一幕，教堂的人脸上扭曲了。,"Map230.json,events,10,pages,0,list,131,parameters,0"
是一种从未见过的恐惧混合的表情……。,"Map230.json,events,10,pages,0,list,132,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,134,parameters,0"
「呜……\.\.\.呜呜……！」,"Map230.json,events,10,pages,0,list,135,parameters,0"
含着泪水，低声说道。,"Map230.json,events,10,pages,0,list,137,parameters,0"
现在教堂的人只能依靠别人。,"Map230.json,events,10,pages,0,list,138,parameters,0"
希望我的养育之恩师能立刻来救我，这样。,"Map230.json,events,10,pages,0,list,139,parameters,0"
\C[27]淫魔,"Map230.json,events,10,pages,0,list,141,parameters,0"
「没关系……♡,"Map230.json,events,10,pages,0,list,142,parameters,0"
我会成为你的淫魔导师的♪\.\.,"Map230.json,events,10,pages,0,list,143,parameters,0"
请把你的身体交给我……\.\.\.\.好吗？」,"Map230.json,events,10,pages,0,list,144,parameters,0"
微笑着倾斜头轻轻地想着,"Map230.json,events,10,pages,0,list,146,parameters,0"
或许教堂的人的恐惧会稍微缓解一些……。,"Map230.json,events,10,pages,0,list,147,parameters,0"
但是，效果似乎完全没有。,"Map230.json,events,10,pages,0,list,148,parameters,0"
\C[27]淫魔,"Map230.json,events,10,pages,0,list,150,parameters,0"
「算了吧……。,"Map230.json,events,10,pages,0,list,151,parameters,0"
那么，让我们开始吧……教你淫魔的世界,"Map230.json,events,10,pages,0,list,152,parameters,0"
\.\.\.\.啊・\.\.\.・格・\.\.\.尔♪」,"Map230.json,events,10,pages,0,list,153,parameters,0"
教堂的人,"Map230.json,events,10,pages,0,list,159,parameters,0"
「不……不行――。\.\.\.,"Map230.json,events,10,pages,0,list,160,parameters,0"
不要啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！」,"Map230.json,events,10,pages,0,list,161,parameters,0"
数小时后……。,"Map230.json,events,10,pages,0,list,169,parameters,0"
