もと父親,"Map088.json,events,1,name"
「咦……？你们两个，难道」,"Map088.json,events,1,pages,1,list,11,parameters,0"
右边的女孩,"Map088.json,events,1,pages,1,list,17,parameters,0"
「原来如此……那次的冒险家先生就是你啊。,"Map088.json,events,1,pages,1,list,18,parameters,0"
虽然听说过清彦先生的名字,"Map088.json,events,1,pages,1,list,19,parameters,0"
没想到是你」,"Map088.json,events,1,pages,1,list,20,parameters,0"
右边的女孩,"Map088.json,events,1,pages,1,list,22,parameters,0"
「那次真是多亏了你」,"Map088.json,events,1,pages,1,list,23,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,1,list,25,parameters,0"
「不，我才要感谢你们。,"Map088.json,events,1,pages,1,list,26,parameters,0"
多亏了你们，我才能让城里的人恢复人类,"Map088.json,events,1,pages,1,list,27,parameters,0"
而且我自己也变了，所以不值一提」,"Map088.json,events,1,pages,1,list,28,parameters,0"
两人鞠躬并互相致意。,"Map088.json,events,1,pages,1,list,30,parameters,0"
\!孩子们以成人的言行举止得体地表现出礼貌，,"Map088.json,events,1,pages,1,list,31,parameters,0"
创造出一种奇特的氛围。,"Map088.json,events,1,pages,1,list,32,parameters,0"
从旁边看，会是什么样子呢？,"Map088.json,events,1,pages,1,list,33,parameters,0"
左边的女孩,"Map088.json,events,1,pages,1,list,35,parameters,0"
「那个时候是哥哥呢。,"Map088.json,events,1,pages,1,list,36,parameters,0"
是我袭击了你，对不起」,"Map088.json,events,1,pages,1,list,37,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,1,list,39,parameters,0"
「哪里哪里，那是没办法的事情」,"Map088.json,events,1,pages,1,list,40,parameters,0"
尽管这个孩子实际年龄很小，但却变成了萝莉魅魔。,"Map088.json,events,1,pages,1,list,42,parameters,0"
……所以，一旦恢复原状，精神面也应该回到与年龄相符的状态。,"Map088.json,events,1,pages,1,list,43,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,1,list,45,parameters,0"
「（虽然如此，看起来也像是很成熟的样子）」,"Map088.json,events,1,pages,1,list,46,parameters,0"
萝莉魅魔的记忆很可能还存在。,"Map088.json,events,1,pages,1,list,48,parameters,0"
说不定，受其影响，只有精神面成长了……？,"Map088.json,events,1,pages,1,list,49,parameters,0"
左边的女孩,"Map088.json,events,1,pages,1,list,54,parameters,0"
「啊！爸爸，差不多时间了」,"Map088.json,events,1,pages,1,list,55,parameters,0"
右边的女孩,"Map088.json,events,1,pages,1,list,59,parameters,0"
「噢……那我们差不多走吧」,"Map088.json,events,1,pages,1,list,60,parameters,0"
左边的女孩,"Map088.json,events,1,pages,1,list,63,parameters,0"
「嗯♪」,"Map088.json,events,1,pages,1,list,64,parameters,0"
右边的女孩,"Map088.json,events,1,pages,1,list,70,parameters,0"
「那么清彦先生，我们就此告辞了」,"Map088.json,events,1,pages,1,list,71,parameters,0"
左边的女孩,"Map088.json,events,1,pages,1,list,73,parameters,0"
「哥哥，再见♪」,"Map088.json,events,1,pages,1,list,74,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,1,list,76,parameters,0"
「辛苦了」,"Map088.json,events,1,pages,1,list,77,parameters,0"
左边的女孩,"Map088.json,events,1,pages,1,list,84,parameters,0"
「爸爸，今天也由我来带路……♡」,"Map088.json,events,1,pages,1,list,85,parameters,0"
在离开之际，听到了女儿低声说了些什么，,"Map088.json,events,1,pages,1,list,90,parameters,0"
故意装作没听见。,"Map088.json,events,1,pages,1,list,91,parameters,0"
\C[27]清彦,"Map088.json,events,1,pages,1,list,93,parameters,0"
「应该阻止……不，这是家庭问题。,"Map088.json,events,1,pages,1,list,94,parameters,0"
作为外人的我没有发言权」,"Map088.json,events,1,pages,1,list,95,parameters,0"
士兵,"Map088.json,events,5,name"
士兵,"Map088.json,events,5,pages,0,list,1,parameters,0"
「非常抱歉。,"Map088.json,events,5,pages,0,list,2,parameters,0"
从这里开始，只有居民才能进入」,"Map088.json,events,5,pages,0,list,3,parameters,0"
士兵,"Map088.json,events,5,pages,1,list,1,parameters,0"
「非常抱歉。,"Map088.json,events,5,pages,1,list,2,parameters,0"
从这里开始，只有居民才能进入」,"Map088.json,events,5,pages,1,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,5,pages,1,list,5,parameters,0"
「那么……」,"Map088.json,events,5,pages,1,list,6,parameters,0"
向士兵展示了卡片。,"Map088.json,events,5,pages,1,list,8,parameters,0"
士兵接过卡片，反复查看正反面……,"Map088.json,events,5,pages,1,list,9,parameters,0"
士兵,"Map088.json,events,5,pages,1,list,11,parameters,0"
「失礼了。,"Map088.json,events,5,pages,1,list,12,parameters,0"
请通过」,"Map088.json,events,5,pages,1,list,13,parameters,0"
\C[27]清彦,"Map088.json,events,5,pages,1,list,15,parameters,0"
「（该怎么办呢……）」,"Map088.json,events,5,pages,1,list,16,parameters,0"
现在去,"Map088.json,events,5,pages,1,list,17,parameters,0,0"
以后再说,"Map088.json,events,5,pages,1,list,17,parameters,0,1"
现在去,"Map088.json,events,5,pages,1,list,18,parameters,1"
\C[27]清彦,"Map088.json,events,5,pages,1,list,27,parameters,0"
「根据地图……是这里吧。,"Map088.json,events,5,pages,1,list,28,parameters,0"
……打扰了」,"Map088.json,events,5,pages,1,list,29,parameters,0"
以后再说,"Map088.json,events,5,pages,1,list,35,parameters,1"
\C[27]清彦,"Map088.json,events,5,pages,2,list,1,parameters,0"
「（该怎么办呢……）」,"Map088.json,events,5,pages,2,list,2,parameters,0"
现在去,"Map088.json,events,5,pages,2,list,3,parameters,0,0"
以后再说,"Map088.json,events,5,pages,2,list,3,parameters,0,1"
现在去,"Map088.json,events,5,pages,2,list,4,parameters,1"
\C[27]清彦,"Map088.json,events,5,pages,2,list,13,parameters,0"
「根据地图……是这里吧。,"Map088.json,events,5,pages,2,list,14,parameters,0"
……打扰了」,"Map088.json,events,5,pages,2,list,15,parameters,0"
以后再说,"Map088.json,events,5,pages,2,list,21,parameters,1"
清彦,"Map088.json,events,5,pages,3,list,1,parameters,0"
「（……还是多逛逛城市吧）」,"Map088.json,events,5,pages,3,list,2,parameters,0"
士兵,"Map088.json,events,5,pages,4,list,1,parameters,0"
「非常抱歉。,"Map088.json,events,5,pages,4,list,2,parameters,0"
从这里开始，只有居民才能进入」,"Map088.json,events,5,pages,4,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,5,pages,4,list,5,parameters,0"
「（飞过去就能侵入……。,"Map088.json,events,5,pages,4,list,6,parameters,0"
不，看起来很明显是犯罪。还是算了）」,"Map088.json,events,5,pages,4,list,7,parameters,0"
士兵,"Map088.json,events,5,pages,5,list,1,parameters,0"
「这是『居住区入场卡』。,"Map088.json,events,5,pages,5,list,2,parameters,0"
是的……确实。旅馆在最里面。,"Map088.json,events,5,pages,5,list,3,parameters,0"
请您不要做出给他人添麻烦的行为，谢谢」,"Map088.json,events,5,pages,5,list,4,parameters,0"
清彦,"Map088.json,events,5,pages,5,list,6,parameters,0"
「谢谢」,"Map088.json,events,5,pages,5,list,7,parameters,0"
士兵,"Map088.json,events,5,pages,6,list,2,parameters,0"
「嗯……\.\.哈啊……♡\.\.魅魔小姐呀♡\.\.,"Map088.json,events,5,pages,6,list,3,parameters,0"
对、对不起……。,"Map088.json,events,5,pages,6,list,4,parameters,0"
居住区卡是没问题的，我已经听说了」,"Map088.json,events,5,pages,6,list,5,parameters,0"
\C[27]清彦,"Map088.json,events,5,pages,6,list,7,parameters,0"
「（他有点局促不安，气喘吁吁。,"Map088.json,events,5,pages,6,list,8,parameters,0"
汗水很多，雌性的气味很浓。,"Map088.json,events,5,pages,6,list,9,parameters,0"
没事……不对，应该不会有事吧）」,"Map088.json,events,5,pages,6,list,10,parameters,0"
本来想问你还好吗？但觉得如果反应奇怪的话，还是不问为好。,"Map088.json,events,5,pages,6,list,12,parameters,0"
这就是成人的处理方式。,"Map088.json,events,5,pages,6,list,13,parameters,0"
士兵,"Map088.json,events,5,pages,7,list,2,parameters,0"
「魅魔小姐请……♡」,"Map088.json,events,5,pages,7,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,5,pages,7,list,5,parameters,0"
「（果然还是说一下比较好吗？）」,"Map088.json,events,5,pages,7,list,6,parameters,0"
士兵,"Map088.json,events,5,pages,8,list,2,parameters,0"
「嗯……\.\.哈啊……♡\.\.魅魔酱呀♡\.\.,"Map088.json,events,5,pages,8,list,3,parameters,0"
好可爱～♡♡♡\.\.对、对不起……。,"Map088.json,events,5,pages,8,list,4,parameters,0"
居住区卡是没问题的，我已经听说了」,"Map088.json,events,5,pages,8,list,5,parameters,0"
\C[27]清彦,"Map088.json,events,5,pages,8,list,7,parameters,0"
「（从盔甲下传来的气味很浓。,"Map088.json,events,5,pages,8,list,8,parameters,0"
……这下面一定乱七八糟了吧）」,"Map088.json,events,5,pages,8,list,9,parameters,0"
本来想问你还好吗？但觉得如果反应奇怪的话，还是不问为好。,"Map088.json,events,5,pages,8,list,11,parameters,0"
装作没注意到是最好的。,"Map088.json,events,5,pages,8,list,12,parameters,0"
这就是成人的处理方式。,"Map088.json,events,5,pages,8,list,13,parameters,0"
士兵,"Map088.json,events,5,pages,9,list,2,parameters,0"
「魅魔酱请……♡」,"Map088.json,events,5,pages,9,list,3,parameters,0"
\C[27]清彦,"Map088.json,events,5,pages,9,list,5,parameters,0"
「（果然还是说一下比较好吗？）」,"Map088.json,events,5,pages,9,list,6,parameters,0"
清彦,"Map088.json,events,6,pages,0,list,1,parameters,0"
「锁着呢」,"Map088.json,events,6,pages,0,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,1,list,1,parameters,0"
「锁着呢」,"Map088.json,events,6,pages,1,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,2,list,1,parameters,0"
「门锁上了……\!嗯」,"Map088.json,events,6,pages,2,list,2,parameters,0"
从里面传来一股奇怪的气味。,"Map088.json,events,6,pages,2,list,4,parameters,0"
香水……不对，这个是。,"Map088.json,events,6,pages,2,list,5,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,2,list,7,parameters,0"
「血……？,"Map088.json,events,6,pages,2,list,8,parameters,0"
这里是医院，不对吧……」,"Map088.json,events,6,pages,2,list,9,parameters,0"
也许最好不要再深入调查了。,"Map088.json,events,6,pages,2,list,14,parameters,0"
如果探头进去，接下来会发生什么呢。,"Map088.json,events,6,pages,2,list,15,parameters,0"
我选择假装没看见她。,"Map088.json,events,6,pages,2,list,16,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,3,list,1,parameters,0"
「锁着呢」,"Map088.json,events,6,pages,3,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,4,list,1,parameters,0"
「锁着呢」,"Map088.json,events,6,pages,4,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,5,list,1,parameters,0"
「（魔力从哪里涌出来的。,"Map088.json,events,6,pages,5,list,2,parameters,0"
……在室内做了什么吗？,"Map088.json,events,6,pages,5,list,3,parameters,0"
虽然觉得是使用了魔法的实验）」,"Map088.json,events,6,pages,5,list,4,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,5,list,6,parameters,0"
「（还是不要过多干涉比较好）」,"Map088.json,events,6,pages,5,list,7,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,6,list,2,parameters,0"
「咻……」,"Map088.json,events,6,pages,6,list,3,parameters,0"
靠近门时，背脊一阵发凉。,"Map088.json,events,6,pages,6,list,5,parameters,0"
起了鸡皮疙瘩。,"Map088.json,events,6,pages,6,list,6,parameters,0"
本能告诉我不要靠近这里。,"Map088.json,events,6,pages,6,list,7,parameters,0"
因为会成为实验品什么的，很危险。,"Map088.json,events,6,pages,6,list,8,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,6,list,10,parameters,0"
「（离开吧……）」,"Map088.json,events,6,pages,6,list,11,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,7,list,1,parameters,0"
「（最好不要靠近这里）」,"Map088.json,events,6,pages,7,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,8,list,1,parameters,0"
「（没想到店长会从这里过来……）」,"Map088.json,events,6,pages,8,list,2,parameters,0"
后来听说，他们在那里只是偶然。,"Map088.json,events,6,pages,8,list,4,parameters,0"
本来打算不管他们的，,"Map088.json,events,6,pages,8,list,5,parameters,0"
但是因为看到他们拿着破魔之剑，,"Map088.json,events,6,pages,8,list,6,parameters,0"
所以决定去救他们。,"Map088.json,events,6,pages,8,list,7,parameters,0"
……也就是说，如果没有拿着剑的话就会变成魅魔。,"Map088.json,events,6,pages,8,list,9,parameters,0"
现在可能正在寻找人类吧。,"Map088.json,events,6,pages,8,list,10,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,8,list,12,parameters,0"
「（……在这次大流行开始时，,"Map088.json,events,6,pages,8,list,13,parameters,0"
无论如何我都无法避免变成这个样子，是吗）」,"Map088.json,events,6,pages,8,list,14,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,9,list,1,parameters,0"
「（后来听说，那个地下通道与这里的仓库相连）」,"Map088.json,events,6,pages,9,list,2,parameters,0"
在这座建筑物的后面有一个实验场的入口，,"Map088.json,events,6,pages,9,list,4,parameters,0"
店长拉着我的手，去了那里。,"Map088.json,events,6,pages,9,list,5,parameters,0"
……因为看到他们拿着破魔之剑，,"Map088.json,events,6,pages,9,list,7,parameters,0"
所以救了他们。,"Map088.json,events,6,pages,9,list,8,parameters,0"
换句话说，如果没有拿着剑的话，,"Map088.json,events,6,pages,9,list,9,parameters,0"
身心都会变成魅魔。,"Map088.json,events,6,pages,9,list,10,parameters,0"
现在可能正在寻找人类吧。,"Map088.json,events,6,pages,9,list,12,parameters,0"
\C[27]清彦,"Map088.json,events,6,pages,9,list,14,parameters,0"
「（无论如何，我变成这个样子是,"Map088.json,events,6,pages,9,list,15,parameters,0"
既定的事实……如果把拯救世界的代价,"Map088.json,events,6,pages,9,list,16,parameters,0"
看作是这个的话，那就算便宜了吧……？）」,"Map088.json,events,6,pages,9,list,17,parameters,0"
并不是死了，也没有什么后遗症。,"Map088.json,events,6,pages,9,list,19,parameters,0"
只是外表变了，性别变了，年龄变年轻了，,"Map088.json,events,6,pages,9,list,20,parameters,0"
身高变低了，种族也变了而已。,"Map088.json,events,6,pages,9,list,21,parameters,0"
就只有这些。,"Map088.json,events,6,pages,9,list,23,parameters,0"
\!现在应该满足于这个结果吧。,"Map088.json,events,6,pages,9,list,24,parameters,0"
公寓『悶悶』,"Map088.json,events,7,pages,0,list,1,parameters,0"
目前已满员。,"Map088.json,events,7,pages,0,list,2,parameters,0"
公寓『悶悶』,"Map088.json,events,7,pages,1,list,3,parameters,0"
目前已满员。,"Map088.json,events,7,pages,1,list,4,parameters,0"
\C[27]清香,"Map088.json,events,7,pages,1,list,7,parameters,0"
「公寓……悶悶？」,"Map088.json,events,7,pages,1,list,8,parameters,0"
\C[27]清彦,"Map088.json,events,7,pages,1,list,11,parameters,0"
「太好了，连片假名也能读」,"Map088.json,events,7,pages,1,list,12,parameters,0"
平假名也能读。,"Map088.json,events,7,pages,1,list,14,parameters,0"
片假名也能读。,"Map088.json,events,7,pages,1,list,15,parameters,0"
\!啊，啊啊，什么都没忘记。,"Map088.json,events,7,pages,1,list,16,parameters,0"
\C[27]清香,"Map088.json,events,7,pages,1,list,18,parameters,0"
「汉字要重新学习呢……」,"Map088.json,events,7,pages,1,list,19,parameters,0"
看着写着『目前已满员』的字眼。,"Map088.json,events,7,pages,1,list,21,parameters,0"
……真的什么都想不起来。,"Map088.json,events,7,pages,1,list,22,parameters,0"
也许连『满员』这个词的意思,"Map088.json,events,7,pages,1,list,23,parameters,0"
她现在都不知道。,"Map088.json,events,7,pages,1,list,24,parameters,0"
\C[27]清香,"Map088.json,events,7,pages,1,list,29,parameters,0"
「悶悶，好奇怪的名字呢」,"Map088.json,events,7,pages,1,list,30,parameters,0"
直言不讳。\!,"Map088.json,events,7,pages,1,list,32,parameters,0"
孩子们有时候会直接说出来，,"Map088.json,events,7,pages,1,list,33,parameters,0"
但如果被房东听到的话可能会被责备。,"Map088.json,events,7,pages,1,list,34,parameters,0"
花店『香』即将开业。,"Map088.json,events,8,pages,0,list,1,parameters,0"
清彦,"Map088.json,events,9,pages,0,list,1,parameters,0"
「锁着呢」,"Map088.json,events,9,pages,0,list,2,parameters,0"
\C[27]清彦,"Map088.json,events,9,pages,1,list,1,parameters,0"
「锁着呢」,"Map088.json,events,9,pages,1,list,2,parameters,0"
花店的男人,"Map088.json,events,10,name"
男人,"Map088.json,events,10,pages,0,list,1,parameters,0"
「终于开自己的店了。,"Map088.json,events,10,pages,0,list,2,parameters,0"
我一直很喜欢花，开花店是我的梦想。,"Map088.json,events,10,pages,0,list,3,parameters,0"
即将开业。如果方便的话，请来光顾！」,"Map088.json,events,10,pages,0,list,4,parameters,0"
男人,"Map088.json,events,10,pages,1,list,1,parameters,0"
「终于开自己的店了。,"Map088.json,events,10,pages,1,list,2,parameters,0"
我一直很喜欢花，开花店是我的梦想。,"Map088.json,events,10,pages,1,list,3,parameters,0"
即将开业。如果方便的话，请来光顾！」,"Map088.json,events,10,pages,1,list,4,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,1,list,6,parameters,0"
「（花……,"Map088.json,events,10,pages,1,list,7,parameters,0"
说起来，那个人好像喜欢玫瑰）」,"Map088.json,events,10,pages,1,list,8,parameters,0"
男人,"Map088.json,events,10,pages,2,list,2,parameters,0"
「终于开自己的店了。,"Map088.json,events,10,pages,2,list,3,parameters,0"
我一直很喜欢花，开花店是我的梦想。,"Map088.json,events,10,pages,2,list,4,parameters,0"
\!……你，要不要在这里当售货员？」,"Map088.json,events,10,pages,2,list,5,parameters,0"
男人,"Map088.json,events,10,pages,2,list,7,parameters,0"
「薪水的话……嗯，就这个水平吧。,"Map088.json,events,10,pages,2,list,8,parameters,0"
怎么样？我觉得还不错」,"Map088.json,events,10,pages,2,list,9,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,2,list,11,parameters,0"
「诶……？,"Map088.json,events,10,pages,2,list,12,parameters,0"
（虽然不算差……）,"Map088.json,events,10,pages,2,list,13,parameters,0"
嗯，是的……」,"Map088.json,events,10,pages,2,list,14,parameters,0"
做,"Map088.json,events,10,pages,2,list,15,parameters,0,0"
请给我一点时间考虑,"Map088.json,events,10,pages,2,list,15,parameters,0,1"
做,"Map088.json,events,10,pages,2,list,16,parameters,1"
\C[27]清彦,"Map088.json,events,10,pages,2,list,20,parameters,0"
「（无论如何两个月……,"Map088.json,events,10,pages,2,list,21,parameters,0"
虽然受教会的人照顾，,"Map088.json,events,10,pages,2,list,22,parameters,0"
但如果不工作而是宅在家里的话，会感到抱歉）」,"Map088.json,events,10,pages,2,list,23,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,2,list,25,parameters,0"
「（还要考虑恢复原状的事情。,"Map088.json,events,10,pages,2,list,26,parameters,0"
现在是存钱，积攒冒险的资金的时候）」,"Map088.json,events,10,pages,2,list,27,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,2,list,30,parameters,0"
「那么……请多关照」,"Map088.json,events,10,pages,2,list,31,parameters,0"
男人,"Map088.json,events,10,pages,2,list,34,parameters,0"
「真的吗！？,"Map088.json,events,10,pages,2,list,35,parameters,0"
有你这样的孩子，客人也会高兴的。,"Map088.json,events,10,pages,2,list,36,parameters,0"
好～，我有了干劲！」,"Map088.json,events,10,pages,2,list,37,parameters,0"
男人,"Map088.json,events,10,pages,2,list,39,parameters,0"
「虽然有点突然，从今天开始拜托了。,"Map088.json,events,10,pages,2,list,40,parameters,0"
店里还没有整理好呢」,"Map088.json,events,10,pages,2,list,41,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,2,list,44,parameters,0"
「好、好的！」,"Map088.json,events,10,pages,2,list,45,parameters,0"
――几周后。,"Map088.json,events,10,pages,2,list,52,parameters,0"
请给我一点时间考虑,"Map088.json,events,10,pages,2,list,58,parameters,1"
男人,"Map088.json,events,10,pages,2,list,60,parameters,0"
「这样啊。,"Map088.json,events,10,pages,2,list,61,parameters,0"
期待你的答复」,"Map088.json,events,10,pages,2,list,62,parameters,0"
男人,"Map088.json,events,10,pages,3,list,2,parameters,0"
「你重新考虑了吗？」,"Map088.json,events,10,pages,3,list,3,parameters,0"
请多关照,"Map088.json,events,10,pages,3,list,4,parameters,0,0"
请再给我一点时间考虑,"Map088.json,events,10,pages,3,list,4,parameters,0,1"
请多关照,"Map088.json,events,10,pages,3,list,5,parameters,1"
\C[27]清彦,"Map088.json,events,10,pages,3,list,9,parameters,0"
「（无论如何两个月……,"Map088.json,events,10,pages,3,list,10,parameters,0"
虽然受教会的人照顾，,"Map088.json,events,10,pages,3,list,11,parameters,0"
但如果不工作而是宅在家里的话，会感到抱歉）」,"Map088.json,events,10,pages,3,list,12,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,3,list,14,parameters,0"
「（还要考虑恢复原状的事情。,"Map088.json,events,10,pages,3,list,15,parameters,0"
现在是存钱，积攒冒险的资金的时候）」,"Map088.json,events,10,pages,3,list,16,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,3,list,19,parameters,0"
「那么……请多关照」,"Map088.json,events,10,pages,3,list,20,parameters,0"
男人,"Map088.json,events,10,pages,3,list,23,parameters,0"
「真的吗！？,"Map088.json,events,10,pages,3,list,24,parameters,0"
有你这样的孩子，客人也会高兴的。,"Map088.json,events,10,pages,3,list,25,parameters,0"
好～，我有了干劲！」,"Map088.json,events,10,pages,3,list,26,parameters,0"
男人,"Map088.json,events,10,pages,3,list,28,parameters,0"
「虽然有点突然，从今天开始拜托了。,"Map088.json,events,10,pages,3,list,29,parameters,0"
店里还没有整理好呢」,"Map088.json,events,10,pages,3,list,30,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,3,list,33,parameters,0"
「好、好的！」,"Map088.json,events,10,pages,3,list,34,parameters,0"
――几周后。,"Map088.json,events,10,pages,3,list,41,parameters,0"
请再给我一点时间考虑,"Map088.json,events,10,pages,3,list,47,parameters,1"
男人,"Map088.json,events,10,pages,3,list,49,parameters,0"
「这样啊。,"Map088.json,events,10,pages,3,list,50,parameters,0"
期待你的答复」,"Map088.json,events,10,pages,3,list,51,parameters,0"
男人,"Map088.json,events,10,pages,4,list,1,parameters,0"
「终于开自己的店了。,"Map088.json,events,10,pages,4,list,2,parameters,0"
我一直很喜欢花，开花店是我的梦想。,"Map088.json,events,10,pages,4,list,3,parameters,0"
即将开业。如果方便的话，请来光顾！」,"Map088.json,events,10,pages,4,list,4,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,4,list,6,parameters,0"
「（花……吗。,"Map088.json,events,10,pages,4,list,7,parameters,0"
大妖狐好像喜欢花）」,"Map088.json,events,10,pages,4,list,8,parameters,0"
男人,"Map088.json,events,10,pages,5,list,1,parameters,0"
「终于开自己的店了。,"Map088.json,events,10,pages,5,list,2,parameters,0"
我一直很喜欢花，开花店是我的梦想。,"Map088.json,events,10,pages,5,list,3,parameters,0"
即将开业。如果方便的话，请来光顾！」,"Map088.json,events,10,pages,5,list,4,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,5,list,6,parameters,0"
「（花……吗。,"Map088.json,events,10,pages,5,list,7,parameters,0"
用这样的爪子，甚至连握花都做不到吧）」,"Map088.json,events,10,pages,5,list,8,parameters,0"
女人,"Map088.json,events,10,pages,6,list,2,parameters,0"
「想要女性店员，我一直有这个想法，,"Map088.json,events,10,pages,6,list,3,parameters,0"
但没想到我……不，我会……」,"Map088.json,events,10,pages,6,list,4,parameters,0"
女人,"Map088.json,events,10,pages,6,list,6,parameters,0"
「但是嘛……变年轻也不是坏事。,"Map088.json,events,10,pages,6,list,7,parameters,0"
虽然力量下降了，但还能做到以前能做的事。,"Map088.json,events,10,pages,6,list,8,parameters,0"
比变成小孩要好多了」,"Map088.json,events,10,pages,6,list,9,parameters,0"
女人,"Map088.json,events,10,pages,6,list,11,parameters,0"
「只是……有时候会被受困于后遗症的人,"Map088.json,events,10,pages,6,list,12,parameters,0"
袭击。如果不是以前的冒险家的话，,"Map088.json,events,10,pages,6,list,13,parameters,0"
现在可能已经很危险了……」,"Map088.json,events,10,pages,6,list,14,parameters,0"
\C[27]清彦,"Map088.json,events,10,pages,6,list,17,parameters,0"
「（被袭击了吗）」,"Map088.json,events,10,pages,6,list,18,parameters,0"
即使被袭击，也能抵抗下来。,"Map088.json,events,10,pages,6,list,20,parameters,0"
以人类的力量，无法与魅魔相抗衡。,"Map088.json,events,10,pages,6,list,21,parameters,0"
但是……如果没有力量,"Map088.json,events,10,pages,6,list,22,parameters,0"
现在可能已经被做了各种事情。,"Map088.json,events,10,pages,6,list,23,parameters,0"
相反，如果还有袭击人类的欲望……？,"Map088.json,events,10,pages,6,list,25,parameters,0"
虽然没有同化的作用,"Map088.json,events,10,pages,6,list,26,parameters,0"
但可能会对人们进行（性）袭击。,"Map088.json,events,10,pages,6,list,27,parameters,0"
……只是身体变了，并没有后遗症。,"Map088.json,events,10,pages,6,list,29,parameters,0"
自己在某种意义上，是幸运的吧？,"Map088.json,events,10,pages,6,list,30,parameters,0"
她这样想着。,"Map088.json,events,10,pages,6,list,31,parameters,0"
是否再次观看事件？,"Map088.json,events,10,pages,7,list,1,parameters,0"
是,"Map088.json,events,10,pages,7,list,2,parameters,0,0"
否,"Map088.json,events,10,pages,7,list,2,parameters,0,1"
