可疑的男人,"Map103.json,events,1,name"
「血……？,"Map103.json,events,6,pages,2,list,8,parameters,0"
这里是医院，不对吧……」,"Map103.json,events,6,pages,2,list,9,parameters,0"
也许最好不要再深入调查了。,"Map103.json,events,6,pages,2,list,14,parameters,0"
如果探头进去，接下来会发生什么呢。,"Map103.json,events,6,pages,2,list,15,parameters,0"
我选择假装没看见她。,"Map103.json,events,6,pages,2,list,16,parameters,0"
\C[27]清彦,"Map103.json,events,6,pages,3,list,1,parameters,0"
「锁着呢」,"Map103.json,events,6,pages,3,list,2,parameters,0"
\C[27]清彦,"Map103.json,events,6,pages,4,list,1,parameters,0"
「锁着呢」,"Map103.json,events,6,pages,4,list,2,parameters,0"
公寓『忧郁』全室客满。,"Map103.json,events,7,pages,0,list,1,parameters,0"
花店『香』即将开业。,"Map103.json,events,8,pages,0,list,1,parameters,0"
清彦,"Map103.json,events,9,pages,0,list,1,parameters,0"
「锁着呢」,"Map103.json,events,9,pages,0,list,2,parameters,0"
\C[27]清彦,"Map103.json,events,9,pages,1,list,1,parameters,0"
「锁着呢」,"Map103.json,events,9,pages,1,list,2,parameters,0"
男,"Map103.json,events,10,pages,0,list,7,parameters,0"
「好，成功打开了墙上的洞。,"Map103.json,events,10,pages,0,list,8,parameters,0"
从这里开始才是真正的任务，请务必小心」,"Map103.json,events,10,pages,0,list,9,parameters,0"
清彦,"Map103.json,events,10,pages,0,list,13,parameters,0"
「明白」,"Map103.json,events,10,pages,0,list,14,parameters,0"
清彦,"Map103.json,events,12,pages,0,list,1,parameters,0"
「锁着呢」,"Map103.json,events,12,pages,0,list,2,parameters,0"
\C[27]清彦,"Map103.json,events,12,pages,1,list,1,parameters,0"
「锁着呢」,"Map103.json,events,12,pages,1,list,2,parameters,0"
\C[27]清彦,"Map103.json,events,12,pages,2,list,1,parameters,0"
「门锁上了……\!嗯」,"Map103.json,events,12,pages,2,list,2,parameters,0"
从里面传来一股奇怪的气味。,"Map103.json,events,12,pages,2,list,4,parameters,0"
香水……不对，这个是。,"Map103.json,events,12,pages,2,list,5,parameters,0"
\C[27]清彦,"Map103.json,events,12,pages,2,list,7,parameters,0"
「血……？,"Map103.json,events,12,pages,2,list,8,parameters,0"
这里是医院，不对吧……」,"Map103.json,events,12,pages,2,list,9,parameters,0"
也许最好不要再深入调查了。,"Map103.json,events,12,pages,2,list,14,parameters,0"
如果探头进去，接下来会发生什么呢。,"Map103.json,events,12,pages,2,list,15,parameters,0"
我选择假装没看见她。,"Map103.json,events,12,pages,2,list,16,parameters,0"
『新鲜！海鲜店』,"Map103.json,events,15,pages,0,list,1,parameters,0"
『梅盐』先生，入住预定宅。,"Map103.json,events,16,pages,0,list,1,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,9,parameters,0"
「（去图书馆看看……嗯？）」,"Map103.json,events,18,pages,0,list,10,parameters,0"
她突然闻到了一股奇怪的气味。,"Map103.json,events,18,pages,0,list,15,parameters,0"
……虽然是海水的味道，但是很浓烈。,"Map103.json,events,18,pages,0,list,16,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,18,parameters,0"
「（是从那边传来的吗……？）」,"Map103.json,events,18,pages,0,list,19,parameters,0"
店员,"Map103.json,events,18,pages,0,list,26,parameters,0"
「该死……不能输给隔壁的店」,"Map103.json,events,18,pages,0,list,27,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,29,parameters,0"
「那个……」,"Map103.json,events,18,pages,0,list,30,parameters,0"
店员,"Map103.json,events,18,pages,0,list,35,parameters,0"
「咦咦！（哦，好可爱的女孩子）,"Map103.json,events,18,pages,0,list,36,parameters,0"
嗯，有什么事吗！？」,"Map103.json,events,18,pages,0,list,37,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,39,parameters,0"
「那个……可以让我看看后面的贝壳吗？」,"Map103.json,events,18,pages,0,list,40,parameters,0"
店员,"Map103.json,events,18,pages,0,list,42,parameters,0"
「好的，当然可以！」,"Map103.json,events,18,pages,0,list,43,parameters,0"
她张开腿坐下，露出螃蟹般的姿势。,"Map103.json,events,18,pages,0,list,53,parameters,0"
看到这样的样子，店员的脸有点扭曲。,"Map103.json,events,18,pages,0,list,54,parameters,0"
内衣也有点露出来……。,"Map103.json,events,18,pages,0,list,55,parameters,0"
难道是痴女什么的？店员这样想。,"Map103.json,events,18,pages,0,list,56,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,60,parameters,0"
「这个，可以打开看看里面吗？」,"Map103.json,events,18,pages,0,list,61,parameters,0"
店员,"Map103.json,events,18,pages,0,list,64,parameters,0"
「里面……？嗯，嗯。,"Map103.json,events,18,pages,0,list,65,parameters,0"
嗯，当然可以！」,"Map103.json,events,18,pages,0,list,66,parameters,0"
她熟练地打开贝壳。,"Map103.json,events,18,pages,0,list,71,parameters,0"
明明没有做过，为什么能做到这种事。,"Map103.json,events,18,pages,0,list,72,parameters,0"
感觉身体记住了……。,"Map103.json,events,18,pages,0,list,73,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,76,parameters,0"
「果然……请看，这个」,"Map103.json,events,18,pages,0,list,77,parameters,0"
店员,"Map103.json,events,18,pages,0,list,82,parameters,0"
「这、这个……！」,"Map103.json,events,18,pages,0,list,83,parameters,0"
贝壳里面，闪闪发光的白色珠子……珍珠。\!,"Map103.json,events,18,pages,0,list,85,parameters,0"
从贝壳里面采集到的稀有物品。,"Map103.json,events,18,pages,0,list,86,parameters,0"
虽然不至于能建房子,"Map103.json,events,18,pages,0,list,87,parameters,0"
但足够玩上几个月了。,"Map103.json,events,18,pages,0,list,88,parameters,0"
店员,"Map103.json,events,18,pages,0,list,91,parameters,0"
「好、好厉害……我还是第一次见到珍珠……！,"Map103.json,events,18,pages,0,list,92,parameters,0"
啊，对了。你是怎么知道的？」,"Map103.json,events,18,pages,0,list,93,parameters,0"
店员紧紧地靠近她。,"Map103.json,events,18,pages,0,list,96,parameters,0"
脸比她高出一截，而且不知不觉地不再使用敬语,"Map103.json,events,18,pages,0,list,97,parameters,0"
店员觉得她是个痴女之类的。,"Map103.json,events,18,pages,0,list,98,parameters,0"
店员,"Map103.json,events,18,pages,0,list,101,parameters,0"
「对、对不起……。,"Map103.json,events,18,pages,0,list,102,parameters,0"
\!不，不好意思吓到你了。,"Map103.json,events,18,pages,0,list,103,parameters,0"
我只是吓了一跳而已」,"Map103.json,events,18,pages,0,list,104,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,106,parameters,0"
「不、不。我才是吓到了」,"Map103.json,events,18,pages,0,list,107,parameters,0"
店员,"Map103.json,events,18,pages,0,list,110,parameters,0"
「关于这颗珍珠……。,"Map103.json,events,18,pages,0,list,111,parameters,0"
嗯……我决定送给你」,"Map103.json,events,18,pages,0,list,112,parameters,0"
\C[27]清彦,"Map103.json,events,18,pages,0,list,115,parameters,0"
「诶。但是那个」,"Map103.json,events,18,pages,0,list,116,parameters,0"
如果把珍珠卖掉，债务就会减半。,"Map103.json,events,18,pages,0,list,118,parameters,0"
真的没问题吗？,"Map103.json,events,18,pages,0,list,119,parameters,0"
店员,"Map103.json,events,18,pages,0,list,121,parameters,0"
「不过有一个条件！」,"Map103.json,events,18,pages,0,list,122,parameters,0"
