猫耳娘,"Map011.json,events,2,name"
「哎呀，你……。,"Map011.json,events,4,pages,1,list,2,parameters,0"
啊，不，没什么」,"Map011.json,events,4,pages,1,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,1,list,5,parameters,0"
「（她要说什么呢？）」,"Map011.json,events,4,pages,1,list,6,parameters,0"
店长,"Map011.json,events,4,pages,2,list,1,parameters,0"
「哎呀，你……。,"Map011.json,events,4,pages,2,list,2,parameters,0"
啊，不，没什么」,"Map011.json,events,4,pages,2,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,2,list,5,parameters,0"
「（……这个人有着各种混合的血腥气味。,"Map011.json,events,4,pages,2,list,6,parameters,0"
她究竟是什么样的人呢）」,"Map011.json,events,4,pages,2,list,7,parameters,0"
店长,"Map011.json,events,4,pages,3,list,1,parameters,0"
「你好，我们店也提供午餐。,"Map011.json,events,4,pages,3,list,2,parameters,0"
……你在关注店员吗？,"Map011.json,events,4,pages,3,list,3,parameters,0"
嗯，有各种各样的原因呢，是的」,"Map011.json,events,4,pages,3,list,4,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,3,list,6,parameters,0"
「（最好不要深入询问了）」,"Map011.json,events,4,pages,3,list,7,parameters,0"
店长,"Map011.json,events,4,pages,4,list,1,parameters,0"
「你好，我们店也提供午餐。,"Map011.json,events,4,pages,4,list,2,parameters,0"
……你在关注店员吗？,"Map011.json,events,4,pages,4,list,3,parameters,0"
嗯，有各种各样的原因呢，是的」,"Map011.json,events,4,pages,4,list,4,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,4,list,6,parameters,0"
「（最好不要深入询问了）」,"Map011.json,events,4,pages,4,list,7,parameters,0"
店长,"Map011.json,events,4,pages,5,list,1,parameters,0"
「你……。,"Map011.json,events,4,pages,5,list,2,parameters,0"
不，没什么」,"Map011.json,events,4,pages,5,list,3,parameters,0"
清彦,"Map011.json,events,4,pages,5,list,5,parameters,0"
「（她要说什么呢？）」,"Map011.json,events,4,pages,5,list,6,parameters,0"
店长,"Map011.json,events,4,pages,6,list,1,parameters,0"
「你……。,"Map011.json,events,4,pages,6,list,2,parameters,0"
啊，没什么」,"Map011.json,events,4,pages,6,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,6,list,5,parameters,0"
「（……这个人的魔力很强。,"Map011.json,events,4,pages,6,list,6,parameters,0"
她可能会使用很厉害的魔法）」,"Map011.json,events,4,pages,6,list,7,parameters,0"
店长,"Map011.json,events,4,pages,7,list,2,parameters,0"
「你……。,"Map011.json,events,4,pages,7,list,3,parameters,0"
嗯……你是个有趣的存在。,"Map011.json,events,4,pages,7,list,4,parameters,0"
但如果对我动手的话，你就没命了」,"Map011.json,events,4,pages,7,list,5,parameters,0"
\C[27]清香,"Map011.json,events,4,pages,7,list,8,parameters,0"
「（她在说什么呢？）」,"Map011.json,events,4,pages,7,list,9,parameters,0"
店长,"Map011.json,events,4,pages,8,list,1,parameters,0"
「你……。,"Map011.json,events,4,pages,8,list,2,parameters,0"
嗯……虽然很想调查一下,"Map011.json,events,4,pages,8,list,3,parameters,0"
但强行带走你，可能会让你很可怜」,"Map011.json,events,4,pages,8,list,4,parameters,0"
\C[18]——这个人很危险。不要接触。\C[0],"Map011.json,events,4,pages,8,list,7,parameters,0"
本能告诉我『毛骨悚然』。,"Map011.json,events,4,pages,8,list,8,parameters,0"
羽毛竖立起来。,"Map011.json,events,4,pages,8,list,9,parameters,0"
这就是哈比鸟皮肤发麻的感觉吧。,"Map011.json,events,4,pages,8,list,10,parameters,0"
店长,"Map011.json,events,4,pages,8,list,12,parameters,0"
「怎么样？接受一个任务吗？,"Map011.json,events,4,pages,8,list,13,parameters,0"
当然会给你钱」,"Map011.json,events,4,pages,8,list,14,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,8,list,16,parameters,0"
「不，不用了。我……谢谢。,"Map011.json,events,4,pages,8,list,17,parameters,0"
（快点离开这里吧）」,"Map011.json,events,4,pages,8,list,18,parameters,0"
店长,"Map011.json,events,4,pages,8,list,20,parameters,0"
「这样……可惜了」,"Map011.json,events,4,pages,8,list,21,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,9,list,1,parameters,0"
「（最好不要接触她）」,"Map011.json,events,4,pages,9,list,2,parameters,0"
店长,"Map011.json,events,4,pages,12,list,1,parameters,0"
「备用旅馆在住宅区最深处。,"Map011.json,events,4,pages,12,list,2,parameters,0"
请不要看里面的东西」,"Map011.json,events,4,pages,12,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,12,list,5,parameters,0"
「（虽然很好奇……最好不要看。,"Map011.json,events,4,pages,12,list,6,parameters,0"
如果看到了会发生什么，我不知道）」,"Map011.json,events,4,pages,12,list,7,parameters,0"
店长,"Map011.json,events,4,pages,14,list,1,parameters,0"
「备用旅馆在住宅区最深处。,"Map011.json,events,4,pages,14,list,2,parameters,0"
请不要看里面的东西」,"Map011.json,events,4,pages,14,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,4,pages,14,list,5,parameters,0"
「（虽然很好奇……最好不要看）」,"Map011.json,events,4,pages,14,list,6,parameters,0"
店长,"Map011.json,events,5,pages,0,list,4,parameters,0"
「你明白理由了吧。嗯，确实不容易。,"Map011.json,events,5,pages,0,list,5,parameters,0"
\!好吧，你就工作吧。你很可爱。,"Map011.json,events,5,pages,0,list,6,parameters,0"
我会为你准备住宿。从工资中扣除，怎么样？」,"Map011.json,events,5,pages,0,list,7,parameters,0"
\C[27]清彦,"Map011.json,events,5,pages,0,list,10,parameters,0"
「真的吗？我会努力工作的！,"Map011.json,events,5,pages,0,list,11,parameters,0"
\!（哈～……太好了。有住宿的地方。,"Map011.json,events,5,pages,0,list,12,parameters,0"
至少能得到生活费）」,"Map011.json,events,5,pages,0,list,13,parameters,0"
店长,"Map011.json,events,5,pages,0,list,15,parameters,0"
「这里也有像你一样境遇的孩子。,"Map011.json,events,5,pages,0,list,16,parameters,0"
你们应该能成为好朋友吧？」,"Map011.json,events,5,pages,0,list,17,parameters,0"
\C[27]清彦,"Map011.json,events,5,pages,0,list,19,parameters,0"
「是...是的。,"Map011.json,events,5,pages,0,list,20,parameters,0"
（除了我之外...还有其他人吗？）」,"Map011.json,events,5,pages,0,list,21,parameters,0"
一周后。,"Map011.json,events,5,pages,0,list,26,parameters,0"
店长,"Map011.json,events,5,pages,1,list,4,parameters,0"
「原来如此，你辛苦了。,"Map011.json,events,5,pages,1,list,5,parameters,0"
\!好吧，你就工作吧。你很可爱。,"Map011.json,events,5,pages,1,list,6,parameters,0"
我会给你准备床位的。虽然会从工资中扣除，怎么样？」,"Map011.json,events,5,pages,1,list,7,parameters,0"
\C[27]清彦,"Map011.json,events,5,pages,1,list,10,parameters,0"
「非常感谢，一定！,"Map011.json,events,5,pages,1,list,11,parameters,0"
（太好了...在这里应该能赚到钱。,"Map011.json,events,5,pages,1,list,12,parameters,0"
暂时要稳定生活）」,"Map011.json,events,5,pages,1,list,13,parameters,0"
店长,"Map011.json,events,5,pages,1,list,15,parameters,0"
「这里也有像你一样境遇的孩子。,"Map011.json,events,5,pages,1,list,16,parameters,0"
你们应该能成为好朋友吧？」,"Map011.json,events,5,pages,1,list,17,parameters,0"
\C[27]清彦,"Map011.json,events,5,pages,1,list,19,parameters,0"
「是...是的。,"Map011.json,events,5,pages,1,list,20,parameters,0"
（除了我之外...还有其他人吗？）」,"Map011.json,events,5,pages,1,list,21,parameters,0"
\C[27]清彦,"Map011.json,events,5,pages,1,list,25,parameters,0"
「（那个有天使羽翼的人...也是吗。,"Map011.json,events,5,pages,1,list,26,parameters,0"
猫人的身上也有人类的血腥味。,"Map011.json,events,5,pages,1,list,27,parameters,0"
这两个人为什么会变成那个样子呢）」,"Map011.json,events,5,pages,1,list,28,parameters,0"
\C[27]清彦,"Map011.json,events,5,pages,1,list,30,parameters,0"
「（如果有机会的话，我想问问...）」,"Map011.json,events,5,pages,1,list,31,parameters,0"
一周后。,"Map011.json,events,5,pages,1,list,36,parameters,0"
老爷爷,"Map011.json,events,6,name"
老爷爷,"Map011.json,events,6,pages,0,list,1,parameters,0"
「这里的店员都很可爱啊。,"Map011.json,events,6,pages,0,list,2,parameters,0"
魔物娘并不坏。,"Map011.json,events,6,pages,0,list,3,parameters,0"
当然，我也喜欢人类的女孩子」,"Map011.json,events,6,pages,0,list,4,parameters,0"
清彦,"Map011.json,events,6,pages,0,list,6,parameters,0"
「（只是个色迷迷的老爷爷吧）」,"Map011.json,events,6,pages,0,list,7,parameters,0"
老爷爷,"Map011.json,events,6,pages,1,list,1,parameters,0"
「店员啊，今天也很可爱啊」,"Map011.json,events,6,pages,1,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,1,list,5,parameters,0"
「啊...是的，非常感谢」,"Map011.json,events,6,pages,1,list,6,parameters,0"
下意识地回答。\!,"Map011.json,events,6,pages,1,list,8,parameters,0"
比起被误认为是店员,"Map011.json,events,6,pages,1,list,9,parameters,0"
心里更在意被称为『可爱』这一事实。,"Map011.json,events,6,pages,1,list,10,parameters,0"
重新俯视自己的身体，明显是女孩子的身体。,"Map011.json,events,6,pages,1,list,12,parameters,0"
而且脸也很漂亮。\!,"Map011.json,events,6,pages,1,list,13,parameters,0"
清彦注意到老爷爷的目光，盯着她的脸、胸部、腰部、臀部和腿部,"Map011.json,events,6,pages,1,list,14,parameters,0"
全身都在注视着。,"Map011.json,events,6,pages,1,list,15,parameters,0"
\C[18]被性别化地看待。\C[0]\!,"Map011.json,events,6,pages,1,list,17,parameters,0"
再次意识到自己现在的性别，身体颤抖了起来。,"Map011.json,events,6,pages,1,list,18,parameters,0"
老爷爷,"Map011.json,events,6,pages,2,list,1,parameters,0"
「店员啊，今天也很可爱啊」,"Map011.json,events,6,pages,2,list,2,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,2,list,5,parameters,0"
「那个...谢谢」,"Map011.json,events,6,pages,2,list,6,parameters,0"
似乎被误认为是店员。,"Map011.json,events,6,pages,2,list,8,parameters,0"
而且被称为『可爱』。,"Map011.json,events,6,pages,2,list,9,parameters,0"
\!...对此并没有感到不自然。,"Map011.json,events,6,pages,2,list,10,parameters,0"
相反，还有些高兴。,"Map011.json,events,6,pages,2,list,11,parameters,0"
当男人被称为可爱时，几乎听起来都是讽刺。,"Map011.json,events,6,pages,2,list,13,parameters,0"
但...现在的她，处于被称为可爱的位置。,"Map011.json,events,6,pages,2,list,14,parameters,0"
清彦注意到老爷爷的目光，盯着她的脸、胸部、腰部、臀部和腿部,"Map011.json,events,6,pages,2,list,16,parameters,0"
全身都在注视着。,"Map011.json,events,6,pages,2,list,17,parameters,0"
看着这样一个瘦弱的身体，他们到底觉得有什么好玩的呢...。,"Map011.json,events,6,pages,2,list,18,parameters,0"
老爷爷,"Map011.json,events,6,pages,3,list,1,parameters,0"
「再过几年吧。,"Map011.json,events,6,pages,3,list,2,parameters,0"
现在屁股还不错」,"Map011.json,events,6,pages,3,list,3,parameters,0"
脸、胸部、下体周围、腿部。,"Map011.json,events,6,pages,3,list,5,parameters,0"
被老爷爷盯着看。,"Map011.json,events,6,pages,3,list,6,parameters,0"
明显是性欲的目光。,"Map011.json,events,6,pages,3,list,8,parameters,0"
要说不在意，那是不可能的。,"Map011.json,events,6,pages,3,list,9,parameters,0"
更何况，她还是个女孩子初学者。,"Map011.json,events,6,pages,3,list,10,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,3,list,12,parameters,0"
「（先不理他吧...）」,"Map011.json,events,6,pages,3,list,13,parameters,0"
忍受着厌恶感，决定离开这个地方。,"Map011.json,events,6,pages,3,list,15,parameters,0"
理解女性的心情，已经是第几次了呢。,"Map011.json,events,6,pages,3,list,16,parameters,0"
老爷爷,"Map011.json,events,6,pages,4,list,1,parameters,0"
「哦哦...！,"Map011.json,events,6,pages,4,list,2,parameters,0"
虽然我更喜欢屁股，但那胸真是让人无法抗拒」,"Map011.json,events,6,pages,4,list,3,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,4,list,5,parameters,0"
「什...！」,"Map011.json,events,6,pages,4,list,6,parameters,0"
一见面就发出性骚扰言论。,"Map011.json,events,6,pages,4,list,8,parameters,0"
睁大眼睛，胸部被盯着看。,"Map011.json,events,6,pages,4,list,9,parameters,0"
不仅如此，整个身体还被更加凝视。,"Map011.json,events,6,pages,4,list,10,parameters,0"
明显是性欲的目光。,"Map011.json,events,6,pages,4,list,12,parameters,0"
希望他们能分辨出什么是可以说的，什么是不可以说的。,"Map011.json,events,6,pages,4,list,13,parameters,0"
尽管是人生的前辈...！,"Map011.json,events,6,pages,4,list,14,parameters,0"
她这样想着。,"Map011.json,events,6,pages,4,list,15,parameters,0"
老爷爷,"Map011.json,events,6,pages,5,list,3,parameters,0"
「哎呀！,"Map011.json,events,6,pages,5,list,4,parameters,0"
抱歉，手滑了」,"Map011.json,events,6,pages,5,list,5,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,5,list,7,parameters,0"
「什...！」,"Map011.json,events,6,pages,5,list,8,parameters,0"
突然感觉到别人的手在屁股上。,"Map011.json,events,6,pages,5,list,10,parameters,0"
只是从老爷爷身边经过一点点，就已经被触碰到了。,"Map011.json,events,6,pages,5,list,11,parameters,0"
动作太快，而且没有任何预兆，即使是魔物娘的反应神经也无法完全应对。,"Map011.json,events,6,pages,5,list,12,parameters,0"
\C[18]第一次被异性\C[0]性骚扰。,"Map011.json,events,6,pages,5,list,14,parameters,0"
偏偏是这样的老爷爷...！,"Map011.json,events,6,pages,5,list,15,parameters,0"
虽然想要给他一记重击...。,"Map011.json,events,6,pages,5,list,16,parameters,0"
老爷爷,"Map011.json,events,6,pages,5,list,18,parameters,0"
「好好的屁股。,"Map011.json,events,6,pages,5,list,19,parameters,0"
里面藏了什么东西吗，简直,"Map011.json,events,6,pages,5,list,20,parameters,0"
柔软和坚硬兼备」,"Map011.json,events,6,pages,5,list,21,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,5,list,24,parameters,0"
「诶...？」,"Map011.json,events,6,pages,5,list,25,parameters,0"
感觉到内心中的愤怒渐渐消退。,"Map011.json,events,6,pages,5,list,27,parameters,0"
与此同时，竖起的狐耳和尾巴也慢慢垂下。,"Map011.json,events,6,pages,5,list,28,parameters,0"
...啊，太好了。,"Map011.json,events,6,pages,5,list,29,parameters,0"
果然『我』还是活在皮囊里。没错。,"Map011.json,events,6,pages,5,list,30,parameters,0"
『柔软』是这个魔物娘的皮肤。,"Map011.json,events,6,pages,5,list,32,parameters,0"
『坚硬』是叫清彦的人类男性。,"Map011.json,events,6,pages,5,list,33,parameters,0"
肯定是这样没错。,"Map011.json,events,6,pages,5,list,34,parameters,0"
即使没有内部感觉......,"Map011.json,events,6,pages,5,list,35,parameters,0"
稍微松了一口气。,"Map011.json,events,6,pages,5,list,37,parameters,0"
虽然根本性的问题还没有解决,"Map011.json,events,6,pages,5,list,38,parameters,0"
但至少从第三者那里听到了『你是男人』的话,"Map011.json,events,6,pages,5,list,39,parameters,0"
她有点高兴。,"Map011.json,events,6,pages,5,list,40,parameters,0"
老爷爷,"Map011.json,events,6,pages,5,list,42,parameters,0"
「怎么了，傻笑个什么。,"Map011.json,events,6,pages,5,list,43,parameters,0"
原来如此，我的身体接触这么好吗。,"Map011.json,events,6,pages,5,list,44,parameters,0"
那就再摸几次吧」,"Map011.json,events,6,pages,5,list,45,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,5,list,47,parameters,0"
「不用了」,"Map011.json,events,6,pages,5,list,48,parameters,0"
是否再次观看事件？,"Map011.json,events,6,pages,6,list,1,parameters,0"
是,"Map011.json,events,6,pages,6,list,2,parameters,0,0"
否,"Map011.json,events,6,pages,6,list,2,parameters,0,1"
是,"Map011.json,events,6,pages,6,list,3,parameters,1"
老爷爷,"Map011.json,events,6,pages,6,list,7,parameters,0"
「哎呀！,"Map011.json,events,6,pages,6,list,8,parameters,0"
抱歉，手滑了」,"Map011.json,events,6,pages,6,list,9,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,6,list,11,parameters,0"
「什...！」,"Map011.json,events,6,pages,6,list,12,parameters,0"
突然感觉到别人的手在屁股上。,"Map011.json,events,6,pages,6,list,14,parameters,0"
只是从老爷爷身边经过一点点，就已经被触碰到了。,"Map011.json,events,6,pages,6,list,15,parameters,0"
动作太快，而且没有任何预兆，即使是魔物娘的反应神经也无法完全应对。,"Map011.json,events,6,pages,6,list,16,parameters,0"
\C[18]第一次被异性\C[0]性骚扰。,"Map011.json,events,6,pages,6,list,18,parameters,0"
偏偏是这样的老爷爷...！,"Map011.json,events,6,pages,6,list,19,parameters,0"
虽然想要给他一记重击...。,"Map011.json,events,6,pages,6,list,20,parameters,0"
老爷爷,"Map011.json,events,6,pages,6,list,22,parameters,0"
「好大的屁股。,"Map011.json,events,6,pages,6,list,23,parameters,0"
里面藏了什么东西吗，简直,"Map011.json,events,6,pages,6,list,24,parameters,0"
柔软和坚硬兼备」,"Map011.json,events,6,pages,6,list,25,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,6,list,28,parameters,0"
「诶...？」,"Map011.json,events,6,pages,6,list,29,parameters,0"
感觉到内心中的愤怒渐渐消退。,"Map011.json,events,6,pages,6,list,31,parameters,0"
与此同时，竖起的狐耳和尾巴也慢慢垂下。,"Map011.json,events,6,pages,6,list,32,parameters,0"
...啊，太好了。,"Map011.json,events,6,pages,6,list,33,parameters,0"
果然『我』还是活在皮囊里。没错。,"Map011.json,events,6,pages,6,list,34,parameters,0"
『柔软』是这个魔物娘的皮肤。,"Map011.json,events,6,pages,6,list,36,parameters,0"
『坚硬』是叫清彦的人类男性。,"Map011.json,events,6,pages,6,list,37,parameters,0"
肯定是这样没错。,"Map011.json,events,6,pages,6,list,38,parameters,0"
即使没有内部感觉......,"Map011.json,events,6,pages,6,list,39,parameters,0"
稍微松了一口气。,"Map011.json,events,6,pages,6,list,41,parameters,0"
虽然根本性的问题还没有解决,"Map011.json,events,6,pages,6,list,42,parameters,0"
但至少从第三者那里听到了『你是男人』的话,"Map011.json,events,6,pages,6,list,43,parameters,0"
她有点高兴。,"Map011.json,events,6,pages,6,list,44,parameters,0"
老爷爷,"Map011.json,events,6,pages,6,list,46,parameters,0"
「怎么了，傻笑个什么。,"Map011.json,events,6,pages,6,list,47,parameters,0"
原来如此，我的身体接触这么好吗。,"Map011.json,events,6,pages,6,list,48,parameters,0"
那就再摸几次吧」,"Map011.json,events,6,pages,6,list,49,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,6,list,51,parameters,0"
「不用了」,"Map011.json,events,6,pages,6,list,52,parameters,0"
否,"Map011.json,events,6,pages,6,list,57,parameters,1"
老爷爷,"Map011.json,events,6,pages,7,list,2,parameters,0"
「哦哦，真是个可爱的小姑娘。,"Map011.json,events,6,pages,7,list,3,parameters,0"
嗯嗯...你的妈妈,"Map011.json,events,6,pages,7,list,4,parameters,0"
身材也很好呢」,"Map011.json,events,6,pages,7,list,5,parameters,0"
\C[27]清香,"Map011.json,events,6,pages,7,list,8,parameters,0"
「诶？你认识妈妈吗？」,"Map011.json,events,6,pages,7,list,9,parameters,0"
我从来没有听说过有人认识吸血公主和大妖狐以外的人。,"Map011.json,events,6,pages,7,list,11,parameters,0"
老爷爷,"Map011.json,events,6,pages,7,list,13,parameters,0"
「哎呀……你的身材一看就能大概猜到了。,"Map011.json,events,6,pages,7,list,14,parameters,0"
前途无量……嘻嘻，不是这样的啦」,"Map011.json,events,6,pages,7,list,15,parameters,0"
\C[27]清香,"Map011.json,events,6,pages,7,list,18,parameters,0"
「（这是什么意思呢……？）」,"Map011.json,events,6,pages,7,list,19,parameters,0"
稍微思考一下，答案似乎能够找到。,"Map011.json,events,6,pages,7,list,21,parameters,0"
现在的她，无法考虑那种事情。,"Map011.json,events,6,pages,7,list,22,parameters,0"
老爷爷,"Map011.json,events,6,pages,8,list,1,parameters,0"
「哦哦……。,"Map011.json,events,6,pages,8,list,2,parameters,0"
明明有着特别的翅膀、脚和大胸部，以为会被注意到,"Map011.json,events,6,pages,8,list,3,parameters,0"
但是那个屁股……不，屁股真是让人受不了啊」,"Map011.json,events,6,pages,8,list,4,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,8,list,7,parameters,0"
「什...！」,"Map011.json,events,6,pages,8,list,8,parameters,0"
突然被性骚扰言论扔过来。,"Map011.json,events,6,pages,8,list,10,parameters,0"
而且老爷爷还盯着屁股看。,"Map011.json,events,6,pages,8,list,11,parameters,0"
他的眼神和试图触摸的动作真是太淫荡了。,"Map011.json,events,6,pages,8,list,12,parameters,0"
老爷爷,"Map011.json,events,6,pages,8,list,14,parameters,0"
「哈比鸟是会下蛋的。,"Map011.json,events,6,pages,8,list,15,parameters,0"
难道现在是繁殖期，城里出现了哈比鸟吗。,"Map011.json,events,6,pages,8,list,16,parameters,0"
这个城市里有黑色的哈比鸟，还是有认识的男人？」,"Map011.json,events,6,pages,8,list,17,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,8,list,20,parameters,0"
「（先不理他）」,"Map011.json,events,6,pages,8,list,21,parameters,0"
无视他，准备离开现场……就在那时。,"Map011.json,events,6,pages,8,list,25,parameters,0"
\C[27]清彦,"Map011.json,events,6,pages,8,list,29,parameters,0"
「噗！？」,"Map011.json,events,6,pages,8,list,30,parameters,0"
左屁股被揉了一下。,"Map011.json,events,6,pages,8,list,32,parameters,0"
富有弹性的屁股变形，尾羽竖起来了。,"Map011.json,events,6,pages,8,list,33,parameters,0"
虽然感到被男人触摸到男人的屁股的恶心感,"Map011.json,events,6,pages,8,list,35,parameters,0"
但是现在的自己是\C[18]女性，同时也是魔物娘和白色哈比鸟\C[0],"Map011.json,events,6,pages,8,list,36,parameters,0"
想起了这一点。,"Map011.json,events,6,pages,8,list,37,parameters,0"
转过身来，用一种无法形容的表情看着老爷爷,"Map011.json,events,6,pages,8,list,44,parameters,0"
旁边坐着一个得意洋洋的老头。,"Map011.json,events,6,pages,8,list,45,parameters,0"
啊，完全是故意的。看上去完全是故意的。,"Map011.json,events,6,pages,8,list,46,parameters,0"
老爷爷,"Map011.json,events,6,pages,8,list,48,parameters,0"
「对不起，有垃圾粘在你身上了。,"Map011.json,events,6,pages,8,list,49,parameters,0"
我帮你拍掉了」,"Map011.json,events,6,pages,8,list,50,parameters,0"
