吸血公主,"Map050.json,events,1,name"
「『好♪姐姐♡』\!诶」,"Map050.json,events,5,pages,0,list,53,parameters,0"
身体不由自主地动了起来。\!,"Map050.json,events,5,pages,0,list,59,parameters,0"
站在吸血姬面前，摆出可爱的姿势。她不由自主地这样做了。,"Map050.json,events,5,pages,0,list,60,parameters,0"
身体无法动弹。无法隐藏。,"Map050.json,events,5,pages,0,list,63,parameters,0"
吸血姬盯着她的胸口看了一会儿。,"Map050.json,events,5,pages,0,list,64,parameters,0"
然后掀起围裙，仔细地看着腰部周围。,"Map050.json,events,5,pages,0,list,65,parameters,0"
那双眼睛似乎在评估什么……不，更像是在性感地看着。,"Map050.json,events,5,pages,0,list,66,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,69,parameters,0"
「嗯～……。\!,"Map050.json,events,5,pages,0,list,70,parameters,0"
真是的，几乎全裸了呢。,"Map050.json,events,5,pages,0,list,71,parameters,0"
你喜欢这种东西吗？」,"Map050.json,events,5,pages,0,list,72,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,75,parameters,0"
「不、不是！\!,"Map050.json,events,5,pages,0,list,76,parameters,0"
这是强迫我穿泳装的水日，谁会喜欢穿这种东西！」,"Map050.json,events,5,pages,0,list,77,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,79,parameters,0"
「呵呵……♪,"Map050.json,events,5,pages,0,list,80,parameters,0"
非常适合你♡,"Map050.json,events,5,pages,0,list,81,parameters,0"
作为妹妹，看到你享受女孩子的样子真是太好了♪」,"Map050.json,events,5,pages,0,list,82,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,84,parameters,0"
「之前，和戴猫耳朵的人和天使一起去购物,"Map050.json,events,5,pages,0,list,85,parameters,0"
玩得开心吗？,"Map050.json,events,5,pages,0,list,86,parameters,0"
你试穿那件花纹连衣裙的样子，太棒了♡」,"Map050.json,events,5,pages,0,list,87,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,90,parameters,0"
「什...！」,"Map050.json,events,5,pages,0,list,91,parameters,0"
脸突然变红。\!,"Map050.json,events,5,pages,0,list,93,parameters,0"
难道，被看到了……？那个东西？,"Map050.json,events,5,pages,0,list,94,parameters,0"
竟然被这个吸血姬看到了。,"Map050.json,events,5,pages,0,list,95,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,98,parameters,0"
「那么，我就先告辞了。,"Map050.json,events,5,pages,0,list,99,parameters,0"
钱我放在这里」,"Map050.json,events,5,pages,0,list,100,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,112,parameters,0"
「啊，还有！」,"Map050.json,events,5,pages,0,list,113,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,117,parameters,0"
「无论你以后要做什么，我都不会阻止。,"Map050.json,events,5,pages,0,list,118,parameters,0"
\!但是……」,"Map050.json,events,5,pages,0,list,119,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,122,parameters,0"
「我随时等着你♡,"Map050.json,events,5,pages,0,list,123,parameters,0"
在全新的双人床上，永远♪\!,"Map050.json,events,5,pages,0,list,124,parameters,0"
等待着重要妹妹的归来……\.\.明白？」,"Map050.json,events,5,pages,0,list,125,parameters,0"
吸血姬,"Map050.json,events,5,pages,0,list,127,parameters,0"
「再见了♪,"Map050.json,events,5,pages,0,list,128,parameters,0"
下次我会在营业时间来打扰你」,"Map050.json,events,5,pages,0,list,129,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,138,parameters,0"
「啊……呜～～……」,"Map050.json,events,5,pages,0,list,139,parameters,0"
思绪一片混乱。,"Map050.json,events,5,pages,0,list,141,parameters,0"
\!不是因为震惊而思绪混乱。\!,"Map050.json,events,5,pages,0,list,142,parameters,0"
而是因为太害羞而思绪混乱。,"Map050.json,events,5,pages,0,list,143,parameters,0"
竟然被这个吸血姬知道了。,"Map050.json,events,5,pages,0,list,144,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,0,list,149,parameters,0"
「谁会去！\.\.别再来了！\.,"Map050.json,events,5,pages,0,list,150,parameters,0"
混蛋！！！！！！」,"Map050.json,events,5,pages,0,list,151,parameters,0"
稍微冷静下来的大脑发出的声音,"Map050.json,events,5,pages,0,list,153,parameters,0"
是一个情绪化女孩的尖叫。,"Map050.json,events,5,pages,0,list,154,parameters,0"
不知道那声音是否传达给了姐姐……。,"Map050.json,events,5,pages,0,list,155,parameters,0"
姐妹关系将会如何发展。,"Map050.json,events,5,pages,0,list,157,parameters,0"
这是另一个故事……。,"Map050.json,events,5,pages,0,list,158,parameters,0"
ED5.吸血姬ED3,"Map050.json,events,5,pages,0,list,180,parameters,0"
ED5.吸血姬ED3,"Map050.json,events,5,pages,0,list,190,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,9,parameters,0"
「嗯～。,"Map050.json,events,5,pages,1,list,10,parameters,0"
这个真好吃呢，你从哪里弄来的男性血液？」,"Map050.json,events,5,pages,1,list,11,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,1,list,13,parameters,0"
「……\!上次喝剩下的」,"Map050.json,events,5,pages,1,list,14,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,16,parameters,0"
「呵呵……♪,"Map050.json,events,5,pages,1,list,17,parameters,0"
很好喝吧？,"Map050.json,events,5,pages,1,list,18,parameters,0"
你也完全成为了吸血姬的一员♡」,"Map050.json,events,5,pages,1,list,19,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,1,list,21,parameters,0"
「我的心还是人类的……。,"Map050.json,events,5,pages,1,list,22,parameters,0"
所以，我不是吸血姬」,"Map050.json,events,5,pages,1,list,23,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,25,parameters,0"
「普通的人类不会为我泡制我喜欢的红茶。,"Map050.json,events,5,pages,1,list,26,parameters,0"
因为我喜欢血，所以才泡制的吧？」,"Map050.json,events,5,pages,1,list,27,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,1,list,29,parameters,0"
「吸血『鬼』都喜欢血。,"Map050.json,events,5,pages,1,list,30,parameters,0"
这只是常识而已」,"Map050.json,events,5,pages,1,list,31,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,33,parameters,0"
「呵呵……。,"Map050.json,events,5,pages,1,list,34,parameters,0"
就这么说定了♪」,"Map050.json,events,5,pages,1,list,35,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,41,parameters,0"
「顺便说一句……。,"Map050.json,events,5,pages,1,list,42,parameters,0"
『能让我好好看看那件泳装吗？』」,"Map050.json,events,5,pages,1,list,43,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,1,list,47,parameters,0"
「唔……！」,"Map050.json,events,5,pages,1,list,48,parameters,0"
身体像被锁链束缚一样无法动弹。,"Map050.json,events,5,pages,1,list,50,parameters,0"
\!但是，咬紧牙关……。,"Map050.json,events,5,pages,1,list,51,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,58,parameters,0"
「嘛……♪」,"Map050.json,events,5,pages,1,list,59,parameters,0"
总算能动了。,"Map050.json,events,5,pages,1,list,61,parameters,0"
但是，身体仍然很沉重。,"Map050.json,events,5,pages,1,list,62,parameters,0"
如果再次被命令的话，这次……。,"Map050.json,events,5,pages,1,list,63,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,66,parameters,0"
「我可以用一个命令束缚住眷属。,"Map050.json,events,5,pages,1,list,67,parameters,0"
但是，你能违背它……。,"Map050.json,events,5,pages,1,list,68,parameters,0"
也就是说，你已经从眷属成长为妹妹了♡」,"Map050.json,events,5,pages,1,list,69,parameters,0"
\C[27]清彦,"Map050.json,events,5,pages,1,list,72,parameters,0"
「唔……。,"Map050.json,events,5,pages,1,list,73,parameters,0"
（不、不要……\!吧？,"Map050.json,events,5,pages,1,list,74,parameters,0"
为什么她这么高兴，我）」,"Map050.json,events,5,pages,1,list,75,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,77,parameters,0"
「但是，我不会强迫你。,"Map050.json,events,5,pages,1,list,78,parameters,0"
时间还很充裕」,"Map050.json,events,5,pages,1,list,79,parameters,0"
吸血姬,"Map050.json,events,5,pages,1,list,81,parameters,0"
「在这里工作也好。存钱出去也好。,"Map050.json,events,5,pages,1,list,82,parameters,0"
\!成为我完全的妹妹也可以♪,"Map050.json,events,5,pages,1,list,83,parameters,0"
今天\C[18]就\C[0]先告辞了」,"Map050.json,events,5,pages,1,list,84,parameters,0"
『绝对不行』『谁会成为妹妹啊』,"Map050.json,events,5,pages,1,list,103,parameters,0"
\!这句话没有从喉咙里说出来。\!,"Map050.json,events,5,pages,1,list,104,parameters,0"
……不，也许现在就想成为妹妹。,"Map050.json,events,5,pages,1,list,105,parameters,0"
或许，她已经说出来了。,"Map050.json,events,5,pages,1,list,106,parameters,0"
她究竟选择了什么选项呢……。,"Map050.json,events,5,pages,1,list,108,parameters,0"
那是另一个故事了。,"Map050.json,events,5,pages,1,list,109,parameters,0"
ED5.吸血姬ED3,"Map050.json,events,5,pages,1,list,130,parameters,0"
ED5.吸血姬ED3,"Map050.json,events,5,pages,1,list,140,parameters,0"
