猫娘,"Map065.json,events,4,name"
\C[27]清彦,"Map065.json,events,7,pages,3,list,39,parameters,0"
「哈哈……」,"Map065.json,events,7,pages,3,list,40,parameters,0"
男子,"Map065.json,events,7,pages,3,list,46,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,3,list,47,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,3,list,48,parameters,0"
男子,"Map065.json,events,7,pages,3,list,50,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,3,list,51,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,3,list,52,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,3,list,53,parameters,0"
男,"Map065.json,events,7,pages,3,list,55,parameters,0"
「你，对此有什么看法……？」,"Map065.json,events,7,pages,3,list,56,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,3,list,59,parameters,0"
「怎么说呢……确实如此」,"Map065.json,events,7,pages,3,list,60,parameters,0"
注视着水槽。,"Map065.json,events,7,pages,3,list,64,parameters,0"
精心制作，杂质也很少。,"Map065.json,events,7,pages,3,list,65,parameters,0"
水的循环也很好。,"Map065.json,events,7,pages,3,list,66,parameters,0"
如果水中的魔物娘在这里的话，应该会很健康。,"Map065.json,events,7,pages,3,list,67,parameters,0"
老实说，我很想知道是怎么建造的。,"Map065.json,events,7,pages,3,list,69,parameters,0"
简单来说，它甚至可以作为游泳池使用。,"Map065.json,events,7,pages,3,list,70,parameters,0"
只要做好安全措施，应该能吸引人们。,"Map065.json,events,7,pages,3,list,71,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,3,list,75,parameters,0"
「我觉得没问题，做得很好」,"Map065.json,events,7,pages,3,list,76,parameters,0"
男,"Map065.json,events,7,pages,3,list,78,parameters,0"
「是吗？,"Map065.json,events,7,pages,3,list,79,parameters,0"
啊～太好了，能听到你这么说我很高兴。,"Map065.json,events,7,pages,3,list,80,parameters,0"
虽然不知道是否有用……」,"Map065.json,events,7,pages,3,list,81,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,3,list,83,parameters,0"
「哈哈……」,"Map065.json,events,7,pages,3,list,84,parameters,0"
男子,"Map065.json,events,7,pages,4,list,2,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,4,list,3,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,4,list,4,parameters,0"
男子,"Map065.json,events,7,pages,4,list,6,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,4,list,7,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,4,list,8,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,4,list,9,parameters,0"
男,"Map065.json,events,7,pages,4,list,11,parameters,0"
「你，对此有什么看法……？,"Map065.json,events,7,pages,4,list,12,parameters,0"
如果是同样的魔物娘的话，能得到什么线索吗」,"Map065.json,events,7,pages,4,list,13,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,4,list,16,parameters,0"
「怎么说呢……确实如此」,"Map065.json,events,7,pages,4,list,17,parameters,0"
水槽。,"Map065.json,events,7,pages,4,list,21,parameters,0"
看起来并没有特别脏。,"Map065.json,events,7,pages,4,list,22,parameters,0"
也看不出有特别注入魔力。,"Map065.json,events,7,pages,4,list,23,parameters,0"
……无论好坏，在清彦的视角下都是普通的。,"Map065.json,events,7,pages,4,list,24,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,4,list,28,parameters,0"
「没什么……不好说呢。,"Map065.json,events,7,pages,4,list,29,parameters,0"
只是觉得水很干净而已」,"Map065.json,events,7,pages,4,list,30,parameters,0"
男,"Map065.json,events,7,pages,4,list,32,parameters,0"
「这样啊，谢谢。,"Map065.json,events,7,pages,4,list,33,parameters,0"
嗯～～～那就这样吧。,"Map065.json,events,7,pages,4,list,34,parameters,0"
不知道是否有用」,"Map065.json,events,7,pages,4,list,35,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,4,list,37,parameters,0"
「哈哈……。,"Map065.json,events,7,pages,4,list,38,parameters,0"
（看起来很辛苦啊）」,"Map065.json,events,7,pages,4,list,39,parameters,0"
男子,"Map065.json,events,7,pages,4,list,45,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,4,list,46,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,4,list,47,parameters,0"
男子,"Map065.json,events,7,pages,4,list,49,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,4,list,50,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,4,list,51,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,4,list,52,parameters,0"
男,"Map065.json,events,7,pages,4,list,54,parameters,0"
「你，对此有什么看法……？,"Map065.json,events,7,pages,4,list,55,parameters,0"
如果是同样的魔物娘的话，能得到什么线索吗」,"Map065.json,events,7,pages,4,list,56,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,4,list,59,parameters,0"
「怎么说呢……确实如此」,"Map065.json,events,7,pages,4,list,60,parameters,0"
水槽。,"Map065.json,events,7,pages,4,list,64,parameters,0"
看起来并没有特别脏。,"Map065.json,events,7,pages,4,list,65,parameters,0"
也看不出有特别注入魔力。,"Map065.json,events,7,pages,4,list,66,parameters,0"
……无论好坏，在清彦的视角下都是普通的。,"Map065.json,events,7,pages,4,list,67,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,4,list,71,parameters,0"
「没什么……不好说呢。,"Map065.json,events,7,pages,4,list,72,parameters,0"
只是觉得水很干净而已」,"Map065.json,events,7,pages,4,list,73,parameters,0"
男,"Map065.json,events,7,pages,4,list,75,parameters,0"
「这样啊，谢谢。,"Map065.json,events,7,pages,4,list,76,parameters,0"
嗯～～～那就这样吧。,"Map065.json,events,7,pages,4,list,77,parameters,0"
不知道是否有用」,"Map065.json,events,7,pages,4,list,78,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,4,list,80,parameters,0"
「哈哈……。,"Map065.json,events,7,pages,4,list,81,parameters,0"
（看起来很辛苦啊）」,"Map065.json,events,7,pages,4,list,82,parameters,0"
男子,"Map065.json,events,7,pages,5,list,2,parameters,0"
「好了，水槽终于做好了。,"Map065.json,events,7,pages,5,list,3,parameters,0"
打算在这里保护水中的魔物娘」,"Map065.json,events,7,pages,5,list,4,parameters,0"
男,"Map065.json,events,7,pages,5,list,6,parameters,0"
「对了，你听说过在水里的魔物娘吗……。,"Map065.json,events,7,pages,5,list,7,parameters,0"
你有见过这样的事吗？」,"Map065.json,events,7,pages,5,list,8,parameters,0"
\C[27]清香,"Map065.json,events,7,pages,5,list,11,parameters,0"
「嗯～没听说过呢」,"Map065.json,events,7,pages,5,list,12,parameters,0"
男,"Map065.json,events,7,pages,5,list,14,parameters,0"
「即使是同样的魔物娘也不行吗。,"Map065.json,events,7,pages,5,list,15,parameters,0"
啊啊～真是劳力和金钱的浪费啊」,"Map065.json,events,7,pages,5,list,16,parameters,0"
\C[27]清香,"Map065.json,events,7,pages,5,list,18,parameters,0"
「哥哥，好辛苦啊。加油」,"Map065.json,events,7,pages,5,list,19,parameters,0"
男,"Map065.json,events,7,pages,5,list,21,parameters,0"
「哈哈……被孩子鼓励了。,"Map065.json,events,7,pages,5,list,22,parameters,0"
谢谢，稍微有点精神了」,"Map065.json,events,7,pages,5,list,23,parameters,0"
\C[27]清香,"Map065.json,events,7,pages,5,list,25,parameters,0"
「（果然大人很辛苦啊……。,"Map065.json,events,7,pages,5,list,26,parameters,0"
但是孩子也有不方便的地方呢）」,"Map065.json,events,7,pages,5,list,27,parameters,0"
大人可以自由行动，但必须自己解决问题。,"Map065.json,events,7,pages,5,list,29,parameters,0"
孩子的行动虽然受到限制,"Map065.json,events,7,pages,5,list,30,parameters,0"
但即使遇到问题，周围的人或父母会帮助他们。,"Map065.json,events,7,pages,5,list,31,parameters,0"
总之……无论是大人还是孩子，都不会没有困难。,"Map065.json,events,7,pages,5,list,32,parameters,0"
男,"Map065.json,events,7,pages,6,list,3,parameters,0"
「终于做好了水槽。,"Map065.json,events,7,pages,6,list,4,parameters,0"
计划在这里保护水中的魔物娘」,"Map065.json,events,7,pages,6,list,5,parameters,0"
男子,"Map065.json,events,7,pages,6,list,7,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,6,list,8,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,6,list,9,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,6,list,10,parameters,0"
男,"Map065.json,events,7,pages,6,list,12,parameters,0"
「你，对此有什么看法……？,"Map065.json,events,7,pages,6,list,13,parameters,0"
如果是同样的魔物娘的话，能得到什么线索吗」,"Map065.json,events,7,pages,6,list,14,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,16,parameters,0"
「怎么说呢……」,"Map065.json,events,7,pages,6,list,17,parameters,0"
――如果更浅一点的话。,"Map065.json,events,7,pages,6,list,22,parameters,0"
跳进去，挥动翅膀,"Map065.json,events,7,pages,6,list,23,parameters,0"
在玩耍的同时也能把羽毛弄干净。,"Map065.json,events,7,pages,6,list,24,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,28,parameters,0"
「如果更浅一点，就可以洗澡玩得开心了」,"Map065.json,events,7,pages,6,list,29,parameters,0"
男,"Map065.json,events,7,pages,6,list,31,parameters,0"
「啊～原来如此，哈比是这样的吗。,"Map065.json,events,7,pages,6,list,32,parameters,0"
如果有像你这样的哈比,"Map065.json,events,7,pages,6,list,33,parameters,0"
也许可以满足需求」,"Map065.json,events,7,pages,6,list,34,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,36,parameters,0"
「（……等等，我刚才回答了什么）」,"Map065.json,events,7,pages,6,list,37,parameters,0"
看着水槽，想到了洗澡的事。,"Map065.json,events,7,pages,6,list,39,parameters,0"
挥动翅膀，噗通噗通地玩水,"Map065.json,events,7,pages,6,list,40,parameters,0"
一起洗身体，然后再次挥动翅膀,"Map065.json,events,7,pages,6,list,41,parameters,0"
把水甩掉，身心都清爽了。,"Map065.json,events,7,pages,6,list,42,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,44,parameters,0"
「（对于哈比来说，这是理所当然的事情吧。,"Map065.json,events,7,pages,6,list,45,parameters,0"
……虽然身体变了，但我还是人类男性，对吧？）」,"Map065.json,events,7,pages,6,list,46,parameters,0"
男,"Map065.json,events,7,pages,6,list,52,parameters,0"
「终于做好了水槽。,"Map065.json,events,7,pages,6,list,53,parameters,0"
计划在这里保护水中的魔物娘」,"Map065.json,events,7,pages,6,list,54,parameters,0"
男子,"Map065.json,events,7,pages,6,list,56,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,6,list,57,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,6,list,58,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,6,list,59,parameters,0"
男,"Map065.json,events,7,pages,6,list,61,parameters,0"
「你，对此有什么看法……？,"Map065.json,events,7,pages,6,list,62,parameters,0"
如果是同样的魔物娘的话，能得到什么线索吗」,"Map065.json,events,7,pages,6,list,63,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,65,parameters,0"
「怎么说呢……」,"Map065.json,events,7,pages,6,list,66,parameters,0"
――如果更浅一点的话。,"Map065.json,events,7,pages,6,list,71,parameters,0"
跳进去，挥动翅膀,"Map065.json,events,7,pages,6,list,72,parameters,0"
在玩耍的同时也能把羽毛弄干净。,"Map065.json,events,7,pages,6,list,73,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,77,parameters,0"
「如果更浅一点，就可以洗澡玩得开心了」,"Map065.json,events,7,pages,6,list,78,parameters,0"
男,"Map065.json,events,7,pages,6,list,80,parameters,0"
「啊～原来如此，哈比是这样的吗。,"Map065.json,events,7,pages,6,list,81,parameters,0"
如果有像你这样的哈比,"Map065.json,events,7,pages,6,list,82,parameters,0"
也许可以满足需求」,"Map065.json,events,7,pages,6,list,83,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,85,parameters,0"
「（……等等，我刚才回答了什么）」,"Map065.json,events,7,pages,6,list,86,parameters,0"
看着水槽，想到了洗澡的事。,"Map065.json,events,7,pages,6,list,88,parameters,0"
挥动翅膀，噗通噗通地玩水,"Map065.json,events,7,pages,6,list,89,parameters,0"
一起洗身体，然后再次挥动翅膀,"Map065.json,events,7,pages,6,list,90,parameters,0"
把水甩掉，身心都清爽了。,"Map065.json,events,7,pages,6,list,91,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,6,list,93,parameters,0"
「（对于哈比来说，这是理所当然的事情吧。,"Map065.json,events,7,pages,6,list,94,parameters,0"
……虽然身体变了，但我还是人类男性，对吧？）」,"Map065.json,events,7,pages,6,list,95,parameters,0"
是否再次观看事件？,"Map065.json,events,7,pages,7,list,1,parameters,0"
是,"Map065.json,events,7,pages,7,list,2,parameters,0,0"
否,"Map065.json,events,7,pages,7,list,2,parameters,0,1"
是,"Map065.json,events,7,pages,7,list,3,parameters,1"
男,"Map065.json,events,7,pages,7,list,7,parameters,0"
「终于做好了水槽。,"Map065.json,events,7,pages,7,list,8,parameters,0"
计划在这里保护水中的魔物娘」,"Map065.json,events,7,pages,7,list,9,parameters,0"
男子,"Map065.json,events,7,pages,7,list,11,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,7,list,12,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,7,list,13,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,7,list,14,parameters,0"
男,"Map065.json,events,7,pages,7,list,16,parameters,0"
「你，对此有什么看法……？,"Map065.json,events,7,pages,7,list,17,parameters,0"
如果是同样的魔物娘的话，能得到什么线索吗」,"Map065.json,events,7,pages,7,list,18,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,20,parameters,0"
「怎么说呢……」,"Map065.json,events,7,pages,7,list,21,parameters,0"
――如果更浅一点的话。,"Map065.json,events,7,pages,7,list,26,parameters,0"
跳进去，挥动翅膀,"Map065.json,events,7,pages,7,list,27,parameters,0"
在玩耍的同时也能把羽毛弄干净。,"Map065.json,events,7,pages,7,list,28,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,32,parameters,0"
「如果更浅一点，就可以洗澡玩得开心了」,"Map065.json,events,7,pages,7,list,33,parameters,0"
男,"Map065.json,events,7,pages,7,list,35,parameters,0"
「啊～原来如此，哈比是这样的吗。,"Map065.json,events,7,pages,7,list,36,parameters,0"
如果有像你这样的哈比,"Map065.json,events,7,pages,7,list,37,parameters,0"
也许可以满足需求」,"Map065.json,events,7,pages,7,list,38,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,40,parameters,0"
「（……等等，我刚才回答了什么）」,"Map065.json,events,7,pages,7,list,41,parameters,0"
看着水槽，想到了洗澡的事。,"Map065.json,events,7,pages,7,list,43,parameters,0"
挥动翅膀，噗通噗通地玩水,"Map065.json,events,7,pages,7,list,44,parameters,0"
一起洗身体，然后再次挥动翅膀,"Map065.json,events,7,pages,7,list,45,parameters,0"
把水甩掉，身心都清爽了。,"Map065.json,events,7,pages,7,list,46,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,48,parameters,0"
「（对于哈比来说，这是理所当然的事情吧。,"Map065.json,events,7,pages,7,list,49,parameters,0"
……虽然身体变了，但我还是人类男性，对吧？）」,"Map065.json,events,7,pages,7,list,50,parameters,0"
男,"Map065.json,events,7,pages,7,list,56,parameters,0"
「终于做好了水槽。,"Map065.json,events,7,pages,7,list,57,parameters,0"
计划在这里保护水中的魔物娘」,"Map065.json,events,7,pages,7,list,58,parameters,0"
男子,"Map065.json,events,7,pages,7,list,60,parameters,0"
「所以，你听说过在水中的魔物娘吗……。,"Map065.json,events,7,pages,7,list,61,parameters,0"
虽然是命令建造的，但真的是浪费体力。,"Map065.json,events,7,pages,7,list,62,parameters,0"
而且还浪费了预算」,"Map065.json,events,7,pages,7,list,63,parameters,0"
男,"Map065.json,events,7,pages,7,list,65,parameters,0"
「你，对此有什么看法……？,"Map065.json,events,7,pages,7,list,66,parameters,0"
如果是同样的魔物娘的话，能得到什么线索吗」,"Map065.json,events,7,pages,7,list,67,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,69,parameters,0"
「怎么说呢……」,"Map065.json,events,7,pages,7,list,70,parameters,0"
――如果更浅一点的话。,"Map065.json,events,7,pages,7,list,75,parameters,0"
跳进去，挥动翅膀,"Map065.json,events,7,pages,7,list,76,parameters,0"
在玩耍的同时也能把羽毛弄干净。,"Map065.json,events,7,pages,7,list,77,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,81,parameters,0"
「如果更浅一点，就可以洗澡玩得开心了」,"Map065.json,events,7,pages,7,list,82,parameters,0"
男,"Map065.json,events,7,pages,7,list,84,parameters,0"
「啊～原来如此，哈比是这样的吗。,"Map065.json,events,7,pages,7,list,85,parameters,0"
如果有像你这样的哈比,"Map065.json,events,7,pages,7,list,86,parameters,0"
也许可以满足需求」,"Map065.json,events,7,pages,7,list,87,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,89,parameters,0"
「（……等等，我刚才回答了什么）」,"Map065.json,events,7,pages,7,list,90,parameters,0"
看着水槽，想到了洗澡的事。,"Map065.json,events,7,pages,7,list,92,parameters,0"
挥动翅膀，噗通噗通地玩水,"Map065.json,events,7,pages,7,list,93,parameters,0"
一起洗身体，然后再次挥动翅膀,"Map065.json,events,7,pages,7,list,94,parameters,0"
把水甩掉，身心都清爽了。,"Map065.json,events,7,pages,7,list,95,parameters,0"
\C[27]清彦,"Map065.json,events,7,pages,7,list,97,parameters,0"
「（对于哈比来说，这是理所当然的事情吧。,"Map065.json,events,7,pages,7,list,98,parameters,0"
……虽然身体变了，但我还是人类男性，对吧？）」,"Map065.json,events,7,pages,7,list,99,parameters,0"
否,"Map065.json,events,7,pages,7,list,105,parameters,1"
