建造栅栏的男子,"Map099.json,events,4,name"
人们的目光没有停留的迹象。,"Map099.json,events,25,pages,0,list,15,parameters,0"
白天是顾客和保安。,"Map099.json,events,25,pages,0,list,16,parameters,0"
晚上有保安，24小时被人看着。,"Map099.json,events,25,pages,0,list,17,parameters,0"
没有独处的时间。,"Map099.json,events,25,pages,0,list,18,parameters,0"
背对着他们，稍微回头一下。,"Map099.json,events,25,pages,0,list,42,parameters,0"
然后人们就会惊讶地张大嘴巴。,"Map099.json,events,25,pages,0,list,43,parameters,0"
因为在水中，所以不知道他们发出了什么声音。,"Map099.json,events,25,pages,0,list,44,parameters,0"
但是……我总能感觉到他们发出了怎样的声音。,"Map099.json,events,25,pages,0,list,45,parameters,0"
请不要用那样的眼神看着我。,"Map099.json,events,25,pages,0,list,53,parameters,0"
如果要看的话，请看其他东西。,"Map099.json,events,25,pages,0,list,54,parameters,0"
请不要理会我……。\!,"Map099.json,events,25,pages,0,list,55,parameters,0"
她用不安的表情，用眼神向顾客诉说。,"Map099.json,events,25,pages,0,list,56,parameters,0"
但是……没有一个顾客离开。,"Map099.json,events,25,pages,0,list,61,parameters,0"
她今天也将度过一整天被人看着的日子——。,"Map099.json,events,25,pages,0,list,62,parameters,0"
ED12.人鱼展ED,"Map099.json,events,25,pages,0,list,68,parameters,0"
士兵,"Map099.json,events,26,name"
士兵,"Map099.json,events,26,pages,0,list,1,parameters,0"
清彦,"Map099.json,events,26,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,26,pages,0,list,5,parameters,0"
士兵,"Map099.json,events,27,name"
士兵,"Map099.json,events,27,pages,0,list,1,parameters,0"
清彦,"Map099.json,events,27,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,27,pages,0,list,5,parameters,0"
士兵,"Map099.json,events,28,name"
士兵,"Map099.json,events,28,pages,0,list,1,parameters,0"
清彦,"Map099.json,events,28,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,28,pages,0,list,5,parameters,0"
士兵,"Map099.json,events,29,name"
士兵,"Map099.json,events,29,pages,0,list,1,parameters,0"
清彦,"Map099.json,events,29,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,29,pages,0,list,5,parameters,0"
士兵,"Map099.json,events,30,name"
士兵,"Map099.json,events,30,pages,0,list,1,parameters,0"
清彦,"Map099.json,events,30,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,30,pages,0,list,5,parameters,0"
士兵,"Map099.json,events,31,name"
士兵,"Map099.json,events,31,pages,0,list,1,parameters,0"
清彦,"Map099.json,events,31,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map099.json,events,31,pages,0,list,5,parameters,0"
