魅魔化する男（EDに設置するかも）,"Map218.json,events,1,name"
对于那个男人，一根尾巴摇摆着靠近。,"Map218.json,events,1,pages,0,list,79,parameters,0"
这是通往魅魔的单程票。,"Map218.json,events,1,pages,0,list,80,parameters,0"
虽然可以通过亲吻改变，但她更喜欢这种方式。,"Map218.json,events,1,pages,0,list,81,parameters,0"
男人,"Map218.json,events,1,pages,0,list,83,parameters,0"
「别过来，别靠近！,"Map218.json,events,1,pages,0,list,84,parameters,0"
别靠近——。,"Map218.json,events,1,pages,0,list,85,parameters,0"
男人,"Map218.json,events,1,pages,0,list,91,parameters,0"
「呜啊……！\.\.\.,"Map218.json,events,1,pages,0,list,92,parameters,0"
咕噗噗……呜啊……！！！」,"Map218.json,events,1,pages,0,list,93,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,95,parameters,0"
「魅魔化液在男人的口中释放出来。,"Map218.json,events,1,pages,0,list,96,parameters,0"
看到他拼命挣扎的样子真是可爱♪,"Map218.json,events,1,pages,0,list,97,parameters,0"
人类咬住这个东西，在口中拼命挣扎,"Map218.json,events,1,pages,0,list,99,parameters,0"
牙齿和舌头的感觉从尾巴传来,"Map218.json,events,1,pages,0,list,100,parameters,0"
然后……子宫开始疼痛。,"Map218.json,events,1,pages,0,list,101,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,103,parameters,0"
「可以了吧……？」,"Map218.json,events,1,pages,0,list,104,parameters,0"
男人,"Map218.json,events,1,pages,0,list,106,parameters,0"
「……噗哈！\.\.\.,"Map218.json,events,1,pages,0,list,107,parameters,0"
不要……身体好热，好热……！」,"Map218.json,events,1,pages,0,list,108,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,110,parameters,0"
「会舒服的♡,"Map218.json,events,1,pages,0,list,111,parameters,0"
你也加入我们吧……？」,"Map218.json,events,1,pages,0,list,112,parameters,0"
男人,"Map218.json,events,1,pages,0,list,114,parameters,0"
「啊啊啊啊啊啊啊啊啊啊啊！！！！！！」,"Map218.json,events,1,pages,0,list,115,parameters,0"
魅魔,"Map218.json,events,1,pages,0,list,124,parameters,0"
「啊啊啊……♡啊哈……♡,"Map218.json,events,1,pages,0,list,125,parameters,0"
变了……我已经……♡」,"Map218.json,events,1,pages,0,list,126,parameters,0"
一只魅魔展示着美丽的身体,"Map218.json,events,1,pages,0,list,128,parameters,0"
摇动着新生的羽毛和尾巴。,"Map218.json,events,1,pages,0,list,129,parameters,0"
身体湿润，魅魔的汗水时而闪闪发光,"Map218.json,events,1,pages,0,list,130,parameters,0"
弥漫着浓郁的雌性气息。,"Map218.json,events,1,pages,0,list,131,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,135,parameters,0"
「呵呵……♪,"Map218.json,events,1,pages,0,list,136,parameters,0"
你知道吗？魅魔的头发通常是浅紫色,"Map218.json,events,1,pages,0,list,137,parameters,0"
但偶尔会有颜色不同的魅魔，据说是特别的个体♡」,"Map218.json,events,1,pages,0,list,138,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,140,parameters,0"
「特别的个体似乎有点强大♪,"Map218.json,events,1,pages,0,list,141,parameters,0"
浓紫色的我和橙色的你都是特别的♡,"Map218.json,events,1,pages,0,list,142,parameters,0"
顺便说一下，孩子们基本上是金色的♪」,"Map218.json,events,1,pages,0,list,143,parameters,0"
魅魔,"Map218.json,events,1,pages,0,list,145,parameters,0"
「我……是特别的呢……♡,"Map218.json,events,1,pages,0,list,146,parameters,0"
必须去。停止这个身体的疼痛……♪」,"Map218.json,events,1,pages,0,list,147,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,149,parameters,0"
「加油哦♪,"Map218.json,events,1,pages,0,list,150,parameters,0"
让我们不断增加伙伴吧……♡」,"Map218.json,events,1,pages,0,list,151,parameters,0"
魅魔,"Map218.json,events,1,pages,0,list,153,parameters,0"
「好的……♡」,"Map218.json,events,1,pages,0,list,154,parameters,0"
这样，魅魔又增加了一人。,"Map218.json,events,1,pages,0,list,158,parameters,0"
她们会扩大势力到什么程度呢……。,"Map218.json,events,1,pages,0,list,159,parameters,0"
\C[27]魅魔,"Map218.json,events,1,pages,0,list,161,parameters,0"
「果然增加伙伴最棒了……♡」,"Map218.json,events,1,pages,0,list,162,parameters,0"
曾经被称为清彦的魅魔,"Map218.json,events,1,pages,0,list,164,parameters,0"
陶醉在增加伙伴的余韵中。,"Map218.json,events,1,pages,0,list,165,parameters,0"
新人教会的人,"Map218.json,events,2,name"
教会的人,"Map218.json,events,2,pages,0,list,3,parameters,0"
“你好，冒险家先生。,"Map218.json,events,2,pages,0,list,4,parameters,0"
在这里\C[18]如果身体有什么问题\C[0]，可以接受治疗哦。”,"Map218.json,events,2,pages,0,list,5,parameters,0"
清彦,"Map218.json,events,2,pages,0,list,7,parameters,0"
“那真是太好了。,"Map218.json,events,2,pages,0,list,8,parameters,0"
这个岛上好像没有医院之类的……”,"Map218.json,events,2,pages,0,list,9,parameters,0"
教会的人,"Map218.json,events,2,pages,0,list,11,parameters,0"
“是的。,"Map218.json,events,2,pages,0,list,12,parameters,0"
虽然我是\C[18]新人\C[0]，但如果有什么问题我会帮助你的！”,"Map218.json,events,2,pages,0,list,13,parameters,0"
清彦,"Map218.json,events,2,pages,0,list,15,parameters,0"
“（到那个时候就拜托你了）”,"Map218.json,events,2,pages,0,list,16,parameters,0"
教会的人,"Map218.json,events,9,pages,0,list,2,parameters,0"
「……好了」,"Map218.json,events,9,pages,0,list,3,parameters,0"
教会的人,"Map218.json,events,9,pages,0,list,7,parameters,0"
「这样可以持续一段时间。,"Map218.json,events,9,pages,0,list,8,parameters,0"
请休息一下吧」,"Map218.json,events,9,pages,0,list,9,parameters,0"
男人,"Map218.json,events,9,pages,0,list,12,parameters,0"
「啊～……真是太好了……。,"Map218.json,events,9,pages,0,list,13,parameters,0"
谢谢你救了我……」,"Map218.json,events,9,pages,0,list,14,parameters,0"
男人大口地喘着气。,"Map218.json,events,9,pages,0,list,16,parameters,0"
成功逃离了完全变成魅魔巢穴的城市。,"Map218.json,events,9,pages,0,list,17,parameters,0"
真是不幸中之万幸。,"Map218.json,events,9,pages,0,list,18,parameters,0"
女性,"Map218.json,events,9,pages,0,list,24,parameters,0"
「真是辛苦了。,"Map218.json,events,9,pages,0,list,25,parameters,0"
你成功逃离了那些魅魔们」,"Map218.json,events,9,pages,0,list,26,parameters,0"
一个穿着方便活动的衣服的女性。,"Map218.json,events,9,pages,0,list,31,parameters,0"
从外表来看，她是一个女冒险家。,"Map218.json,events,9,pages,0,list,32,parameters,0"
她散发出一种从容不迫的氛围,"Map218.json,events,9,pages,0,list,33,parameters,0"
给人一种『这个人可靠』的感觉。,"Map218.json,events,9,pages,0,list,34,parameters,0"
男人,"Map218.json,events,9,pages,0,list,36,parameters,0"
「你是……？」,"Map218.json,events,9,pages,0,list,37,parameters,0"
教会的人,"Map218.json,events,9,pages,0,list,39,parameters,0"
「我的师傅。,"Map218.json,events,9,pages,0,list,40,parameters,0"
来吧，虽然现在是这种情况,"Map218.json,events,9,pages,0,list,41,parameters,0"
但喝杯茶平静一下吧」,"Map218.json,events,9,pages,0,list,42,parameters,0"
男人,"Map218.json,events,9,pages,0,list,46,parameters,0"
「好的，真的非常非常感谢你」,"Map218.json,events,9,pages,0,list,47,parameters,0"
