新人教会的人,"Map110.json,events,2,name"
……去问一下店员吧）」,"Map110.json,events,2,pages,2,list,272,parameters,0"
教会的人,"Map110.json,events,2,pages,3,list,2,parameters,0"
「你好。,"Map110.json,events,2,pages,3,list,3,parameters,0"
之后的情况如何？」,"Map110.json,events,2,pages,3,list,4,parameters,0"
教会的人,"Map110.json,events,2,pages,3,list,6,parameters,0"
「因为知道你的情况,"Map110.json,events,2,pages,3,list,7,parameters,0"
所以可以告诉你一些事情。,"Map110.json,events,2,pages,3,list,8,parameters,0"
关于女性身体的问题，有什么想问的吗？」,"Map110.json,events,2,pages,3,list,9,parameters,0"
\C[27]清彦,"Map110.json,events,2,pages,3,list,11,parameters,0"
「现在没有什么问题……」,"Map110.json,events,2,pages,3,list,12,parameters,0"
教会的人,"Map110.json,events,2,pages,3,list,14,parameters,0"
「是吗……。,"Map110.json,events,2,pages,3,list,15,parameters,0"
如果有什么问题，请随时问」,"Map110.json,events,2,pages,3,list,16,parameters,0"
教会的人,"Map110.json,events,2,pages,3,list,18,parameters,0"
「（明明刚变成女性,"Map110.json,events,2,pages,3,list,19,parameters,0"
举止一举一动都像个女孩子呢）」,"Map110.json,events,2,pages,3,list,20,parameters,0"
教会的人,"Map110.json,events,2,pages,3,list,24,parameters,0"
「你好。,"Map110.json,events,2,pages,3,list,25,parameters,0"
之后的情况如何？」,"Map110.json,events,2,pages,3,list,26,parameters,0"
教会的人,"Map110.json,events,2,pages,3,list,28,parameters,0"
「因为知道你的情况,"Map110.json,events,2,pages,3,list,29,parameters,0"
所以可以告诉你一些事情。,"Map110.json,events,2,pages,3,list,30,parameters,0"
关于女性身体的问题，有什么想问的吗？」,"Map110.json,events,2,pages,3,list,31,parameters,0"
\C[27]清彦,"Map110.json,events,2,pages,3,list,33,parameters,0"
「（身体……吗）。,"Map110.json,events,2,pages,3,list,34,parameters,0"
嗯，现在没问题。嗯」,"Map110.json,events,2,pages,3,list,35,parameters,0"
教会的人,"Map110.json,events,2,pages,3,list,37,parameters,0"
「是吗。,"Map110.json,events,2,pages,3,list,38,parameters,0"
如果有什么问题，请随时问」,"Map110.json,events,2,pages,3,list,39,parameters,0"
\C[27]清彦,"Map110.json,events,2,pages,3,list,41,parameters,0"
「（女性的身体……吗）」,"Map110.json,events,2,pages,3,list,42,parameters,0"
教会的人,"Map110.json,events,2,pages,4,list,1,parameters,0"
「冒险家，怎么了？」,"Map110.json,events,2,pages,4,list,2,parameters,0"
清彦,"Map110.json,events,2,pages,4,list,4,parameters,0"
「（也许，这个人的话……）,"Map110.json,events,2,pages,4,list,5,parameters,0"
嗯，其实——。,"Map110.json,events,2,pages,4,list,6,parameters,0"
教会的人,"Map110.json,events,2,pages,4,list,11,parameters,0"
「原来如此……。,"Map110.json,events,2,pages,4,list,12,parameters,0"
那个水晶，到底是什么呢。,"Map110.json,events,2,pages,4,list,13,parameters,0"
虽然知道它带有奇特的魔力……」,"Map110.json,events,2,pages,4,list,14,parameters,0"
教会的人,"Map110.json,events,2,pages,4,list,17,parameters,0"
「对不起，我也不知道更多了。,"Map110.json,events,2,pages,4,list,18,parameters,0"
如果卖掉的话，肯定很贵。,"Map110.json,events,2,pages,4,list,19,parameters,0"
祈祷不会被盗吧」,"Map110.json,events,2,pages,4,list,20,parameters,0"
清彦,"Map110.json,events,2,pages,4,list,22,parameters,0"
「是吗，谢谢你。,"Map110.json,events,2,pages,4,list,23,parameters,0"
那我告辞了。,"Map110.json,events,2,pages,4,list,24,parameters,0"
（果然只有专家才能知道吗）」,"Map110.json,events,2,pages,4,list,25,parameters,0"
教会的人,"Map110.json,events,2,pages,5,list,1,parameters,0"
「家的位置吗？,"Map110.json,events,2,pages,5,list,2,parameters,0"
在东边的居民限定区域。,"Map110.json,events,2,pages,5,list,3,parameters,0"
请向士兵出示居民卡」,"Map110.json,events,2,pages,5,list,4,parameters,0"
教会的人,"Map110.json,events,2,pages,6,list,1,parameters,0"
「家的位置吗？,"Map110.json,events,2,pages,6,list,2,parameters,0"
在东边的居民限定区域。,"Map110.json,events,2,pages,6,list,3,parameters,0"
请向士兵出示居民卡」,"Map110.json,events,2,pages,6,list,4,parameters,0"
\C[27]清彦,"Map110.json,events,9,pages,0,list,9,parameters,0"
「这么说来。,"Map110.json,events,9,pages,0,list,10,parameters,0"
差点就被猫娘染色了喵」,"Map110.json,events,9,pages,0,list,11,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,14,parameters,0"
「（已经被染色了。最好不要这么说）,"Map110.json,events,9,pages,0,list,15,parameters,0"
原来如此……真是辛苦了。,"Map110.json,events,9,pages,0,list,16,parameters,0"
我明白了，请交给我吧」,"Map110.json,events,9,pages,0,list,17,parameters,0"
\C[27]清彦,"Map110.json,events,9,pages,0,list,21,parameters,0"
「真是感激不尽喵。那就拜托了喵」,"Map110.json,events,9,pages,0,list,22,parameters,0"
她笑着合起双手,"Map110.json,events,9,pages,0,list,24,parameters,0"
摆出少女般的姿势。,"Map110.json,events,9,pages,0,list,25,parameters,0"
猫耳和尾巴也竖起来,"Map110.json,events,9,pages,0,list,26,parameters,0"
左右摇晃得很开心。,"Map110.json,events,9,pages,0,list,27,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,29,parameters,0"
「（真的是从男人变过来的吗？,"Map110.json,events,9,pages,0,list,30,parameters,0"
不管怎样……我也经历了修行。应该能行！）,"Map110.json,events,9,pages,0,list,31,parameters,0"
那么，请放松」,"Map110.json,events,9,pages,0,list,32,parameters,0"
\C[27]清彦,"Map110.json,events,9,pages,0,list,34,parameters,0"
「知道了喵」,"Map110.json,events,9,pages,0,list,35,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,38,parameters,0"
“……\.\.哈啊！”,"Map110.json,events,9,pages,0,list,39,parameters,0"
清彦,"Map110.json,events,9,pages,0,list,55,parameters,0"
「哦……哦……？」,"Map110.json,events,9,pages,0,list,56,parameters,0"
俯视自己的身体。,"Map110.json,events,9,pages,0,list,58,parameters,0"
沉甸甸的，感受到坚硬和重量的盔甲。,"Map110.json,events,9,pages,0,list,59,parameters,0"
保护双手的冒险家手套，既方便活动又耐用。,"Map110.json,events,9,pages,0,list,60,parameters,0"
不再有凉爽的感觉。,"Map110.json,events,9,pages,0,list,62,parameters,0"
与外表相反，是容易活动的材料制成的裤子。,"Map110.json,events,9,pages,0,list,63,parameters,0"
轻便易动的坚固鞋子。,"Map110.json,events,9,pages,0,list,64,parameters,0"
最重要的是……胸部完全没有凸起。,"Map110.json,events,9,pages,0,list,66,parameters,0"
声音不是从正上方传来，而是从侧面传来。,"Map110.json,events,9,pages,0,list,67,parameters,0"
自己的声音变低了……熟悉的声音。,"Map110.json,events,9,pages,0,list,68,parameters,0"
毫不在意地用手触摸下体。,"Map110.json,events,9,pages,0,list,71,parameters,0"
有一种软绵绵的东西！！！,"Map110.json,events,9,pages,0,list,72,parameters,0"
\C[27]清彦,"Map110.json,events,9,pages,0,list,78,parameters,0"
「做……做到了！！！,"Map110.json,events,9,pages,0,list,79,parameters,0"
\!变回男人了！！！」,"Map110.json,events,9,pages,0,list,80,parameters,0"
握紧拳头仰望天空。,"Map110.json,events,9,pages,0,list,83,parameters,0"
真是太好了，他真的来得及时。,"Map110.json,events,9,pages,0,list,84,parameters,0"
这个人对他来说是救命恩人。,"Map110.json,events,9,pages,0,list,85,parameters,0"
深深地鞠躬，表示感谢。,"Map110.json,events,9,pages,0,list,86,parameters,0"
握紧拳头仰望天空。,"Map110.json,events,9,pages,0,list,90,parameters,0"
试试看，这个教会。,"Map110.json,events,9,pages,0,list,91,parameters,0"
这个人对他来说是救命恩人。,"Map110.json,events,9,pages,0,list,92,parameters,0"
深深地鞠躬，表示感谢。,"Map110.json,events,9,pages,0,list,93,parameters,0"
\C[27]清彦,"Map110.json,events,9,pages,0,list,99,parameters,0"
「真的非常感谢，该怎么说才好呢。,"Map110.json,events,9,pages,0,list,100,parameters,0"
治疗费用是多少呢？」,"Map110.json,events,9,pages,0,list,101,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,104,parameters,0"
「真的能治好吗……」,"Map110.json,events,9,pages,0,list,105,parameters,0"
清彦,"Map110.json,events,9,pages,0,list,108,parameters,0"
「怎么了？」,"Map110.json,events,9,pages,0,list,109,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,112,parameters,0"
「啊，不……！,"Map110.json,events,9,pages,0,list,113,parameters,0"
没关系的，治疗费用不用担心。,"Map110.json,events,9,pages,0,list,114,parameters,0"
我就是为了这个才在这里的」,"Map110.json,events,9,pages,0,list,115,parameters,0"
清彦,"Map110.json,events,9,pages,0,list,117,parameters,0"
「……真的可以吗？」,"Map110.json,events,9,pages,0,list,118,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,120,parameters,0"
「是的！,"Map110.json,events,9,pages,0,list,121,parameters,0"
祝愿你在今后的冒险中好运连连」,"Map110.json,events,9,pages,0,list,122,parameters,0"
清彦,"Map110.json,events,9,pages,0,list,124,parameters,0"
「非常感谢。,"Map110.json,events,9,pages,0,list,125,parameters,0"
那我告辞了」,"Map110.json,events,9,pages,0,list,126,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,140,parameters,0"
「就算是我这样的人，也能治愈别人。,"Map110.json,events,9,pages,0,list,141,parameters,0"
太好了……！真的很开心。,"Map110.json,events,9,pages,0,list,142,parameters,0"
在师傅那里修行并没有错」,"Map110.json,events,9,pages,0,list,143,parameters,0"
教会的人,"Map110.json,events,9,pages,0,list,145,parameters,0"
「以后也要加油。,"Map110.json,events,9,pages,0,list,146,parameters,0"
充满斗志呢……！」,"Map110.json,events,9,pages,0,list,147,parameters,0"
——数周后。,"Map110.json,events,9,pages,0,list,151,parameters,0"
清彦,"Map110.json,events,11,pages,0,list,1,parameters,0"
「正面墙上有镜子。,"Map110.json,events,11,pages,0,list,2,parameters,0"
为什么会在那种地方……」,"Map110.json,events,11,pages,0,list,3,parameters,0"
\C[27]清彦,"Map110.json,events,11,pages,1,list,1,parameters,0"
「正面的镜子里没有人影……」,"Map110.json,events,11,pages,1,list,2,parameters,0"
\C[27]清彦,"Map110.json,events,11,pages,2,list,1,parameters,0"
「会习惯这个样子吗……？」,"Map110.json,events,11,pages,2,list,2,parameters,0"
\C[27]清彦,"Map110.json,events,11,pages,3,list,1,parameters,0"
「会习惯这个样子吗……？,"Map110.json,events,11,pages,3,list,2,parameters,0"
但是总觉得，有点不协调。,"Map110.json,events,11,pages,3,list,3,parameters,0"
胸部和身体的平衡感……」,"Map110.json,events,11,pages,3,list,4,parameters,0"
