新人教会的人,"Map013.json,events,2,name"
但是……现实是残酷的。,"Map013.json,events,2,pages,2,list,218,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,220,parameters,0"
「……谢谢你」,"Map013.json,events,2,pages,2,list,221,parameters,0"
勉强保持意识，离开那个地方。\!,"Map013.json,events,2,pages,2,list,226,parameters,0"
一辈子，作为魔物娘……吸血姬,"Map013.json,events,2,pages,2,list,227,parameters,0"
\C[27]作为女孩子\C[0]活下去，思绪无法追赶……。,"Map013.json,events,2,pages,2,list,228,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,233,parameters,0"
（自己的实力不足真是可悲。,"Map013.json,events,2,pages,2,list,235,parameters,0"
还需要更多的修行）”,"Map013.json,events,2,pages,2,list,236,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,238,parameters,0"
“（如果是师傅的话，能治好她吗……。,"Map013.json,events,2,pages,2,list,239,parameters,0"
那个人说过‘可爱的孩子就让她保持原样。,"Map013.json,events,2,pages,2,list,240,parameters,0"
尤其是原本是男性的人’之类的话）”,"Map013.json,events,2,pages,2,list,241,parameters,0"
教会的人,"Map013.json,events,2,pages,2,list,243,parameters,0"
“（果然还是应该叫他过来吗……？,"Map013.json,events,2,pages,2,list,244,parameters,0"
只是，现在叫他过来的话……不知道要等到什么时候）”,"Map013.json,events,2,pages,2,list,245,parameters,0"
几十分钟后。,"Map013.json,events,2,pages,2,list,248,parameters,0"
漫无目的地走着，终于头脑冷静下来。,"Map013.json,events,2,pages,2,list,253,parameters,0"
注意到时，她站在写着『酒馆「妖怪娘」』的,"Map013.json,events,2,pages,2,list,255,parameters,0"
招牌前。,"Map013.json,events,2,pages,2,list,256,parameters,0"
不知为何，待在这家店前，感到安心。,"Map013.json,events,2,pages,2,list,257,parameters,0"
仿佛……自己的伙伴就在里面。,"Map013.json,events,2,pages,2,list,258,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,260,parameters,0"
「（……已经没有钱了。无法上船。,"Map013.json,events,2,pages,2,list,261,parameters,0"
现实问题，不是债务的问题。而且……）」,"Map013.json,events,2,pages,2,list,262,parameters,0"
现在的我，是清彦但又不是清彦。,"Map013.json,events,2,pages,2,list,264,parameters,0"
就算看到这样的样子，也没有一个熟人能认出来。,"Map013.json,events,2,pages,2,list,265,parameters,0"
\!不仅外貌，性别和种族都发生了变化。,"Map013.json,events,2,pages,2,list,266,parameters,0"
债务很抱歉，可能只能逃避了。,"Map013.json,events,2,pages,2,list,267,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,2,list,269,parameters,0"
「（那么……必须工作。,"Map013.json,events,2,pages,2,list,270,parameters,0"
但是，也不想回那个屋子。,"Map013.json,events,2,pages,2,list,271,parameters,0"
……去问一下店员吧）」,"Map013.json,events,2,pages,2,list,272,parameters,0"
教会的人,"Map013.json,events,2,pages,3,list,2,parameters,0"
「你好。,"Map013.json,events,2,pages,3,list,3,parameters,0"
之后的情况如何？」,"Map013.json,events,2,pages,3,list,4,parameters,0"
教会的人,"Map013.json,events,2,pages,3,list,6,parameters,0"
「因为知道你的情况,"Map013.json,events,2,pages,3,list,7,parameters,0"
所以可以告诉你一些事情。,"Map013.json,events,2,pages,3,list,8,parameters,0"
关于女性身体的问题，有什么想问的吗？」,"Map013.json,events,2,pages,3,list,9,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,3,list,11,parameters,0"
「现在没有什么问题……」,"Map013.json,events,2,pages,3,list,12,parameters,0"
教会的人,"Map013.json,events,2,pages,3,list,14,parameters,0"
「是吗……。,"Map013.json,events,2,pages,3,list,15,parameters,0"
如果有什么问题，请随时问」,"Map013.json,events,2,pages,3,list,16,parameters,0"
教会的人,"Map013.json,events,2,pages,3,list,18,parameters,0"
「（明明刚变成女性,"Map013.json,events,2,pages,3,list,19,parameters,0"
举止一举一动都像个女孩子呢）」,"Map013.json,events,2,pages,3,list,20,parameters,0"
教会的人,"Map013.json,events,2,pages,3,list,24,parameters,0"
「你好。,"Map013.json,events,2,pages,3,list,25,parameters,0"
之后的情况如何？」,"Map013.json,events,2,pages,3,list,26,parameters,0"
教会的人,"Map013.json,events,2,pages,3,list,28,parameters,0"
「因为知道你的情况,"Map013.json,events,2,pages,3,list,29,parameters,0"
所以可以告诉你一些事情。,"Map013.json,events,2,pages,3,list,30,parameters,0"
关于女性身体的问题，有什么想问的吗？」,"Map013.json,events,2,pages,3,list,31,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,3,list,33,parameters,0"
「（身体……吗）。,"Map013.json,events,2,pages,3,list,34,parameters,0"
嗯，现在没问题。嗯」,"Map013.json,events,2,pages,3,list,35,parameters,0"
教会的人,"Map013.json,events,2,pages,3,list,37,parameters,0"
「是吗。,"Map013.json,events,2,pages,3,list,38,parameters,0"
如果有什么问题，请随时问」,"Map013.json,events,2,pages,3,list,39,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,3,list,41,parameters,0"
「（女性的身体……吗）」,"Map013.json,events,2,pages,3,list,42,parameters,0"
教会的人,"Map013.json,events,2,pages,4,list,1,parameters,0"
「冒险家，怎么了？」,"Map013.json,events,2,pages,4,list,2,parameters,0"
清彦,"Map013.json,events,2,pages,4,list,4,parameters,0"
「（也许，这个人的话……）,"Map013.json,events,2,pages,4,list,5,parameters,0"
嗯，其实——。,"Map013.json,events,2,pages,4,list,6,parameters,0"
教会的人,"Map013.json,events,2,pages,4,list,11,parameters,0"
「原来如此……。,"Map013.json,events,2,pages,4,list,12,parameters,0"
那个水晶，到底是什么呢。,"Map013.json,events,2,pages,4,list,13,parameters,0"
虽然知道它带有奇特的魔力……」,"Map013.json,events,2,pages,4,list,14,parameters,0"
教会的人,"Map013.json,events,2,pages,4,list,17,parameters,0"
「对不起，我也不知道更多了。,"Map013.json,events,2,pages,4,list,18,parameters,0"
如果卖掉的话，肯定很贵。,"Map013.json,events,2,pages,4,list,19,parameters,0"
祈祷不会被盗吧」,"Map013.json,events,2,pages,4,list,20,parameters,0"
清彦,"Map013.json,events,2,pages,4,list,22,parameters,0"
「是吗，谢谢你。,"Map013.json,events,2,pages,4,list,23,parameters,0"
那我告辞了。,"Map013.json,events,2,pages,4,list,24,parameters,0"
（果然只有专家才能知道吗）」,"Map013.json,events,2,pages,4,list,25,parameters,0"
教会的人,"Map013.json,events,2,pages,5,list,1,parameters,0"
「家的位置吗？,"Map013.json,events,2,pages,5,list,2,parameters,0"
在东边的居民限定区域。,"Map013.json,events,2,pages,5,list,3,parameters,0"
请向士兵出示居民卡」,"Map013.json,events,2,pages,5,list,4,parameters,0"
教会的人,"Map013.json,events,2,pages,6,list,1,parameters,0"
「家的位置吗？,"Map013.json,events,2,pages,6,list,2,parameters,0"
在东边的居民限定区域。,"Map013.json,events,2,pages,6,list,3,parameters,0"
请向士兵出示居民卡」,"Map013.json,events,2,pages,6,list,4,parameters,0"
清彦,"Map013.json,events,2,pages,7,list,1,parameters,0"
「（……问问这个人吗？,"Map013.json,events,2,pages,7,list,2,parameters,0"
不，这件事自己考虑吧。,"Map013.json,events,2,pages,7,list,3,parameters,0"
是的……应该自己考虑）」,"Map013.json,events,2,pages,7,list,4,parameters,0"
教会的人,"Map013.json,events,2,pages,7,list,6,parameters,0"
没事吗？看起来在深思熟虑」,"Map013.json,events,2,pages,7,list,8,parameters,0"
清彦,"Map013.json,events,2,pages,7,list,10,parameters,0"
「！没事。没有问题」,"Map013.json,events,2,pages,7,list,11,parameters,0"
教会的人,"Map013.json,events,2,pages,7,list,13,parameters,0"
「是吗。,"Map013.json,events,2,pages,7,list,14,parameters,0"
有什么困难的话，请随时咨询！」,"Map013.json,events,2,pages,7,list,15,parameters,0"
清彦,"Map013.json,events,2,pages,7,list,17,parameters,0"
「（想要装作怎样怎样。,"Map013.json,events,2,pages,7,list,18,parameters,0"
那种害羞的事情……说不出口）」,"Map013.json,events,2,pages,7,list,19,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,8,list,2,parameters,0"
「（对了，这个人的话……）」,"Map013.json,events,2,pages,8,list,3,parameters,0"
教会的人,"Map013.json,events,2,pages,8,list,7,parameters,0"
「你好，妖怪娘……嗯？大妖狐小姐？」,"Map013.json,events,2,pages,8,list,8,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,8,list,11,parameters,0"
「你认识大妖狐小姐吗？」,"Map013.json,events,2,pages,8,list,12,parameters,0"
教会的人,"Map013.json,events,2,pages,8,list,14,parameters,0"
「嗯，偶尔交谈而已。,"Map013.json,events,2,pages,8,list,15,parameters,0"
虽然没有听说过像你这样的妹妹……」,"Map013.json,events,2,pages,8,list,16,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,8,list,18,parameters,0"
「（妹妹……）,"Map013.json,events,2,pages,8,list,19,parameters,0"
那个，这个样子是……」,"Map013.json,events,2,pages,8,list,20,parameters,0"
教会的人,"Map013.json,events,2,pages,8,list,26,parameters,0"
「原来如此啊……。,"Map013.json,events,2,pages,8,list,27,parameters,0"
虽然知道你在做些什么,"Map013.json,events,2,pages,8,list,28,parameters,0"
但没想到是皮肤……。果然出乎意料。不过……」,"Map013.json,events,2,pages,8,list,29,parameters,0"
教会的人凝视着清彦的身体。,"Map013.json,events,2,pages,8,list,31,parameters,0"
耳朵、脸、胸部、手、腰、腿、尾巴。,"Map013.json,events,2,pages,8,list,32,parameters,0"
虽然是同性，不涉及性方面的意思……。,"Map013.json,events,2,pages,8,list,33,parameters,0"
教会的人,"Map013.json,events,2,pages,8,list,35,parameters,0"
「越看越像呢。,"Map013.json,events,2,pages,8,list,36,parameters,0"
举止也和本人一模一样……？」,"Map013.json,events,2,pages,8,list,37,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,8,list,40,parameters,0"
「诶」,"Map013.json,events,2,pages,8,list,41,parameters,0"
举止？哪里？\!,"Map013.json,events,2,pages,8,list,43,parameters,0"
他真的已经适应了这个皮肤到连自己都没有察觉吗？,"Map013.json,events,2,pages,8,list,44,parameters,0"
教会的人的话渐渐让他感到焦虑。,"Map013.json,events,2,pages,8,list,45,parameters,0"
他没有察觉到自己的耳朵和尾巴在颤抖。,"Map013.json,events,2,pages,8,list,46,parameters,0"
教会的人,"Map013.json,events,2,pages,8,list,48,parameters,0"
「治疗……虽然想这么说，但这不是我的专长。,"Map013.json,events,2,pages,8,list,49,parameters,0"
也不是说用治疗魔法之类的。,"Map013.json,events,2,pages,8,list,50,parameters,0"
这样的话题吧……」,"Map013.json,events,2,pages,8,list,51,parameters,0"
教会的人,"Map013.json,events,2,pages,8,list,53,parameters,0"
「（如果师傅在的话，一定会很高兴的案件吧……。,"Map013.json,events,2,pages,8,list,54,parameters,0"
内心更倾向于男性。,"Map013.json,events,2,pages,8,list,55,parameters,0"
他是个很奇怪的人）」,"Map013.json,events,2,pages,8,list,56,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,8,list,58,parameters,0"
「嗯，关于那个……。,"Map013.json,events,2,pages,8,list,59,parameters,0"
只要知道脱掉皮的方法，就能恢复原样」,"Map013.json,events,2,pages,8,list,60,parameters,0"
教会的人,"Map013.json,events,2,pages,8,list,62,parameters,0"
「对不起，帮不上忙。,"Map013.json,events,2,pages,8,list,63,parameters,0"
如果还有其他困扰的事情，请告诉我」,"Map013.json,events,2,pages,8,list,64,parameters,0"
\C[27]清彦,"Map013.json,events,2,pages,8,list,66,parameters,0"
「谢谢你」,"Map013.json,events,2,pages,8,list,67,parameters,0"
能有这样的朋友真是令人高兴。,"Map013.json,events,2,pages,8,list,69,parameters,0"
也算是『妖狐清彦的第一个人类朋友』,"Map013.json,events,2,pages,8,list,70,parameters,0"
这样的事情吧。,"Map013.json,events,2,pages,8,list,71,parameters,0"
……魔物娘和人类的关系。,"Map013.json,events,2,pages,8,list,73,parameters,0"
没想到会有一个叫清彦的人成为魔物娘一方。,"Map013.json,events,2,pages,8,list,74,parameters,0"
嘛，只要脱掉皮就能恢复原样。,"Map013.json,events,2,pages,8,list,75,parameters,0"
关于举止的事情……因为外表是女性,"Map013.json,events,2,pages,8,list,77,parameters,0"
所以应该要表现得像女性一样。,"Map013.json,events,2,pages,8,list,78,parameters,0"
所以应该没有问题……应该没有搞错。,"Map013.json,events,2,pages,8,list,79,parameters,0"
即使在走路时晃动臀部，走路时内八字,"Map013.json,events,2,pages,8,list,81,parameters,0"
自然地双手交叉在胯前,"Map013.json,events,2,pages,8,list,82,parameters,0"
甚至要做到不让里面的东西显露出来。,"Map013.json,events,2,pages,8,list,83,parameters,0"
教会的人,"Map013.json,events,2,pages,9,list,1,parameters,0"
「你好，清彦先生。,"Map013.json,events,2,pages,9,list,2,parameters,0"
如果有关于皮肤的任何发现,"Map013.json,events,2,pages,9,list,3,parameters,0"
我会立刻通知你」,"Map013.json,events,2,pages,9,list,4,parameters,0"
教会的人,"Map013.json,events,2,pages,10,list,2,parameters,0"
「你好，魔物娘小姐」,"Map013.json,events,2,pages,10,list,3,parameters,0"
\C[27]清香,"Map013.json,events,2,pages,10,list,7,parameters,0"
「（嗯……？这个人在这里吗？）」,"Map013.json,events,2,pages,10,list,8,parameters,0"
\C[27]清香,"Map013.json,events,2,pages,10,list,12,parameters,0"
「（好大的人啊。,"Map013.json,events,2,pages,10,list,13,parameters,0"
大妖狐那样的，看起来很大）」,"Map013.json,events,2,pages,10,list,14,parameters,0"
教会的人,"Map013.json,events,2,pages,10,list,18,parameters,0"
「平时在这里的孩子感冒了,"Map013.json,events,2,pages,10,list,19,parameters,0"
正好我在这里帮忙」,"Map013.json,events,2,pages,10,list,20,parameters,0"
教会的人,"Map013.json,events,2,pages,10,list,23,parameters,0"
「话说回来……你难道是」,"Map013.json,events,2,pages,10,list,24,parameters,0"
盯着看。,"Map013.json,events,2,pages,10,list,27,parameters,0"
那双眼睛，仿佛能看到她内心深处的某个东西。,"Map013.json,events,2,pages,10,list,28,parameters,0"
有点害怕。,"Map013.json,events,2,pages,10,list,29,parameters,0"
但奇怪的是，没有感到颤抖。,"Map013.json,events,2,pages,10,list,30,parameters,0"
教会的人,"Map013.json,events,2,pages,10,list,33,parameters,0"
「（这样啊，这个孩子……,"Map013.json,events,2,pages,10,list,34,parameters,0"
因为带着过多的记忆）」,"Map013.json,events,2,pages,10,list,35,parameters,0"
教会的人,"Map013.json,events,2,pages,10,list,37,parameters,0"
「（但是……,"Map013.json,events,2,pages,10,list,38,parameters,0"
原来的男人，而且还是成年男人，+ 龙娘,"Map013.json,events,2,pages,10,list,39,parameters,0"
是最好的组合呢）」,"Map013.json,events,2,pages,10,list,40,parameters,0"
教会的人,"Map013.json,events,2,pages,10,list,42,parameters,0"
「是啊……,"Map013.json,events,2,pages,10,list,43,parameters,0"
现在应该有很多烦恼吧。,"Map013.json,events,2,pages,10,list,44,parameters,0"
但是，时间会解决一切的」,"Map013.json,events,2,pages,10,list,45,parameters,0"
教会的人,"Map013.json,events,2,pages,10,list,47,parameters,0"
「如果有什么困难的事情，请再来这里。,"Map013.json,events,2,pages,10,list,48,parameters,0"
我会告诉那个孩子……也会告诉平时在这里的孩子」,"Map013.json,events,2,pages,10,list,49,parameters,0"
\C[27]清香,"Map013.json,events,2,pages,10,list,52,parameters,0"
（难道这个人……）」,"Map013.json,events,2,pages,10,list,54,parameters,0"
察觉到了我的事情？\!,"Map013.json,events,2,pages,10,list,56,parameters,0"
作为证据，对待我的方式不像对待孩子。,"Map013.json,events,2,pages,10,list,57,parameters,0"
平时经常被当作孩子对待,"Map013.json,events,2,pages,10,list,58,parameters,0"
却像是在和大人交谈一样。,"Map013.json,events,2,pages,10,list,59,parameters,0"
即使头脑变得幼稚到无法理解语言的意义,"Map013.json,events,2,pages,10,list,61,parameters,0"
我能理解这个人的意图。,"Map013.json,events,2,pages,10,list,62,parameters,0"
所以……尽可能地，像个大人一样回答。,"Map013.json,events,2,pages,10,list,63,parameters,0"
用我现在能做到的……最大限度的礼仪。,"Map013.json,events,2,pages,10,list,64,parameters,0"
\C[27]清香,"Map013.json,events,2,pages,10,list,66,parameters,0"
「……谢谢。,"Map013.json,events,2,pages,10,list,67,parameters,0"
如果有什么事情，请多多关照」,"Map013.json,events,2,pages,10,list,68,parameters,0"
咿咿呀呀的孩子声音。,"Map013.json,events,2,pages,10,list,70,parameters,0"
但是，尽可能认真地回答并低下头。,"Map013.json,events,2,pages,10,list,71,parameters,0"
女人静静地微笑着。,"Map013.json,events,2,pages,10,list,73,parameters,0"
那微笑既是对孩子的，也是对大人的,"Map013.json,events,2,pages,10,list,74,parameters,0"
给她留下了深刻印象。,"Map013.json,events,2,pages,10,list,75,parameters,0"
教会的人,"Map013.json,events,2,pages,11,list,2,parameters,0"
「虽然有很多困难,"Map013.json,events,2,pages,11,list,3,parameters,0"
