可疑的男人,"Map102.json,events,1,name"
「要等到收集更多证据。,"Map102.json,events,2,pages,1,list,71,parameters,0"
否则，公会不会立即行动。,"Map102.json,events,2,pages,1,list,72,parameters,0"
必须拿到能迅速应对的证据」,"Map102.json,events,2,pages,1,list,73,parameters,0"
男,"Map102.json,events,2,pages,1,list,75,parameters,0"
「行动是今晚。,"Map102.json,events,2,pages,1,list,76,parameters,0"
我可以应付自卫战斗，擅长传送魔法。,"Map102.json,events,2,pages,1,list,77,parameters,0"
如果万一发生意外，我会立刻逃走，请放心」,"Map102.json,events,2,pages,1,list,78,parameters,0"
清彦,"Map102.json,events,2,pages,1,list,80,parameters,0"
「明白了，我也会准备好」,"Map102.json,events,2,pages,1,list,81,parameters,0"
宝箱,"Map102.json,events,3,name"
