姐姐,"Map042.json,events,1,name"
\C[27]清香,"Map042.json,events,2,pages,1,list,16,parameters,0"
「姐姐，好想见到你♪,"Map042.json,events,2,pages,1,list,17,parameters,0"
清香，回来了♡」,"Map042.json,events,2,pages,1,list,18,parameters,0"
紧握着姐姐的手，拉向胸前。,"Map042.json,events,2,pages,1,list,20,parameters,0"
看着姐姐的脸，看着她的身体。,"Map042.json,events,2,pages,1,list,21,parameters,0"
看着可爱的衣服……实在是太让人心动了。,"Map042.json,events,2,pages,1,list,22,parameters,0"
吸血姬,"Map042.json,events,2,pages,1,list,25,parameters,0"
「呵呵……太完美了。,"Map042.json,events,2,pages,1,list,26,parameters,0"
\!清香……我最重要的妹妹，你来了♪」,"Map042.json,events,2,pages,1,list,27,parameters,0"
\C[27]清香,"Map042.json,events,2,pages,1,list,29,parameters,0"
「姐姐……♡」,"Map042.json,events,2,pages,1,list,30,parameters,0"
姐姐微笑着，让他很高兴。\!,"Map042.json,events,2,pages,1,list,33,parameters,0"
姐姐夸奖他，让他很高兴。\!,"Map042.json,events,2,pages,1,list,34,parameters,0"
姐姐欢迎他，让他很高兴。\!,"Map042.json,events,2,pages,1,list,35,parameters,0"
\!\C[27]无法忍受。无法忍耐。\!想要与姐姐相爱。,"Map042.json,events,2,pages,1,list,36,parameters,0"
\C[27]清香,"Map042.json,events,2,pages,1,list,38,parameters,0"
「姐姐……。,"Map042.json,events,2,pages,1,list,39,parameters,0"
我，好想见到姐姐……。,"Map042.json,events,2,pages,1,list,40,parameters,0"
想要被姐姐爱着……无法忍受」,"Map042.json,events,2,pages,1,list,41,parameters,0"
下腹部收缩，胀起。,"Map042.json,events,2,pages,1,list,43,parameters,0"
脸红得发烫，不敢看姐姐的眼睛,"Map042.json,events,2,pages,1,list,44,parameters,0"
纠结着双腿，期待着什么。,"Map042.json,events,2,pages,1,list,45,parameters,0"
这样的姿态完全是少女……不，是少女本人。,"Map042.json,events,2,pages,1,list,47,parameters,0"
一个一直保持着少女姿态的人,"Map042.json,events,2,pages,1,list,48,parameters,0"
突然变成了人类男性，谁会相信呢。,"Map042.json,events,2,pages,1,list,49,parameters,0"
吸血姬,"Map042.json,events,2,pages,1,list,52,parameters,0"
「是吗？,"Map042.json,events,2,pages,1,list,53,parameters,0"
呵呵。那就……交给我吧」,"Map042.json,events,2,pages,1,list,54,parameters,0"
\C[27]清香,"Map042.json,events,2,pages,1,list,57,parameters,0"
「……好♡」,"Map042.json,events,2,pages,1,list,58,parameters,0"
\C[27]清香,"Map042.json,events,2,pages,1,list,62,parameters,0"
「咿呀……♡\!,"Map042.json,events,2,pages,1,list,63,parameters,0"
姐姐，这里不行。不要……♪」,"Map042.json,events,2,pages,1,list,64,parameters,0"
吸血姬,"Map042.json,events,2,pages,1,list,66,parameters,0"
「再多给我看一点♪,"Map042.json,events,2,pages,1,list,67,parameters,0"
把你的一切……都给我♡」,"Map042.json,events,2,pages,1,list,68,parameters,0"
