吸血公主,"Map049.json,events,1,name"
「（嗯……？）」,"Map049.json,events,5,pages,0,list,62,parameters,0"
店长,"Map049.json,events,5,pages,0,list,64,parameters,0"
「欢迎光临！,"Map049.json,events,5,pages,0,list,65,parameters,0"
非常抱歉，正在准备中……\!诶？」,"Map049.json,events,5,pages,0,list,66,parameters,0"
吸血姬,"Map049.json,events,5,pages,0,list,74,parameters,0"
「你是店长吗？\!,"Map049.json,events,5,pages,0,list,75,parameters,0"
\C[18]妹妹\C[0]一直受你照顾呢」,"Map049.json,events,5,pages,0,list,76,parameters,0"
店长,"Map049.json,events,5,pages,0,list,88,parameters,0"
「诶？诶？双胞胎……？\!,"Map049.json,events,5,pages,0,list,89,parameters,0"
啊～……对了，是这样的」,"Map049.json,events,5,pages,0,list,90,parameters,0"
店长,"Map049.json,events,5,pages,0,list,94,parameters,0"
「嘛，就当作姐妹俩独处吧。,"Map049.json,events,5,pages,0,list,95,parameters,0"
我先离开一下，你们两个慢慢聊」,"Map049.json,events,5,pages,0,list,96,parameters,0"
\C[27]清彦,"Map049.json,events,5,pages,0,list,101,parameters,0"
「谁是姐妹啊！」,"Map049.json,events,5,pages,0,list,102,parameters,0"
吸血姬,"Map049.json,events,5,pages,0,list,104,parameters,0"
「是我♪\!呵呵……♡」,"Map049.json,events,5,pages,0,list,105,parameters,0"
店长,"Map049.json,events,5,pages,1,list,3,parameters,0"
「好可爱～♡\!,"Map049.json,events,5,pages,1,list,4,parameters,0"
果然清酱，材料最棒了」,"Map049.json,events,5,pages,1,list,5,parameters,0"
\C[27]清彦,"Map049.json,events,5,pages,1,list,10,parameters,0"
「这个露出度还挺高的」,"Map049.json,events,5,pages,1,list,11,parameters,0"
店长,"Map049.json,events,5,pages,1,list,13,parameters,0"
「嗯，是的。,"Map049.json,events,5,pages,1,list,14,parameters,0"
泳装就是为了被看到！,"Map049.json,events,5,pages,1,list,15,parameters,0"
顺便说一下，可以适当地使用暴力来掩饰触碰哦」,"Map049.json,events,5,pages,1,list,16,parameters,0"
几乎全露。\!,"Map049.json,events,5,pages,1,list,28,parameters,0"
在泳装中，算是露得比较多的了。,"Map049.json,events,5,pages,1,list,29,parameters,0"
腰部的围裙反而更加诱人。,"Map049.json,events,5,pages,1,list,30,parameters,0"
说实话，还是有点害羞。,"Map049.json,events,5,pages,1,list,32,parameters,0"
但是……男人的目光已经习惯了。,"Map049.json,events,5,pages,1,list,33,parameters,0"
如果心灵也是男性状态的话，肯定无法忍受。,"Map049.json,events,5,pages,1,list,34,parameters,0"
从这个意义上来说，或许是幸运的。,"Map049.json,events,5,pages,1,list,35,parameters,0"
……不过，什么时候知道她的三围的呢。,"Map049.json,events,5,pages,1,list,37,parameters,0"
虽然没有告诉过她。,"Map049.json,events,5,pages,1,list,38,parameters,0"
「打扰了」,"Map049.json,events,5,pages,1,list,46,parameters,0"
\C[27]清彦,"Map049.json,events,5,pages,1,list,56,parameters,0"
店长,"Map049.json,events,5,pages,1,list,59,parameters,0"
「欢迎光临！,"Map049.json,events,5,pages,1,list,60,parameters,0"
非常抱歉，正在准备中……\!诶？」,"Map049.json,events,5,pages,1,list,61,parameters,0"
吸血姬,"Map049.json,events,5,pages,1,list,69,parameters,0"
「你是店长吗？\!,"Map049.json,events,5,pages,1,list,70,parameters,0"
\C[18]妹妹\C[0]一直受你照顾呢」,"Map049.json,events,5,pages,1,list,71,parameters,0"
店长,"Map049.json,events,5,pages,1,list,81,parameters,0"
「诶？诶？双胞胎……？\!,"Map049.json,events,5,pages,1,list,82,parameters,0"
啊～……对了，是这样的」,"Map049.json,events,5,pages,1,list,83,parameters,0"
店长,"Map049.json,events,5,pages,1,list,87,parameters,0"
「嘛，就当作姐妹俩独处吧。,"Map049.json,events,5,pages,1,list,88,parameters,0"
我先离开一下，你们两个慢慢聊」,"Map049.json,events,5,pages,1,list,89,parameters,0"
\C[27]清彦,"Map049.json,events,5,pages,1,list,93,parameters,0"
「（为什么她会来这里……！）」,"Map049.json,events,5,pages,1,list,94,parameters,0"
吸血姬,"Map049.json,events,5,pages,1,list,96,parameters,0"
「谢谢你，非常感谢♪」,"Map049.json,events,5,pages,1,list,97,parameters,0"
