男エルフ,"Map152.json,events,1,name"
所以，虽然应该避免与其他种族交流……,"Map152.json,events,2,pages,0,list,8,parameters,0"
"""\C[27]清彦","Map152.json,events,2,pages,0,list,10,parameters,0"
「（大妖狐小姐，你是怎么和他相处的。,"Map152.json,events,2,pages,0,list,11,parameters,0"
而且，这个是人类的我可以告诉她吗？,"Map152.json,events,2,pages,0,list,12,parameters,0"
"虽然有点在意……但是要完成委托）」""","Map152.json,events,2,pages,0,list,13,parameters,0"
\C[27]清彦,"Map152.json,events,2,pages,0,list,15,parameters,0"
「（找找村长的家吧）」,"Map152.json,events,2,pages,0,list,16,parameters,0"
精灵老人,"Map152.json,events,3,pages,0,list,1,parameters,0"
「唉～每天都很无聊啊。,"Map152.json,events,3,pages,0,list,2,parameters,0"
你不这么认为吗，大妖狐……哦，对了，是妹妹吧。,"Map152.json,events,3,pages,0,list,3,parameters,0"
我已经听村长说过了」,"Map152.json,events,3,pages,0,list,4,parameters,0"
\C[27]清彦,"Map152.json,events,3,pages,0,list,6,parameters,0"
「是的，初次见面」,"Map152.json,events,3,pages,0,list,7,parameters,0"
精灵老人,"Map152.json,events,3,pages,0,list,9,parameters,0"
「真的很像那个人呢。,"Map152.json,events,3,pages,0,list,10,parameters,0"
如果你有关于魔法的问题,"Map152.json,events,3,pages,0,list,11,parameters,0"
一定要来问我哦」,"Map152.json,events,3,pages,0,list,12,parameters,0"
\C[27]清彦,"Map152.json,events,3,pages,0,list,14,parameters,0"
「好的，我会转告的。,"Map152.json,events,3,pages,0,list,15,parameters,0"
（……魔法吗。,"Map152.json,events,3,pages,0,list,16,parameters,0"
我也能学习吗？）」,"Map152.json,events,3,pages,0,list,17,parameters,0"
对精灵的魔法感到好奇是正常的。,"Map152.json,events,3,pages,0,list,19,parameters,0"
现在我知道的火魔法,"Map152.json,events,3,pages,0,list,20,parameters,0"
可能还有更高级的魔法。,"Map152.json,events,3,pages,0,list,21,parameters,0"
突然问这个有点唐突。,"Map152.json,events,3,pages,0,list,23,parameters,0"
最好是在多次相遇并熟悉之后再问。,"Map152.json,events,3,pages,0,list,24,parameters,0"
不过在那之前脱皮可能就没有意义了……。,"Map152.json,events,3,pages,0,list,25,parameters,0"
\C[27]清彦,"Map152.json,events,4,pages,0,list,1,parameters,0"
「我们去找村长的家吧」,"Map152.json,events,4,pages,0,list,2,parameters,0"
年轻精灵,"Map152.json,events,5,pages,0,list,1,parameters,0"
「羽毛的位置让人在意……,"Map152.json,events,5,pages,0,list,2,parameters,0"
下次带些工具来……哎呀，大妖狐\.\.\.,"Map152.json,events,5,pages,0,list,3,parameters,0"
不对，是妹妹吧？」,"Map152.json,events,5,pages,0,list,4,parameters,0"
\C[27]清彦,"Map152.json,events,5,pages,0,list,6,parameters,0"
「是的，我叫清彦」,"Map152.json,events,5,pages,0,list,7,parameters,0"
年轻精灵,"Map152.json,events,5,pages,0,list,9,parameters,0"
「我也是，请多关照。,"Map152.json,events,5,pages,0,list,10,parameters,0"
长得像姐姐呢，真漂亮」,"Map152.json,events,5,pages,0,list,11,parameters,0"
\C[27]清彦,"Map152.json,events,5,pages,0,list,13,parameters,0"
「哈哈，谢谢……。,"Map152.json,events,5,pages,0,list,14,parameters,0"
（不过……）」,"Map152.json,events,5,pages,0,list,15,parameters,0"
这个城里的男人们,"Map152.json,events,5,pages,0,list,17,parameters,0"
并没有盯着我的身体看。,"Map152.json,events,5,pages,0,list,18,parameters,0"
去城里的话会被盯着胸部和屁股……。,"Map152.json,events,5,pages,0,list,19,parameters,0"
精灵们是这样的吗……？,"Map152.json,events,5,pages,0,list,20,parameters,0"
\C[27]清彦,"Map152.json,events,6,pages,0,list,1,parameters,0"
「我们去找村长的家吧」,"Map152.json,events,6,pages,0,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,7,pages,0,list,1,parameters,0"
「我们去找村长的家吧」,"Map152.json,events,7,pages,0,list,2,parameters,0"
女孩,"Map152.json,events,8,pages,0,list,1,parameters,0"
「大妖狐，你好～。,"Map152.json,events,8,pages,0,list,2,parameters,0"
嗯？今天尾巴少了呢」,"Map152.json,events,8,pages,0,list,3,parameters,0"
\C[27]清彦,"Map152.json,events,8,pages,0,list,5,parameters,0"
「啊……对不起，我不是大妖狐」,"Map152.json,events,8,pages,0,list,6,parameters,0"
女孩,"Map152.json,events,8,pages,0,list,8,parameters,0"
「是吗？,"Map152.json,events,8,pages,0,list,9,parameters,0"
看起来很像，是妹妹吗？」,"Map152.json,events,8,pages,0,list,10,parameters,0"
\C[27]清彦,"Map152.json,events,8,pages,0,list,12,parameters,0"
「嗯，差不多吧。,"Map152.json,events,8,pages,0,list,13,parameters,0"
我叫清彦，以后请多关照」,"Map152.json,events,8,pages,0,list,14,parameters,0"
女孩,"Map152.json,events,8,pages,0,list,16,parameters,0"
「嗯！清彦，以后请多关照！」,"Map152.json,events,8,pages,0,list,17,parameters,0"
\C[27]清彦,"Map152.json,events,9,pages,0,list,1,parameters,0"
「我们去找村长的家吧」,"Map152.json,events,9,pages,0,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,10,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map152.json,events,10,pages,0,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,11,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map152.json,events,11,pages,0,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,12,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map152.json,events,12,pages,0,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,13,pages,0,list,1,parameters,0"
「（龙的石像？是这个村的人雕刻的吗……）」,"Map152.json,events,13,pages,0,list,2,parameters,0"
村长的家,"Map152.json,events,14,pages,0,list,1,parameters,0"
要进村长的家吗？,"Map152.json,events,15,pages,0,list,1,parameters,0"
（强制开始事件）,"Map152.json,events,15,pages,0,list,2,parameters,0"
是,"Map152.json,events,15,pages,0,list,3,parameters,0,0"
否,"Map152.json,events,15,pages,0,list,3,parameters,0,1"
是,"Map152.json,events,15,pages,0,list,4,parameters,1"
否,"Map152.json,events,15,pages,0,list,18,parameters,1"
秋屋,"Map152.json,events,16,pages,0,list,1,parameters,0"
秋屋（阿卡莉的家预定地）,"Map152.json,events,16,pages,1,list,1,parameters,0"
精灵女性,"Map152.json,events,17,name"
精灵女性,"Map152.json,events,17,pages,0,list,1,parameters,0"
「哦，大妖狐……是个陌生人呢。,"Map152.json,events,17,pages,0,list,2,parameters,0"
最近听村长说妹妹增加了,"Map152.json,events,17,pages,0,list,3,parameters,0"
难道你就是那个人？」,"Map152.json,events,17,pages,0,list,4,parameters,0"
\C[27]清彦,"Map152.json,events,17,pages,0,list,6,parameters,0"
「（妹妹……）,"Map152.json,events,17,pages,0,list,7,parameters,0"
是的，我就是。我叫清彦」,"Map152.json,events,17,pages,0,list,8,parameters,0"
精灵女性,"Map152.json,events,17,pages,0,list,10,parameters,0"
「我对那个人很感激。,"Map152.json,events,17,pages,0,list,11,parameters,0"
给我们这些只能在狭小空间生活的人,"Map152.json,events,17,pages,0,list,12,parameters,0"
带来了外面的娱乐」,"Map152.json,events,17,pages,0,list,13,parameters,0"
精灵女性,"Map152.json,events,17,pages,0,list,15,parameters,0"
「我喜欢待在这里。,"Map152.json,events,17,pages,0,list,16,parameters,0"
在这里读书很舒服……,"Map152.json,events,17,pages,0,list,17,parameters,0"
请代我向大妖狐问好」,"Map152.json,events,17,pages,0,list,18,parameters,0"
\C[27]清彦,"Map152.json,events,17,pages,0,list,20,parameters,0"
「好的，我会转告的。,"Map152.json,events,17,pages,0,list,21,parameters,0"
（大妖狐好像受到了很多感谢……）」,"Map152.json,events,17,pages,0,list,22,parameters,0"
\C[27]清彦,"Map152.json,events,19,pages,0,list,1,parameters,0"
「好像是锁着的」,"Map152.json,events,19,pages,0,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,20,pages,0,list,1,parameters,0"
「写着正在外出中」,"Map152.json,events,20,pages,0,list,2,parameters,0"
精灵女性,"Map152.json,events,21,pages,0,list,1,parameters,0"
「大妖狐，你好！,"Map152.json,events,21,pages,0,list,2,parameters,0"
谢谢你送给我的裙子，我很喜欢……。,"Map152.json,events,21,pages,0,list,3,parameters,0"
嗯？你是不是……」,"Map152.json,events,21,pages,0,list,4,parameters,0"
\C[27]清彦,"Map152.json,events,21,pages,0,list,6,parameters,0"
「初次见面，我叫清彦」,"Map152.json,events,21,pages,0,list,7,parameters,0"
精灵女性,"Map152.json,events,21,pages,0,list,9,parameters,0"
「你是妹妹吗？,"Map152.json,events,21,pages,0,list,10,parameters,0"
呵呵，和姐姐长得很像呢。,"Map152.json,events,21,pages,0,list,11,parameters,0"
这件裙子是姐姐送给我的」,"Map152.json,events,21,pages,0,list,12,parameters,0"
精灵女性,"Map152.json,events,21,pages,0,list,14,parameters,0"
「人类穿这种衣服真羡慕。,"Map152.json,events,21,pages,0,list,15,parameters,0"
以后还想请你做些衣服」,"Map152.json,events,21,pages,0,list,16,parameters,0"
\C[27]清彦,"Map152.json,events,21,pages,0,list,18,parameters,0"
「（她穿什么样的衣服都很合适）」,"Map152.json,events,21,pages,0,list,19,parameters,0"
\C[27]清彦,"Map152.json,events,22,pages,0,list,1,parameters,0"
「我们去找村长的家吧」,"Map152.json,events,22,pages,0,list,2,parameters,0"
\C[27]清彦,"Map152.json,events,23,pages,0,list,1,parameters,0"
「（看起来很舒服的样子。,"Map152.json,events,23,pages,0,list,2,parameters,0"
不打扰她了）」,"Map152.json,events,23,pages,0,list,3,parameters,0"
