猫娘,"Map116.json,events,4,name"
请慢慢喂她」,"Map116.json,events,9,pages,0,list,144,parameters,0"
\C[27]希世子,"Map116.json,events,9,pages,0,list,150,parameters,0"
「舔舔。,"Map116.json,events,9,pages,0,list,151,parameters,0"
\!好好吃，谢谢姐姐♪」,"Map116.json,events,9,pages,0,list,152,parameters,0"
女,"Map116.json,events,9,pages,0,list,155,parameters,0"
「（好可爱～♪）」,"Map116.json,events,9,pages,0,list,156,parameters,0"
女,"Map116.json,events,9,pages,0,list,158,parameters,0"
「可以摸摸吗？」,"Map116.json,events,9,pages,0,list,159,parameters,0"
店长,"Map116.json,events,9,pages,0,list,161,parameters,0"
「当然可以」,"Map116.json,events,9,pages,0,list,162,parameters,0"
\C[27]希世子,"Map116.json,events,9,pages,0,list,175,parameters,0"
「呜呢……咕噜噜」,"Map116.json,events,9,pages,0,list,176,parameters,0"
她的喉咙发出声音。,"Map116.json,events,9,pages,0,list,178,parameters,0"
当下巴下方被抚摸时,"Map116.json,events,9,pages,0,list,179,parameters,0"
她的尾巴左右摇摆。,"Map116.json,events,9,pages,0,list,180,parameters,0"
对于这样可爱的少女，女性越发喜欢她了。,"Map116.json,events,9,pages,0,list,182,parameters,0"
\!想要！一直以来梦寐以求的魔物娘！\!,"Map116.json,events,9,pages,0,list,183,parameters,0"
除了养这只猫娘，别无选择。,"Map116.json,events,9,pages,0,list,184,parameters,0"
女,"Map116.json,events,9,pages,0,list,188,parameters,0"
「舒服吗？,"Map116.json,events,9,pages,0,list,189,parameters,0"
嘻嘻……♪,"Map116.json,events,9,pages,0,list,190,parameters,0"
姐姐会给你好好摸的哦～♪」,"Map116.json,events,9,pages,0,list,191,parameters,0"
她用双臂摸着头和下巴。,"Map116.json,events,9,pages,0,list,193,parameters,0"
她不但没有讨厌，反而更加喜欢,"Map116.json,events,9,pages,0,list,194,parameters,0"
她的表情变得更加放松。,"Map116.json,events,9,pages,0,list,195,parameters,0"
虽然通常会感到厌烦，但今天似乎不同。,"Map116.json,events,9,pages,0,list,196,parameters,0"
店长,"Map116.json,events,9,pages,0,list,203,parameters,0"
「（那个冒险家，现在已经变成这样的猫娘了。,"Map116.json,events,9,pages,0,list,204,parameters,0"
在短短几天内，她的精神也被染上了,"Map116.json,events,9,pages,0,list,205,parameters,0"
再也不会回想起那个时期）」,"Map116.json,events,9,pages,0,list,206,parameters,0"
店长,"Map116.json,events,9,pages,0,list,209,parameters,0"
「（那个合成魔术也进化了一步吧。,"Map116.json,events,9,pages,0,list,210,parameters,0"
按照这个势头……成功率似乎越来越高。,"Map116.json,events,9,pages,0,list,211,parameters,0"
下一个是狗……不，是蛇和人类的合成）」,"Map116.json,events,9,pages,0,list,212,parameters,0"
女,"Map116.json,events,9,pages,0,list,216,parameters,0"
「店长？」,"Map116.json,events,9,pages,0,list,217,parameters,0"
店长,"Map116.json,events,9,pages,0,list,220,parameters,0"
「……是，是的！,"Map116.json,events,9,pages,0,list,221,parameters,0"
对不起，稍微有点思考」,"Map116.json,events,9,pages,0,list,222,parameters,0"
女,"Map116.json,events,9,pages,0,list,225,parameters,0"
「我要养这个孩子。,"Map116.json,events,9,pages,0,list,226,parameters,0"
价格如事先商定，没有问题。,"Map116.json,events,9,pages,0,list,227,parameters,0"
当然……我也知道发情期的风险」,"Map116.json,events,9,pages,0,list,228,parameters,0"
女,"Map116.json,events,9,pages,0,list,232,parameters,0"
「我要养这个孩子。,"Map116.json,events,9,pages,0,list,233,parameters,0"
价格如事先商定，没有问题」,"Map116.json,events,9,pages,0,list,234,parameters,0"
店长,"Map116.json,events,9,pages,0,list,238,parameters,0"
「谢谢」,"Map116.json,events,9,pages,0,list,239,parameters,0"
店长,"Map116.json,events,9,pages,0,list,244,parameters,0"
「恭喜你，希世子酱。,"Map116.json,events,9,pages,0,list,245,parameters,0"
从今天开始，我就是你的主人了」,"Map116.json,events,9,pages,0,list,246,parameters,0"
\C[27]希世子,"Map116.json,events,9,pages,0,list,251,parameters,0"
「主人？」,"Map116.json,events,9,pages,0,list,252,parameters,0"
店长,"Map116.json,events,9,pages,0,list,254,parameters,0"
「是的，我们每天都会过得很开心的」,"Map116.json,events,9,pages,0,list,255,parameters,0"
\C[27]希世子,"Map116.json,events,9,pages,0,list,257,parameters,0"
「真的吗？」,"Map116.json,events,9,pages,0,list,258,parameters,0"
\C[27]清香,"Map116.json,events,9,pages,0,list,263,parameters,0"
「请多关照，主人♪」,"Map116.json,events,9,pages,0,list,264,parameters,0"
女性,"Map116.json,events,9,pages,0,list,267,parameters,0"
「嗯！,"Map116.json,events,9,pages,0,list,268,parameters,0"
请多关照，清香酱♪」,"Map116.json,events,9,pages,0,list,269,parameters,0"
就这样，她成为了宠物猫。,"Map116.json,events,9,pages,0,list,274,parameters,0"
被温柔的主人养着，她也是心甘情愿的。,"Map116.json,events,9,pages,0,list,275,parameters,0"
结果，一旦心灵染上，就再也无法回复。,"Map116.json,events,9,pages,0,list,277,parameters,0"
从现在开始，也不会再回复了吧。,"Map116.json,events,9,pages,0,list,278,parameters,0"
因为……她从出生时就是猫娘。,"Map116.json,events,9,pages,0,list,280,parameters,0"
ED15.宠物猫ED,"Map116.json,events,9,pages,0,list,286,parameters,0"
士兵,"Map116.json,events,10,name"
士兵,"Map116.json,events,10,pages,0,list,1,parameters,0"
清彦,"Map116.json,events,10,pages,0,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map116.json,events,10,pages,0,list,5,parameters,0"
士兵,"Map116.json,events,10,pages,1,list,1,parameters,0"
\C[27]清彦,"Map116.json,events,10,pages,1,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map116.json,events,10,pages,1,list,5,parameters,0"
士兵,"Map116.json,events,10,pages,2,list,1,parameters,0"
\C[27]清彦,"Map116.json,events,10,pages,2,list,4,parameters,0"
「（还能站着睡觉。,"Map116.json,events,10,pages,2,list,5,parameters,0"
血液循环不好，可能是睡眠不足）」,"Map116.json,events,10,pages,2,list,6,parameters,0"
士兵,"Map116.json,events,10,pages,3,list,1,parameters,0"
\C[27]清彦,"Map116.json,events,10,pages,3,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map116.json,events,10,pages,3,list,5,parameters,0"
士兵,"Map116.json,events,10,pages,4,list,1,parameters,0"
\C[27]清彦,"Map116.json,events,10,pages,4,list,4,parameters,0"
「（还能站着睡觉，真是灵巧的士兵）」,"Map116.json,events,10,pages,4,list,5,parameters,0"
牢房下,"Map116.json,events,13,name"
牢房上,"Map116.json,events,14,name"
