棕色的老头子,"Map181.json,events,2,name"
龙娘,"Map181.json,events,3,pages,0,list,105,parameters,0"
「还有......」,"Map181.json,events,3,pages,0,list,106,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,108,parameters,0"
「你一个人想保护那个妖精小姐吧？,"Map181.json,events,3,pages,0,list,109,parameters,0"
一个人对付那么多人？」,"Map181.json,events,3,pages,0,list,110,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,112,parameters,0"
「干得漂亮。,"Map181.json,events,3,pages,0,list,113,parameters,0"
这才是我的女儿。,"Map181.json,events,3,pages,0,list,114,parameters,0"
这才是龙娘。你是我最好的女儿」,"Map181.json,events,3,pages,0,list,115,parameters,0"
她静静地凝视着她温柔的脸庞和美丽的眼睛。,"Map181.json,events,3,pages,0,list,117,parameters,0"
她的眼睛透明得像水一样，自己的身影都映在里面。,"Map181.json,events,3,pages,0,list,118,parameters,0"
龙娘,"Map181.json,events,3,pages,0,list,120,parameters,0"
「......但是，你害怕了吧」,"Map181.json,events,3,pages,0,list,121,parameters,0"
被什么东西催眠，被带走，试图逃脱。,"Map181.json,events,3,pages,0,list,125,parameters,0"
做好决心试图正面突破男人们。,"Map181.json,events,3,pages,0,list,126,parameters,0"
实际上也战斗过。甚至打倒了几个人。,"Map181.json,events,3,pages,0,list,127,parameters,0"
但是......没有守住。,"Map181.json,events,3,pages,0,list,129,parameters,0"
一个喝醉了的男人醒来，走过来,"Map181.json,events,3,pages,0,list,130,parameters,0"
把菲尔当作人质。,"Map181.json,events,3,pages,0,list,131,parameters,0"
她自己被刀子、剑指着成为人质,"Map181.json,events,3,pages,0,list,133,parameters,0"
并不重要。,"Map181.json,events,3,pages,0,list,134,parameters,0"
\!......是的，她差点被强奸。,"Map181.json,events,3,pages,0,list,135,parameters,0"
恶心的呼吸声和手指的动作。,"Map181.json,events,3,pages,0,list,137,parameters,0"
男人的手指触碰到她的大腿和裙子，湿漉漉的汗。,"Map181.json,events,3,pages,0,list,138,parameters,0"
一切都让她感到害怕......差点尖叫出来。,"Map181.json,events,3,pages,0,list,139,parameters,0"
就在那时，妈妈来救她了。,"Map181.json,events,3,pages,0,list,141,parameters,0"
如果不是妈妈来救她......现在，自己......,"Map181.json,events,3,pages,0,list,142,parameters,0"
\C[27]清香,"Map181.json,events,3,pages,0,list,144,parameters,0"
「呜呜......呜呜......！」,"Map181.json,events,3,pages,0,list,145,parameters,0"
各种各样的情绪混杂在一起,"Map181.json,events,3,pages,0,list,148,parameters,0"
已经无法思考任何事情了。,"Map181.json,events,3,pages,0,list,149,parameters,0"
\!颤抖着，从她的眼睛中涌出了泪水。,"Map181.json,events,3,pages,0,list,150,parameters,0"
看到这一幕，龙娘的脸变得更加温柔。,"Map181.json,events,3,pages,0,list,151,parameters,0"
再也......无法控制涌上心头的情感。,"Map181.json,events,3,pages,0,list,165,parameters,0"
心灵完全沉浸在清香之中。,"Map181.json,events,3,pages,0,list,166,parameters,0"
\C[27]清香,"Map181.json,events,3,pages,0,list,176,parameters,0"
「妈――。\.\.\.\.\.\.,"Map181.json,events,3,pages,0,list,177,parameters,0"
妈妈啊啊啊啊啊啊！！！！！！,"Map181.json,events,3,pages,0,list,178,parameters,0"
好可怕啊啊啊啊啊啊啊啊啊！！！！！！」,"Map181.json,events,3,pages,0,list,179,parameters,0"
明明已经虚弱得无法站立。,"Map181.json,events,3,pages,0,list,182,parameters,0"
她竭尽全力，紧紧地抱住妈妈。,"Map181.json,events,3,pages,0,list,183,parameters,0"
而妈妈则温柔地包裹着她。,"Map181.json,events,3,pages,0,list,184,parameters,0"
......第一次，女儿称呼母亲为『妈妈』。,"Map181.json,events,3,pages,0,list,186,parameters,0"
像年龄相符的小孩子一样，在胸口哭泣的女儿的头上轻轻抚摸,"Map181.json,events,3,pages,0,list,187,parameters,0"
一直抱着，直到停止哭泣。,"Map181.json,events,3,pages,0,list,188,parameters,0"
......这样，母女之间的障壁消失了。,"Map181.json,events,3,pages,0,list,192,parameters,0"
两人第一次成为亲子关系。\!,"Map181.json,events,3,pages,0,list,193,parameters,0"
清香会认为她是龙娘的『母亲』，,"Map181.json,events,3,pages,0,list,194,parameters,0"
虽然她不会忘记名叫清香的男人。,"Map181.json,events,3,pages,0,list,195,parameters,0"
龙娘也会把她当作母亲来养育。,"Map181.json,events,3,pages,0,list,198,parameters,0"
有时严厉，有时温柔。有时边笑着......,"Map181.json,events,3,pages,0,list,199,parameters,0"
吸血姬,"Map181.json,events,3,pages,0,list,202,parameters,0"
「……亲子关系真好啊」,"Map181.json,events,3,pages,0,list,203,parameters,0"
大妖狐,"Map181.json,events,3,pages,0,list,205,parameters,0"
「嗯。,"Map181.json,events,3,pages,0,list,206,parameters,0"
我也流泪了～」,"Map181.json,events,3,pages,0,list,207,parameters,0"
菲尔,"Map181.json,events,3,pages,0,list,209,parameters,0"
「呜呜。呜呜。\.\.\.,"Map181.json,events,3,pages,0,list,210,parameters,0"
清香，谢谢你......。,"Map181.json,events,3,pages,0,list,211,parameters,0"
真的谢谢你......！」,"Map181.json,events,3,pages,0,list,212,parameters,0"
――几周后。,"Map181.json,events,3,pages,0,list,217,parameters,0"
死去的大叔,"Map181.json,events,4,name"
白色的大叔,"Map181.json,events,5,name"
妖精小姐,"Map181.json,events,6,name"
绿色的大叔,"Map181.json,events,7,name"
\C[27]清香,"Map181.json,events,7,pages,0,list,1,parameters,0"
「（以前喝醉倒下过，是这样的可怜模样吗……）」,"Map181.json,events,7,pages,0,list,2,parameters,0"
妈妈,"Map181.json,events,9,name"
