男エルフ,"Map030.json,events,1,name"
在外面的世界好像很流行，但是很不方便」,"Map030.json,events,21,pages,0,list,12,parameters,0"
\C[27]清彦,"Map030.json,events,21,pages,0,list,14,parameters,0"
「（人类的裙子……,"Map030.json,events,21,pages,0,list,15,parameters,0"
明明不能出去，怎么会弄到手上的？）」,"Map030.json,events,21,pages,0,list,16,parameters,0"
精灵老人,"Map030.json,events,22,pages,0,list,1,parameters,0"
「呼～每天都好无聊啊。,"Map030.json,events,22,pages,0,list,2,parameters,0"
不过，这种无聊也是幸福的吧。,"Map030.json,events,22,pages,0,list,3,parameters,0"
亚香里也这么觉得吧？」,"Map030.json,events,22,pages,0,list,4,parameters,0"
\C[27]清彦,"Map030.json,events,22,pages,0,list,6,parameters,0"
「嗯……我也是这么觉得。,"Map030.json,events,22,pages,0,list,7,parameters,0"
（冒险家的工作中，,"Map030.json,events,22,pages,0,list,8,parameters,0"
生命的交替也是常有的事情……）」,"Map030.json,events,22,pages,0,list,9,parameters,0"
\C[27]清彦,"Map030.json,events,23,pages,0,list,1,parameters,0"
「正在午睡。,"Map030.json,events,23,pages,0,list,2,parameters,0"
最好不要打扰」,"Map030.json,events,23,pages,0,list,3,parameters,0"
