建造栅栏的男子,"Map226.json,events,1,name"
她眯起眼睛，用妖艳的表情看着男人,"Map226.json,events,2,pages,2,list,35,parameters,0"
将左手中指的指尖放在嘴唇上，用舌头舔了一下。,"Map226.json,events,2,pages,2,list,36,parameters,0"
男人,"Map226.json,events,2,pages,2,list,38,parameters,0"
是恐惧达到了顶点，还是只是无助地张开嘴巴,"Map226.json,events,2,pages,2,list,41,parameters,0"
的无力人类男子。,"Map226.json,events,2,pages,2,list,42,parameters,0"
这个表情太迷人了，这个动作太迷人了。,"Map226.json,events,2,pages,2,list,44,parameters,0"
她的虐待狂一面被刺激,"Map226.json,events,2,pages,2,list,45,parameters,0"
背脊颤抖了一下。,"Map226.json,events,2,pages,2,list,46,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,51,parameters,0"
「打扰一下……♡,"Map226.json,events,2,pages,2,list,52,parameters,0"
虽然有点狭窄，但没关系没关系」,"Map226.json,events,2,pages,2,list,53,parameters,0"
「……嗯♡」\.\.她贴近颤抖的男人,"Map226.json,events,2,pages,2,list,55,parameters,0"
故意将自己丰满的身体紧贴过去。,"Map226.json,events,2,pages,2,list,56,parameters,0"
她的胸部沉入男人的右臂。,"Map226.json,events,2,pages,2,list,58,parameters,0"
她拿住左手腕，用湿漉漉的手掌触碰胸部,"Map226.json,events,2,pages,2,list,59,parameters,0"
男人的身体颤抖了一下。,"Map226.json,events,2,pages,2,list,60,parameters,0"
这颤抖是恐惧的表现,"Map226.json,events,2,pages,2,list,62,parameters,0"
还是男人的本能被刺激，正在兴奋中。,"Map226.json,events,2,pages,2,list,63,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,65,parameters,0"
「软软的对吧……？,"Map226.json,events,2,pages,2,list,66,parameters,0"
这个你会一辈子拥有的♡」,"Map226.json,events,2,pages,2,list,67,parameters,0"
男人,"Map226.json,events,2,pages,2,list,69,parameters,0"
「啊……啊……」,"Map226.json,events,2,pages,2,list,70,parameters,0"
她握住男人的胸部，力量变得更强了。,"Map226.json,events,2,pages,2,list,72,parameters,0"
通常情况下，女性只会感到疼痛。,"Map226.json,events,2,pages,2,list,73,parameters,0"
但现在她是魅魔。,"Map226.json,events,2,pages,2,list,74,parameters,0"
对于魅魔的身体来说，人类的握力几乎无效。,"Map226.json,events,2,pages,2,list,75,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,77,parameters,0"
「那么……我就开始了♡」,"Map226.json,events,2,pages,2,list,78,parameters,0"
……不是尾巴。,"Map226.json,events,2,pages,2,list,82,parameters,0"
她的嘴唇堵住了男人张开的嘴。,"Map226.json,events,2,pages,2,list,83,parameters,0"
她的巧妙舌技立刻缠绕住男人的舌头,"Map226.json,events,2,pages,2,list,85,parameters,0"
唾液相互触碰的声音，听起来妖美。,"Map226.json,events,2,pages,2,list,86,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,88,parameters,0"
「啾咪……哈啊……♡」,"Map226.json,events,2,pages,2,list,89,parameters,0"
男人的身体开始颤抖。,"Map226.json,events,2,pages,2,list,92,parameters,0"
渐渐地，男人的皮肤变得柔软起来。,"Map226.json,events,2,pages,2,list,93,parameters,0"
与此同时，头发变长了,"Map226.json,events,2,pages,2,list,95,parameters,0"
从根部开始改变颜色……胸部也变大了。,"Map226.json,events,2,pages,2,list,96,parameters,0"
为了支撑起消失的下体周围和丰满的胸部，,"Map226.json,events,2,pages,2,list,99,parameters,0"
它变成了紧身连体衣，发出了湿润的声音，长出了翅膀和尾巴。,"Map226.json,events,2,pages,2,list,100,parameters,0"
男性纤细、细腻的手慢慢开始动了起来。,"Map226.json,events,2,pages,2,list,102,parameters,0"
这双手并不是为了抵抗。,"Map226.json,events,2,pages,2,list,103,parameters,0"
而是为了更容易接吻的姿势......。,"Map226.json,events,2,pages,2,list,104,parameters,0"
魅魔,"Map226.json,events,2,pages,2,list,108,parameters,0"
「嗯啊……嗯……」,"Map226.json,events,2,pages,2,list,109,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,112,parameters,0"
「嗯……♡」,"Map226.json,events,2,pages,2,list,113,parameters,0"
不知不觉间，两个之前还是人类男性的人,"Map226.json,events,2,pages,2,list,115,parameters,0"
紧密地贴在一起，,"Map226.json,events,2,pages,2,list,116,parameters,0"
用舌头积极地缠绕着，直到满足为止。,"Map226.json,events,2,pages,2,list,117,parameters,0"
\C[27]魅魔,"Map226.json,events,2,pages,2,list,123,parameters,0"
「那我就先走了......♡」,"Map226.json,events,2,pages,2,list,124,parameters,0"
魅魔,"Map226.json,events,2,pages,2,list,126,parameters,0"
「好的，姐姐♡,"Map226.json,events,2,pages,2,list,127,parameters,0"
我也要找机会去找人类玩～♪」,"Map226.json,events,2,pages,2,list,128,parameters,0"
这样，又增加了一只魅魔......。,"Map226.json,events,2,pages,2,list,130,parameters,0"
不知不觉这个城市会不会没有人类了呢。,"Map226.json,events,2,pages,2,list,131,parameters,0"
清彦,"Map226.json,events,3,pages,0,list,1,parameters,0"
「看起来像是某种账簿」,"Map226.json,events,3,pages,0,list,2,parameters,0"
\C[27]魅魔,"Map226.json,events,3,pages,2,list,1,parameters,0"
「（写着如何引诱人类堕落的方法。,"Map226.json,events,3,pages,2,list,2,parameters,0"
真是个勤奋的女孩子呢......♡）」,"Map226.json,events,3,pages,2,list,3,parameters,0"
魅魔酱,"Map226.json,events,5,name"
\C[27]魅魔,"Map226.json,events,5,pages,0,list,1,parameters,0"
「还在写什么呢？,"Map226.json,events,5,pages,0,list,2,parameters,0"
不用担心找不到人类吗？」,"Map226.json,events,5,pages,0,list,3,parameters,0"
魅魔,"Map226.json,events,5,pages,0,list,5,parameters,0"
「没问题的♡,"Map226.json,events,5,pages,0,list,6,parameters,0"
再过一会就去了哦......♪」,"Map226.json,events,5,pages,0,list,7,parameters,0"
